Name,Wikipedia link (en),Redirected,Redirect link,Is it in Wikidata?
Acute myeloblastic leukemia,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia#French-American-British,Yes
"Acute myeloblastic leukemia, minimally differentiated",https://en.wikipedia.org/wiki/Minimally_differentiated_acute_myeloblastic_leukemia,No,https://en.wikipedia.org/wiki/Minimally_differentiated_acute_myeloblastic_leukemia,Yes
Acute myeloblastic leukemia type 1,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_type_1,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloblastic leukemia type 2,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_type_2,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloblastic leukemia type 3,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_type_3,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia,Yes
Acute myeloblastic leukemia type 4,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_type_4,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia,Yes
Acute myeloblastic leukemia type 5,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_type_5,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloblastic leukemia type 6,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_type_6,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloblastic leukemia type 7,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_type_7,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia,Yes
Acute myeloblastic leukemia with maturation,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_with_maturation,No,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_with_maturation
Acute myeloblastic leukemia without maturation,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_without_maturation,No,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_without_maturation
Acute myelocytic leukemia,https://en.wikipedia.org/wiki/Acute_myelocytic_leukemia,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myelogenous leukemia,https://en.wikipedia.org/wiki/Acute_myelogenous_leukemia,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloid leukemia,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia,Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
"Acute myeloid leukemia, secondary","https://en.wikipedia.org/wiki/Acute_myeloid_leukemia,_secondary",Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myelomonocytic leukemia,https://en.wikipedia.org/wiki/Acute_myelomonocytic_leukemia,No,https://en.wikipedia.org/wiki/Acute_myelomonocytic_leukemia,Yes
Acute necrotizing ulcerative gingivitis,https://en.wikipedia.org/wiki/Acute_necrotizing_ulcerative_gingivitis,No,https://en.wikipedia.org/wiki/Acute_necrotizing_ulcerative_gingivitis
Acute non lymphoblastic leukemia (generic term),https://en.wikipedia.org/wiki/Acute_non_lymphoblastic_leukemia_(generic_term),Yes,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute pancreatitis,https://en.wikipedia.org/wiki/Acute_pancreatitis,No,https://en.wikipedia.org/wiki/Acute_pancreatitis,Yes
Acute posterior multifocal placoid pigment epitheliopathy,https://en.wikipedia.org/wiki/Acute_posterior_multifocal_placoid_pigment_epitheliopathy,No,https://en.wikipedia.org/wiki/Acute_posterior_multifocal_placoid_pigment_epitheliopathy
Acute promyelocytic leukemia,https://en.wikipedia.org/wiki/Acute_promyelocytic_leukemia,No,https://en.wikipedia.org/wiki/Acute_promyelocytic_leukemia,Yes
Acute renal failure,https://en.wikipedia.org/wiki/Acute_renal_failure,Yes,https://en.wikipedia.org/wiki/Acute_kidney_injury,Yes
Acute respiratory distress syndrome,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome,No,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome,Yes
Acute tubular necrosis,https://en.wikipedia.org/wiki/Acute_tubular_necrosis,No,https://en.wikipedia.org/wiki/Acute_tubular_necrosis,Yes
"Acyl-CoA dehydrogenase, medium chain, deficiency of","https://en.wikipedia.org/wiki/Acyl-CoA_dehydrogenase,_medium_chain,_deficiency_of",Yes,https://en.wikipedia.org/wiki/Medium-chain_acyl-coenzyme_A_dehydrogenase_deficiency,Yes
"Acyl-CoA dehydrogenase, short chain, deficiency of","https://en.wikipedia.org/wiki/Acyl-CoA_dehydrogenase,_short_chain,_deficiency_of",Yes,https://en.wikipedia.org/wiki/Short-chain_acyl-coenzyme_A_dehydrogenase_deficiency,Yes
"Acyl-CoA dehydrogenase, very long chain, deficiency of","https://en.wikipedia.org/wiki/Acyl-CoA_dehydrogenase,_very_long_chain,_deficiency_of",Yes,https://en.wikipedia.org/wiki/Very_long-chain_acyl-coenzyme_A_dehydrogenase_deficiency,Yes
Acyl-CoA oxidase deficiency,https://en.wikipedia.org/wiki/Acyl-CoA_oxidase_deficiency,No,https://en.wikipedia.org/wiki/Acyl-CoA_oxidase_deficiency,Yes
ADAM complex,https://en.wikipedia.org/wiki/ADAM_complex,Yes,https://en.wikipedia.org/wiki/Constriction_ring_syndrome
Adams–Nance syndrome,https://en.wikipedia.org/wiki/Adams%E2%80%93Nance_syndrome,No,https://en.wikipedia.org/wiki/Adams%E2%80%93Nance_syndrome
Adams–Oliver syndrome,https://en.wikipedia.org/wiki/Adams%E2%80%93Oliver_syndrome,No,https://en.wikipedia.org/wiki/Adams%E2%80%93Oliver_syndrome,Yes
Addison's disease,https://en.wikipedia.org/wiki/Addison%27s_disease,No,https://en.wikipedia.org/wiki/Addison%27s_disease,Yes
Adducted thumb syndrome recessive form,https://en.wikipedia.org/wiki/Adducted_thumb_syndrome_recessive_form,Yes,https://en.wikipedia.org/wiki/Adducted_thumb_syndrome,Yes
Adenine phosphoribosyltransferase deficiency,https://en.wikipedia.org/wiki/Adenine_phosphoribosyltransferase_deficiency,No,https://en.wikipedia.org/wiki/Adenine_phosphoribosyltransferase_deficiency,Yes
Adenocarcinoma of lung,https://en.wikipedia.org/wiki/Adenocarcinoma_of_lung,Yes,https://en.wikipedia.org/wiki/Adenocarcinoma_of_the_lung,Yes
Adenoid cystic carcinoma,https://en.wikipedia.org/wiki/Adenoid_cystic_carcinoma,No,https://en.wikipedia.org/wiki/Adenoid_cystic_carcinoma,Yes
Adenoma,https://en.wikipedia.org/wiki/Adenoma,No,https://en.wikipedia.org/wiki/Adenoma,Yes
Adenoma of the adrenal gland,https://en.wikipedia.org/wiki/Adenoma_of_the_adrenal_gland,Yes,https://en.wikipedia.org/wiki/Adenoma,Yes
Adenomyosis,https://en.wikipedia.org/wiki/Adenomyosis,No,https://en.wikipedia.org/wiki/Adenomyosis,Yes
Adenosine deaminase deficiency,https://en.wikipedia.org/wiki/Adenosine_deaminase_deficiency,No,https://en.wikipedia.org/wiki/Adenosine_deaminase_deficiency,Yes
Adenosine monophosphate deaminase deficiency,https://en.wikipedia.org/wiki/Adenosine_monophosphate_deaminase_deficiency,Yes,https://en.wikipedia.org/wiki/Adenosine_monophosphate_deaminase_deficiency_type_1,Yes
Adenylosuccinate lyase deficiency,https://en.wikipedia.org/wiki/Adenylosuccinate_lyase_deficiency,No,https://en.wikipedia.org/wiki/Adenylosuccinate_lyase_deficiency,Yes
Adie syndrome,https://en.wikipedia.org/wiki/Adie_syndrome,No,https://en.wikipedia.org/wiki/Adie_syndrome,Yes
Adiposis dolorosa,https://en.wikipedia.org/wiki/Adiposis_dolorosa,No,https://en.wikipedia.org/wiki/Adiposis_dolorosa,Yes
Adrenal cancer,https://en.wikipedia.org/wiki/Adrenal_cancer,No,https://en.wikipedia.org/wiki/Adrenal_cancer,Yes
Adrenal cancer,https://en.wikipedia.org/wiki/Adrenal_cancer,No,https://en.wikipedia.org/wiki/Adrenal_cancer,Yes
Adrenal cancer,https://en.wikipedia.org/wiki/Adrenal_cancer,Yes,https://en.wikipedia.org/wiki/Adrenal_tumor,Yes
Adrenal disorder,https://en.wikipedia.org/wiki/Adrenal_disorder,Yes,https://en.wikipedia.org/wiki/Adrenal_gland_disorder,Yes
Adrenal gland hyperfunction,https://en.wikipedia.org/wiki/Adrenal_gland_hyperfunction,Yes,https://en.wikipedia.org/wiki/Adrenocortical_hyperfunction,Yes
Adrenal gland hypofunction,https://en.wikipedia.org/wiki/Adrenal_gland_hypofunction,Yes,https://en.wikipedia.org/wiki/Adrenal_insufficiency,Yes
Adrenal hyperplasia,https://en.wikipedia.org/wiki/Adrenal_hyperplasia,Yes,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia,Yes
"Adrenal hyperplasia, congenital","https://en.wikipedia.org/wiki/Adrenal_hyperplasia,_congenital",Yes,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia,Yes
Adrenal hypertension,https://en.wikipedia.org/wiki/Adrenal_hypertension,Yes,https://en.wikipedia.org/wiki/Hypertension#Adrenal
Adrenal hypoplasia,https://en.wikipedia.org/wiki/Adrenal_hypoplasia,Yes,https://en.wikipedia.org/wiki/X-linked_adrenal_hypoplasia_congenita,Yes
"Adrenal hypoplasia congenital, X-linked","https://en.wikipedia.org/wiki/Adrenal_hypoplasia_congenital,_X-linked",Yes,https://en.wikipedia.org/wiki/X-linked_adrenal_hypoplasia_congenita,Yes
Adrenal incidentaloma,https://en.wikipedia.org/wiki/Adrenal_incidentaloma,Yes,https://en.wikipedia.org/wiki/Incidental_imaging_finding
Adrenal insufficiency,https://en.wikipedia.org/wiki/Adrenal_insufficiency,No,https://en.wikipedia.org/wiki/Adrenal_insufficiency,Yes
Adrenocortical carcinoma,https://en.wikipedia.org/wiki/Adrenocortical_carcinoma,No,https://en.wikipedia.org/wiki/Adrenocortical_carcinoma,Yes
Adrenocortical carcinoma,https://en.wikipedia.org/wiki/Adrenocortical_carcinoma,No,https://en.wikipedia.org/wiki/Adrenocortical_carcinoma,Yes
Adrenocortical carcinoma,https://en.wikipedia.org/wiki/Adrenocortical_carcinoma,No,https://en.wikipedia.org/wiki/Adrenocortical_carcinoma,Yes
Adrenogenital syndrome,https://en.wikipedia.org/wiki/Adrenogenital_syndrome,Yes,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia,Yes
"Adrenoleukodystrophy, autosomal, neonatal form","https://en.wikipedia.org/wiki/Adrenoleukodystrophy,_autosomal,_neonatal_form",Yes,https://en.wikipedia.org/wiki/Adrenoleukodystrophy,Yes
"Adrenoleukodystrophy, X-linked",https://en.wikipedia.org/wiki/Adrenoleukodystrophy,No,https://en.wikipedia.org/wiki/Adrenoleukodystrophy,Yes
Adrenomyodystrophy,https://en.wikipedia.org/wiki/Muscular_dystrophy,No,https://en.wikipedia.org/wiki/Muscular_dystrophy,Yes
Adult attention deficit hyperactivity disorder,https://en.wikipedia.org/wiki/Adult_attention_deficit_hyperactivity_disorder,No,https://en.wikipedia.org/wiki/Adult_attention_deficit_hyperactivity_disorder,Yes
Adult-onset Still's disease,https://en.wikipedia.org/wiki/Adult-onset_Still%27s_disease,No,https://en.wikipedia.org/wiki/Adult-onset_Still%27s_disease,Yes
Adult syndrome,https://en.wikipedia.org/wiki/Adult_syndrome,Yes,https://en.wikipedia.org/wiki/Acro%E2%80%93dermato%E2%80%93ungual%E2%80%93lacrimal%E2%80%93tooth_syndrome,Yes
Advanced sleep phase syndrome,https://en.wikipedia.org/wiki/Advanced_sleep_phase_syndrome,Yes,https://en.wikipedia.org/wiki/Advanced_sleep_phase_disorder,Yes
Aerosinusitis,https://en.wikipedia.org/wiki/Aerosinusitis,No,https://en.wikipedia.org/wiki/Aerosinusitis
Afibrinogenemia,https://en.wikipedia.org/wiki/Afibrinogenemia,Yes,https://en.wikipedia.org/wiki/Congenital_afibrinogenemia
African trypanosomiasis,https://en.wikipedia.org/wiki/African_trypanosomiasis,No,https://en.wikipedia.org/wiki/African_trypanosomiasis,Yes
Agammaglobulinemia,https://en.wikipedia.org/wiki/Agammaglobulinemia,Yes,https://en.wikipedia.org/wiki/Hypogammaglobulinemia,Yes
Aganglionosis,https://en.wikipedia.org/wiki/Aganglionosis,Yes,https://en.wikipedia.org/wiki/Hirschsprung%27s_disease,Yes
Aggressive fibromatosis,https://en.wikipedia.org/wiki/Aggressive_fibromatosis,No,https://en.wikipedia.org/wiki/Aggressive_fibromatosis,Yes
Aging,https://en.wikipedia.org/wiki/Senescence,No,https://en.wikipedia.org/wiki/Senescence
Agnathia,https://en.wikipedia.org/wiki/Agnathia,No,https://en.wikipedia.org/wiki/Agnathia
holoprosencephaly,https://en.wikipedia.org/wiki/Holoprosencephaly,No,https://en.wikipedia.org/wiki/Holoprosencephaly,Yes
