diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh,nci,article
jumeaux siamois, , ,"chimère,diprosopie", , , , , ,C0041428,D014428,C98903, 
syndrome de Zollinger-Ellison, ,"(RS)-rabéprazole,cimétidine,famotidine,lansoprazole,nizatidine,oméprazole,pantoprazole", , , , , ,E16.4,C0043515,D015043,C3453, 
syndrome de Cushing, ,"(RS)-aminoglutéthimide,mitotane", , , , , , , ,D003480,C2969, 
intolérance au lactose,"ballonnement abdominal,borborygme,diarrhée,douleur abdominale,flatulence,nausée,vomissement", ,allergie aux protéines du lait de vache,"Q5404323,âge de la personne","absence,alimentation","analyse génétique,bilan sanguin,biopsie,chromatographie,pH des selles,test à l'hydrogène expiré",271.3,"E73,E73.9","C0022951,C0268181,C1857231",D007787,C3154, 
ischémie mésentérique, , , , , , , , ,C0267412,D065666, , 
infection urinaire,"douleur abdominale,dysurie,fièvre,hématurie,pollakiurie","DL-ofloxacine,Nifuratel,Nitroxoline,Q1050019,Q12415847,Q1638852,Q1639588,Q1639595,Q27123095,Q27264316,Q48566821,Q5119441,Q7636169,acide clavulanique,acide nalidixique,amoxicilline,amphotéricine B,ampicilline,aztréonam,bacampicilline,cefpodoxime proxétil,ceftazidime,ceftibuten,ceftizoxime,ceftriaxone,ciprofloxacine,cloxacilline,colistiméthate,céfaclor,céfadroxil,céfalotine,céfamandole,céfapirine,céfazoline,céfixime,céfopérazone,céfotaxime,céfotétan,céfoxitine,céfuroxime,céfépime,céphalexine,dicloxacilline,doxycycline,déméclocycline,enoxacine,ertapénem,fluconazole,fosfomycine,gatifloxacine,gentamicine,hippurate de méthénamine,imipénème,linézolide,loméfloxacine,lévofloxacine,lévofloxacine hémihydratée,mezlocilline,moxifloxacine,méropénem,méropénem trihydraté,méthénamine,nitrofurantoin,norfloxacine,oxacilline,phénoxyméthylpénicilline potassique,pipéracilline,sulfadiazine,sulfafurazol,sulfaméthizol,sulfaméthoxazole,ticarcilline,tobramycine,triméthoprime,vaborbactam", , , , ,595.0,N30.0,C0149523,D014552,"C26934,C50791", 
Maladie de Bornholm, , , , , , ,074.1,B33.0,C0032238,D011000, , 
puberté précoce, ,leuprorelin, , , , ,259.1,"E22.8,E30.1",C0034013,D011629,C48628, 
dysarthrie, ,clonazépam, , , , , , ,C0013362,D004401, , 
Zuckerschleim, , , , , , , , , , , , 
dermatite, ,"DL-méthionine,Q27110219,Q7784698,acide lactique,acide orthoborique,alclométasone,amcinonide,bétaméthasone,clobétasol,crisaborole,doxycycline,glycérol,oxyde de zinc", , , , ,692.9,L30.9,"C0011603,C3875321",D003872,C2983, 
tumeur du cerveau, , , , , , , , , ,D001932,C2907, 
Syndrome de haute résistance des voies aériennes supérieures, , , , , , , , , , , , 
chikungunya,"arthralgie,conjonctivite,céphalée,exanthème,fatigue,fièvre,myalgie,nausée,trouble neurologique",anti-inflammatoire non stéroïdien, , ,Chikungunya virus,"culture virale,examen clinique,réaction en chaîne par polymérase", ,A92.0,C0008055,D065632,C128422, 
maladie adénomatoïde kystique du poumon, , , , , , , ,Q33.0,"C0010668,C0158641",D015615,C98892, 
cystite,inflammation,"DL-ofloxacine,Marbofloxacin,Q3995932,Q48566821,Q5038067,Q7100015,amphotéricine B,cefpodoxime,ciprofloxacine,enoxacine,fosfomycine,gatifloxacine,lévofloxacine hémihydratée,moxifloxacine,méthénamine,nitrofurantoin,norfloxacine", , , , ,"595,595.89,595.9","N30,N30.9",C0010692,D003556,C26738, 
exstrophie vésicale, , , , , , ,753.5,Q64.10,C0005689,D001746,C123207, 
Ampullome, , , , , , , , , , , , 
syndrome coronarien aigu, ,"Q48566705,Q48566757,acide acétylsalicylique,clopidogrel,prasugrel,ticagrelor", , , , , , ,C0948089,D054058,C53652, 
"syndrome 47,XYY", , , , , , , ,Q98.5,"C0043379,C3266843",D014997,C85237, 
insuffisance mitrale, , , , , , ,"396.3,746.6",Q23.3,"C0026266,C0158619,C0264774,C3551535",D008944,"C50852,C50888", 
état stuporeux, ,mesocarb, , , , , , ,C0085628,D053608, , 
leucémie myéloïde en phase accélérée, ,mésilate d'imatinib, , , , , , , ,D015465, , 
intoxication alimentaire,"céphalée,diarrhée,douleur abdominale,empoisonnement,vomissement","Liquide de Ringer,Q2920739,charbon actif", , ,"Q26305696,contaminant alimentaire","culture microbiologique,hémogramme", ,A05.9,C0679360,D005517,C128351, 
candidose, ,"amphotéricine B,caspofungine,fluconazole,fluorocytosine,itraconazole,kétoconazole,micafungine,natamycine,nystatine,voriconazole", , , , ,"112,112.89,112.9","B37,B37.9",C0006840,D002177,C26711, 
Kuru,"arthralgie,céphalée,diplopie,démence,dépression,escarre,faiblesse musculaire,obésité,saute d'humeur,strabisme,tremblement,trouble de la parole,étourdissement", ,"Kuru,koro,royaume Kourou", ,prion,"Histopathologie,biopsie,examen clinique,imagerie par résonance magnétique",046.0,"A81.8,A81.81",C0022802,D007729, , 
Anomalie d'Ebstein, , , , , , ,746.2,Q22.5,C0013481,D004437,C84681, 
uvéite,inflammation,"Dexaméthasone,adalimumab,atropine,infliximab,méthotrexate,prednisolone", , , , , ,H20.9,C0042164,D014605,C26909, 
incontinence urinaire, ,"(RS)-oxybutynine,Q419824,flavoxate,midodrine,toltérodine", , , , , , ,C0042024,D014549,C78497, 
rétinopathie de Purtscher, , , , , , , , ,C0339488, , , 
AIDS-Phobie, , , , , , , , , , , , 
résistance à la protéine C activée, , , , , , ,289.81,D68.51,"C0600433,C1861171",D020016, , 
maladie âaâ, , , , , , , , , , , , 
abasie, , , , , , , , , , , , 
maladie de Schindler, , , , , , ,277.89,E77.1,"C0342850,C1836544", , , 
paralysie du nerf abducens, , , , , , ,378.54,H49.2,"C0271355,C1847523",D020434,"C27592,C27593", 
énurésie nocturne, ,mesocarb,nycturie, , , , , ,C0270327,D053206,C118172, 
complexe d'infériorité, , , , , , , , , , , , 
ablépharie, , , , , , , , , , , , 
procrastination, , , , ,"déficience,stress,trouble du déficit de l'attention", , , , , , , 
abrasion dentaire, , , , , , , , , ,D014072,C50449, 
Überköten, , , , , , , , , , , , 
culpabilité du survivant, , , , , , , ,"F43.1,F62.0", , , , 
aboulie, , , , , , , , ,C0919974, , , 
Syndrome carcinoïde, ,"octréotide,éthyle de télotristat,évérolimus", , , , ,259.2,E34.0,"C0024586,C0349535",D008303,C3215, 
achlorhydrie,diarrhée, , , , , , , ,C0001075,D000126, , 
achylie, , , , , , , , , , , , 
adénocarcinome, , , ,fumer, , , , ,C0001418,D000230,C2852, 
adermatoglyphie, , , , , , , ,Q82.8,"C1851080,C1852150",C565010, , 
aspergillome, ,"antimycosique,itraconazole,posaconazole,triazole,voriconazole", , ,"Aspergillus,Aspergillus fumigatus", , , , ,D055732, , 
adipsie, , , , , , , , , , , , 
syndrome du Dhat, , , , , , , , , , , , 
syndrome cérébral organique, , ,syndrome psycho-organique, , , , , , ,D019965, , 
Syndrome Homme XX, , , , , , , , , ,D058531,C86032, 
angiomatose, , , , , , , , , ,D000798,C45479, 
déficit en hormone de croissance, , , , , , , , , ,D004393,C34555, 
mutisme sélectif, , , , , , , , ,C0236818, ,C92569, 
maladie des corps de polyglucosane de l'adulte, , , , , , , ,E74.0,C1849722,C564878, , 
peste équine, , , , ,African horse sickness virus, , , , ,D000355, , 
intoxication médicamenteuse, , , , , , , , , , , , 
somnambulisme, , , , , , , , , ,D013009,C95078, 
Agalactie, , , , , , , , , , ,C114409, 
Aganglionose, , , , , , , , ,C1836741, , , 
jaunisse hyperbilirubinémique néonatale transitoire, , , , , , , ,P59.8,"C0270210,C0270215",C562692,C98846, 
agrypnia excitata, , , , , , , , , , , , 
intoxication au mercure,"altération visuelle,amaigrissement,anorexie,asthénie,bronchite,crampe abdominale,céphalée,dermatite irritative,dermite de contact,diarrhée,douleur thoracique,dysgueusie,dysphagie,dyspnée,exanthème,fatigue,hypertension artérielle,indécision,insomnie,insuffisance respiratoire,insuffisance rénale chronique,irritabilité,irritation,irritation oculaire,néphropathie,pneumopathie chimique,protéinurie,salivation,stomatite,tachycardie,toux,tremblement,trouble gastro-intestinal,œdème du poumon",pénicillamine, , ,mercure, ,985.0,T56.1,C0025427,D008630, , 
acanthosis nigricans, , , ,résistance à l'insuline, , , ,L83,C0000889,D000052,C26687, 
acroparesthésie, , , , , , , , ,C1332141, ,C35810, 
hypervitaminose, , , , , , , , ,C0342951, , , 
syndrome aigü du  mésencéphale, , , , , , , , , , , , 
syndrome abdominal aigu, , , , , , , , , ,D000006, , 
Syndrome d'Alström,cécité, , , , , , , ,C0268425,D056769,C84549, 
Syndrome des buveurs de lait, , , , , , , , , , , , 
aluminose, , , , , , , , ,C0311227, , , 
alvéolite pulmonaire, , , , , , , , , , , , 
trisomie 18, , ,syndrome oro-facio-digital type 8, , , ,758.2,"Q91.0,Q91.1,Q91.2,Q91.3",C0152096,D000073842,"C101362,C36626", 
accident de décompression,"altération visuelle,amnésie,arthralgie,confusion,convulsion,céphalée,douleur,dyspnée,fatigue,formication,hyperesthésie,nausée,paralysie,paresthésie,perte de conscience,prurit,saute d'humeur,signe du godet,surdité,trouble de la continence,vertige,vomissement,étourdissement", ,hyperpression pulmonaire, ,palier de décompression, , , , ,D003665, , 
amentia,"Q58184039,amnésie,délire,désorientation,hallucination", , , , , , , , , , , 
effets du tabac sur la santé, , , , , , , , , , , , 
couronne perlée du gland, , ,grain de Fordyce, , , , , ,"C0269017,CL474385", , , 
trouble du transport des acides aminés, , , , , , ,270.0,E72.0,C0268641,D020157, , 
crétinisme, , , , , , , , , , , , 
syndrome d'insensibilité complète aux androgènes, , , , , , , , , , , , 
chromosome en anneau, , , , , , , ,Q93.2, ,D012303,C3360, 
parasitose intestinale, , , , ,parasite intestinal, , , , ,D007411, , 
gestose, , , , , , , , ,"C0032914,C1321782", , , 
cyphose, , , , , , , , ,"C0022821,C1845112",D007738,C34754, 
anasarque, ,"Q1169561,Q2072745,Q2603363,Q27281933,Q2889971,Q3837481,Q418571,Q7272222,amiloride,bendrofluméthiazide,bumetanide,captopril,chlortalidone,cyclothiazide,danazol,furosémide,hidrocloratiazida,hydrofluméthiazide,icodextrine,indapamide,méthyclothiazide,polythiazide,prednisolone,spironolactone,torasemide,triamtérène,énalapril", , , , , , , , ,C98811, 
insuffisance anastomotique, , , , , , , , , ,D057868, , 
paramyotonie congénitale, , , , , , ,359.29,G71.1,"C0221055,C1868617,C1868619",C538616,C122790, 
Paralysie de Todd, , , , , , ,344.89, ,C0234544, , , 
Déficience en sucrase-isomaltase, , , , , , ,271.3,E74.3,C1283620,C538139,C128190, 
hibernome, , , , , , , , ,C0205822, ,C3702, 
gigantisme, , ,"Q63441625,gigantisme abyssal", , , , ,E22.0,C0017547,D005877, , 
Neurasthénie, , , , , , , , , ,D009440, , 
arthrite psoriasique, ,"aprémilast,auranofin,aurothioglucose,étanercept", , , , ,696.0,"L40.5,L40.50",C0003872,D015535,C61277, 
tétanie,contractures tétaniques,"Pentahydroxyéthanoate de calcium,calcium (glucoheptonate de) dihydraté,chlorure de calcium", , ,Hypocalcémie, , , ,C0039621,D013746,C114789, 
Paraphasie, , , , , , , , ,C0234488, , , 
dactylite, , , , , , , , ,C0239161, , , 
Hamartome, , , , , , ,759.6, ,C0018552,D006222, , 
syndrome des cheveux incoiffables, , , , , , , ,Q84.1,C0432347,C536939, , 
Hh, , , , , , , , ,C1859408, , , 
dysfonction endothéliale, , , , , , , , ,C0856169, , , 
myélite,inflammation, , , , , ,323.9, ,C0026975,D009187,C26832, 
Syndrome de Pena-Shokeir, , , , , , , , ,C0265228, ,C99008, 
maladies alcooliques du foie,"ictère,nausée", , , ,alcoolisation,"bilan hépatique,hémogramme", , , ,D008108, , 
Aphakie, , ,aphasie, , , , , , ,D001035, , 
anorchidie, , ,anarchie, , , , ,Q55.0, , , , 
anoxie, , , , , , , , , , ,C2876, 
Syndrome d'Eisenmenger, , , , , , , ,I27.2,C0013743,D004541,C84390, 
syndrome anticholinergique,"Hypermétropie,hyperthermie,mydriase,oligurie,rougissement,tachycardie,vision floue,xérodermie,xérostomie", , , ,anticholinergique, , , , ,D064807, , 
trouble de la personnalité masochiste, , ,"Masochisme,masochisme", , , , , ,C1404989, , , 
omphalite du nouveau né, , , , , , , , , , ,C116008, 
myxome, , , , , , , , , ,D009232, , 
Érythrodysesthésie palmo-plantaire, , , , , , , , ,C0549410,D060831, , 
Syndrome de May-Thurner,"couleur anormale de la peau,tuméfaction", , , , , , , , ,D062108, , 
photosensibilisation, ,"Avobenzone,Q2319112,acide 4-aminobenzoïque,hydroxychloroquine,oxybenzone", , , , ,692.72, ,"C0031762,C0162824",D017454, , 
avolition, , , , , , , , ,C3495892, , , 
Syndrome de Hughes-Stovin, , , , , , , ,I28.8, , , , 
Kératocône, , , , , , ,"371.6,371.60","H18.6,H18.60",C0022578,D007640,C26806, 
torticolis, , , , , , , , ,C0040485,D014103, , 
lithiase, , ,calcul infinitésimal, , , , , ,"C0023869,C1269628",D002137, , 
Syndrome d'Apert, , , , , , , , , , ,C99099, 
Taijin kyōfushō, , , , , , , , , , , , 
déficit en alpha 1-antitrypsine, , , , , , ,273.4,"E88.0,E88.01","C0221757,C3501835",D019896,C84397, 
kyste arachnoïdien, , , , , ,Q108525708, ,G93.0,"C0078981,C0751615",D016080,C3455, 
accouchement prématuré, , ,"avortement,enfant prématuré,mortinatalité", , , , , , ,D047928,C92861, 
Luxation congénitale de la hanche, , , , , ,radiographie d'une luxation congénitale de la hanche, , ,"C0019555,C1306065",D006618,"C116769,C119752", 
syndrome d'Eagle,"cervicalgie,douleur de l'épaule,otalgie", , , , , ,733.99, ,C1868714,C538010, , 
psychose toxique amphétaminique, , , , , , , , , , , , 
maladie professionnelle, , , , , , , , ,C0028797,D009784, , 
Syndrome de Lujan-Fryns, , , , , , , , ,C0796022,C537724, , 
argyrisme,couleur anormale de la peau, , , ,argent, , ,T56.8,C0003782,D001129, , 
signe d'Argyll Robertson, , , , , , ,379.45,H57.01,C0155375, , , 
pied plat, , , , , , ,734, ,"C0016202,C0264133",D005413,C34616, 
doigt en maillet,"contusion,douleur", , , , , , , , , , , 
Granulome eosinophilique, , , , , , ,277.89,C96.6,C0014461,D004803,C3016, 
dystonie musculaire déformante, , , , , , , , , , , , 
radiodermite, , , , ,irradiation, , , ,"C0034561,C1504534",D011855,"C3349,C50722", 
syndrome de Neu-Laxova, , , , , , , , ,C0265218,C536405, , 
fibrose systémique néphrogénique, , , , , , ,588.89, ,"C1619692,C3888044",D054989,C115158, 
séquestration pulmonaire, , , , , , , ,Q33.2,C0006288,D001998, , 
Dysplasie fibromusculaire, , , , , , , , ,C0016052,D005352,C84714, 
dystonie dopa-sensible, , , , , , , ,G24.8,C1851920,C538007,C116719, 
dysosmie, , , , , , , , , , ,"C116370,C86949", 
muselmann, , , , , , , , , , , , 
hémorragie méningée,"photophobie,vomissement","acide tranexamique,nimodipine", , ,anévrisme,tomodensitométrie,430, ,C0038525,D013345,C50757, 
douleur psychogène, , , , , , , , , , , , 
crise de panique, , ,Q48862213, , , , , , , , , 
hernie discale, , , , , , , , ,"C0021818,C1832597",D007405, , 
fistule artério-veineuse, , , , , , , , ,"C0003855,C0332965",D001164,"C35377,C36192", 
Érythème pigmenté fixe, , , , , , , , ,C0877391, , , 
Sarcome des tissus mous, , , , , , , , ,"C0334492,C1261473,C2211494", ,C9306, 
érythème induré de Bazin, , , , , , , , ,C0014741,D004891, , 
Hémoglobinurie paroxystique a frigore, , , , , , , ,D59.6,"C0086774,C0272129",C538618, , 
Asomatognosie, , , , , , , , ,C0840927, , , 
aspermie, , , , , , , , , ,D053714, , 
Syndrome de Turcot, , , , , , , , ,C0265325,C536928,"C130202,C3938", 
épicondylite, , , ,fumer, , , , ,C0039516,D013716, , 
Asplénie, , ,Asplenia, , , , , , , , , 
Condylom, , , , , , , , , , , , 
Réaction de Jarisch-Herxheimer, , , , , , , , ,C0259756, , , 
lordose, , , , , , , , ,C0024003,D008141,C34787, 
phacomatose, , , , , , , , , ,D020752,C84348, 
atélectasie, , , , , , , , ,C0004144,D001261,C2888, 
infection des voies respiratoires, , , , , , , , ,C0035243,D012141, , 
Atonie, , , , , , , , , , , , 
papillome atypique des plexus choroïdes, , , , , , , ,C71.5, , ,C53686, 
inflammation catarrhale, , ,Katarr, , , , , ,C0333355, , , 
glucagonome, , , , , , , , ,"C0017689,CL428078",D005935, , 
syndrome frontal, , , , ,lobotomie, , , ,C0549117, , , 
rétinopathie aiguë occultes zonale externe, , , , , , ,362.10, ,C0730298,C538223, , 
hyperazotémie, , , , , , , , ,C0242528,D053099, , 
sirénomélie, , , , , , , ,Q87.2,C0037205,C538595,C118455, 
intertrigo, , , , , , , , , ,D007402, , 
syndrome de  Babinski–Nageotte, , , , , , , , ,C0270711, , , 
trabéculation vésicale, , , , , , , , ,C0429803, , , 
carcinome basocellulaire, ,"Q7557107,fluorouracile,imiquimod,sonidégib,vismodégib", , , , , , ,"C0007117,C0206710,C1368295,C1862314",D002280,"C2921,C3784,C7586", 
Q813677, , , , , , , , ,C0581352, , , 
syndrome de Behr, , , , , , , ,H35.5,C0221061,C537669,C177251, 
trouble lié au stress, , , , , , , , , , , , 
dysménorrhée, , , , , , , , ,C0013390,D004412,C34559, 
Syndrome de Benedikt, , , , , , , , , , , , 
phlébite bleue, , , , , , , , , , , , 
hyponatrémie, , , , , , , , ,C0020625,D007010,C37976, 
Géode osseuse, , , , , , , , ,C0005937,D001845, , 
anomalie de la démarche, , , , , , , , ,"C0231687,C3809740",D020233, , 
hématome du septum nasal, , , , , , , , , , , , 
photokératite, , , , , , ,370.24,H16.13,C0155078, ,C118750, 
myopathie de Bethlem, , , , , , , , ,"C1834674,CN029274", ,C126688, 
hyperplasie, , , , , , , , ,C0020507,D006965,C3113, 
maladie opportuniste, ,ganciclovir, , , , , , , ,D009894, , 
adénovirose,"adénopathie,congestion nasale,conjonctivite,diarrhée,fièvre légère,mal de gorge,nausée,rhinite,rhinorrhée,xérostomie","Désoxyribonucléase,anticorps,traitement symptomatique", , ,Adenoviridae, , , , ,D000258,C115149, 
leucoplasie, , , , , , , , ,C0023531, ,C3186, 
syndrome de l'intestin irritable,"ballonnement abdominal,constipation,diarrhée,inconfort abdominal","Dicyclovérine,Q3275451,acide 5-aminosalicylique,adalimumab,alosétron,calcium polycarbophile,hyoscyamine,infliximab,linaclotide,lopéramide,lubiprostone,mébévérine,rifaximin,trimébutine,tégasérod", , , ,"coloscopie,examen clinique,rectosigmoïdoscopie",564.1,"K58,K58.9",C0022104,D043183,C82343, 
Embolie de cholestérol, , , , , , ,"445,459.89",I75,C0149649,D017700, , 
extrasystole, , , , , , , , ,C0340464,D005117, , 
métrite, , , , , , , , , , , , 
maladie coronarienne, ,"Isosorbide,Q3294635,Q5037872,atorvastatine,clofibrate,colestyramine,colésévélam,cérivastatine,dextrothyroxine,eptifibatide,fluvastatine,fénofibrate,gemfibrozil,lovastatine,pravastatine,probucol,périndopril,simvastatine,sulfinpyrazone,tirofiban,évolocumab", ,fumer,artériosclérose, ,"410-414.99,414.0,414.00,414.9","I20-I25,I25,I25.1,I25.10,I25.9,K76.1","C0010054,C0010068,C0151744,C0264694,C1956346",D003324,"C26732,C35505,C50625", 
fibrillation ventriculaire,"syncope,vertige","(RS)-mexilétine,acébutolol,adrénaline,amiodarone,aténolol,bretylium,esmolol,lidocaïne,moracizine,métoprolol,propranolol,sotalol,vasopressine", , ,"cardiomyopathie,infarctus du myocarde,syndrome de Brugada,syndrome du QT long", ,427.41, ,C0042510,D014693,C50799, 
couvade, , , , , , , , , , , , 
Syndrome de l'accent étranger, , , , , , , , , , , , 
déficit en 5-alpha-réductase,Q111693701, , , , , , , , , ,C98699, 
Citrullinémie, , , , , , , ,"E72.2,E72.23",C0175683,D020159,C84639, 
Bicuspidie valvulaire aortique, , , , , , , , , ,D000082882,C128803, 
biliome, , , , , , , , ,C1167663, , , 
Q863710, , , , , , , ,A51.31,C0275828, , , 
syndrome de Bing-Neel, , , , ,maladie de Waldenström, , , ,C0270710, , , 
otite moyenne aiguë, , , , , , , , , , , , 
atteinte de la moelle osseuse, , , , , , , , ,C0280962, , , 
Ostéochimionécrose, , , , , , , , ,C3178777,D059266, , 
coccidioïdomycose,"arthrite,conjonctivite","amphotéricine B,fluconazole,itraconazole,kétoconazole,natamycine", , , , ,"114,114.9","B38,B38.9",C0009186,D003047,C84642, 
linite plastique, , , , , , , ,C16.9, ,D008039, , 
maladie de La Peyronie,impuissance sexuelle, , ,fumer, , ,607.85,N48.6,C0030848,D010411,C3316, 
acidocétose diabétique, , , , , , ,250.1, ,C0011880,D016883,C50530, 
pemphigoïde, , ,pemphigus, , , , , ,CL449041, ,C34908, 
syndrome de Bean, , , , , , , ,Q27.8,C0346072,C536240,C4486, 
Q886810, , , , , , , , ,C1135352, , , 
tumeur de Buschke-Löwenstein, , , , , , , , , ,D062688, , 
coagulopathie, ,"Ménadiol,acide tranexamique,ménadione", , , , ,"286,286.9,287.8",D68.9,C0005779,D001778,C2902, 
syndrome de Legius, , , , , , ,709.09,Q85.0,C1969623,C548032, , 
syndrome de Bonnet-Dechaume-Blanc, , , , , , , ,Q28.2,C0265321,C536752, , 
papulose bowénoïde, , , , ,infection à papillomavirus humain, ,447.8, ,C0334106, ,C8374, 
dichromatopsie, , ,"dichromatisme,dyschromatopsie", , , , , ,C4023317, , , 
lymphœdème, , , , , , , , ,C0024236,D008209,C3207, 
rhabdomyolyse, , , , , , ,728.88, ,C0035410,D012206,C118318, 
syndrome d'Usher, , , , , , , , ,"C0271097,C1568248,C1568249,C2931205",D052245,"C126329,C85217", 
Maladies inflammatoires chroniques intestinales, ,"acide cromoglicique,clidinium", , , , , , ,C0021390,D015212,C3138, 
onychomycose, ,"itraconazole,mycoster,terbinafine", , , , , , ,C0040261,D014009,C112214, 
suette, , , , , , , , , ,D018614, , 
syndrome de Charles Bonnet, , , , , , , , ,C0339731, , , 
infiltration des îlots de Langerhans, , , , , , , , , , , , 
dysplasie broncho-pulmonaire, ,palivizumab, , , , , ,P27.1,C0006287,D001997,C90599, 
kératite à acanthamoeba, , , , ,infection, ,370.8,"B60.1+,H19.2*","C0000880,C0033129",D015823,C50450, 
épidermolyse bulleuse, ,phénytoïne, , , , ,757.39,"Q81,Q81.9",C0014527,D004820,C67383, 
aphasie expressive, , , , , , , , ,"C0003550,C0917814",D001039, , 
ostéophyte, , , , , , , , , ,D054850, , 
Trichoépithéliome multiple familial, , , , , , , ,D23.3,C1275122,C536552, , 
potomanie, , , , , , , , , ,D059607, , 
Syndrome de pseudohypertrophie musculaire-hypothyroïdie, , , , , , , ,E03.1,C0270958, , , 
adénome des cellules des îlots de langerhans, , , , , , , , ,C0022134, , , 
maladie mitochondriale, , , , , , , ,E88.4,C0751651,D028361, , 
