diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Q6058359,Q6058359, , , , , , , , , , , , , ,I60.7,C1835857, , , , , 
Q55789860,Q55789860, , , , , , , , , , , , , , , , , , , , 
Q731569,Q731569, , , , , , , , , , , , , , ,C0345050,C562834, , , , 
Q72277448,Q72277448, , , , , , , , , , , , , , , , , , , , 
Q65361991,Q65361991, , , , , , , , , , , , , , , , , , , , 
anorgàsmia,Q1772397, , , , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/Anorg%C3%A0smia, , 
Q11788623,Q11788623, , , , , , , , , , , , , , , , , , , , 
aplàsia,Q5488, , , , , , , , , , , , , , ,C0243065, , ,https://ca.wikipedia.org/wiki/Apl%C3%A0sia,incomplet desenvolupament o absència congènita d'un òrgan o teixit, 
Q7316733,Q7316733, , , , , , , , , , , , , , ,C0858867, ,C113710, , , 
Q3621073,Q3621073, , , , , , , , , , , , , , ,C0003650,D001079, , , , 
Q17080749,Q17080749, , , , , , , , , , , , , , , , , , , , 
Q730249,Q730249,"Q21112283,Q21117237,astènia,dermatitis,deshidratació,diarrea,dispnea,dolor abdominal,eritema,gastroenteritis,hiperpigmentació,mal de coll,neuropatia perifèrica,nàusea,pèrdua del coneixement,tos,ull vermell,vòmit,xoc","Q1166142,Q127076,Q12829165,Q1292082,Q156103,Q1641068,Q178061,Q183425,Q186889,Q188008,Q194290,Q21112283,Q21117237,Q229256,Q2610154,Q35805,Q40878,Q633403,Q945238", , , , , , ,arsènic,Q871, , , , , ,D020261, , , , 
arteritis de cèl·lules gegants,Q707816,"Q12680516,Q4922732,cefalàlgia,diplopia,fatiga muscular,febre,pèrdua de pes","Q12680516,Q38933,Q4922732,Q718113,Q775940,Q86,Q9690","metotrexat,prednisolona,prednisona,sumatriptan,tocilizumab","Q11426176,Q416978,Q422232,Q424972,Q425154", , , , , , , , ,446.5,M31.6,"C0039483,C1956391",D013700,C35065,https://ca.wikipedia.org/wiki/Arteritis_de_c%C3%A8l%C2%B7lules_gegants, ,"arteritis de la temporal,malaltia de Horton"
Q4805668,Q4805668, , , , , , , , , , , , , , , , , , , , 
Q9300736,Q9300736, , , , , , , , , , , , , , , , , , , , 
Q35160640,Q35160640, , , , , , , , , , , , , , , , , , ,article científic, 
atetosi,Q755524, , , , ,Q4813631,Q4813631, , , , , , , , ,"C0004158,C1845265",D001264,C116574, , , 
atrèsia esofàgica,Q298233, , , , , , , , , , , , ,750.3,Q39.0,C0014850,D004933,C87072,https://ca.wikipedia.org/wiki/Atr%C3%A8sia_esof%C3%A0gica, ,atrèsia d'esòfag
Q4817544,Q4817544, , , , , , , , , , , , , , ,"C0151241,C1850635",C538262, , , , 
Q4817566,Q4817566, , , , , , , , , , , , , , ,C0340330, , , , , 
Q433152,Q433152, , , , , , , , , , , , , , , ,D001308,C97170, , , 
Q28867094,Q28867094, , , , , , , , , , , , , , ,C3203547,D000089183, , , , 
Q70486606,Q70486606, , , , , , , , , , , , , , , , , , , , 
Q18966636,Q18966636, , , , , , , , , , , , , , , , ,C35483, , , 
Q4855629,Q4855629, , , , , , , , , , , , ,759.89,E31.8,C0342284,C537902, , , , 
sobredosi de barbitúrics,Q1184752, , , , , , , , , , , , , , ,C0572916, , , , , 
Q12857771,Q12857771, , , , , , , , , , , , , , ,C0270860, ,C117013, , , 
Q6898244,Q6898244, , , , , , , , , , , , , , , , , , , , 
Q5196683,Q5196683, , , , , , , , , , , , ,202.80, ,C1274310, , , , , 
Q74639229,Q74639229, , , , , , , , , , , , , , , , , , , , 
Q817298,Q817298,fasciculació,Q1397878, , , , , , , , , , , , , , , , , , 
Q380409,Q380409, , , , , , , , , , , , , , , , , , , , 
Q4890788,Q4890788, , , , , , , , ,benzodiazepina,Q83871, , , , ,C0572933, , , , , 
Síndrome d'abstinència de les benzodiazepines,Q6119887, , , , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/S%C3%ADndrome_d%27abstin%C3%A8ncia_de_les_benzodiazepines,símptomes per l'aturada en el consum o reducció de la dosi, 
Q4901373,Q4901373, , , , , , , , , , , , , , , ,C535437, , , , 
Q80794360,Q80794360, , , , , , , , , , , , , , , , , , , , 
trombocitopatia,Q2429620, , , , , , , , , , , , , , ,C0005818,D001791, , , ,trombopatia
Q65075660,Q65075660, , , , , , , , , , , , , , , , , , , , 
Q503458,Q503458, , , , , , , , , , , , , ,E70.8,C0268478,C536239, , , , 
aplàsia medul·lar,Q7882181, , , , , , , , , , , , , , ,CL406855,D000080983, , , ,aplàsia de medul·la òssia
bradicinèsia,Q897134, , , , , , , , , , , , , , , , ,C116707,https://ca.wikipedia.org/wiki/Bradicin%C3%A8sia, , 
Q95445834,Q95445834, , , , , , , , , , , , , , , , , , , , 
malaltia de Bright,Q3246646, , , , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/Malaltia_de_Bright,denominació històrica de la nefritis, 
Q4386741,Q4386741, , , , , , , , , , , , , , ,"CL1643562,CL1657629",C000711529, , , , 
Q5017161,Q5017161, , , , , , , , , , , , , , , , , , , , 
Q5018783,Q5018783, , , , , , , , , , , , , , ,C0006664, , , , , 
SARS-CoV-2,Q82069695, , , , ,"COVID-19,Coronavirus relacionats amb la Síndrome respiratòria aguda greu,SARS-CoV,pandèmia de la COVID-19,síndrome respiratòria aguda greu","Q103177,Q278567,Q81068910,Q84263196,Q85438966", , , , , , , , , ,D000086402, ,https://ca.wikipedia.org/wiki/SARS-CoV-2,soca de virus causant la pandèmia en curs de malaltia coronavirus 2019 (COVID-19) que ha estat designada com a emergència de salut pública de preocupació internacional per l’Organització Mundial de la Salut,"2019-nCoV,Nou coronavirus (2019-nCoV),coronavirus de síndrome respiratòria aguda greu 2"
Q5032332,Q5032332, , , , , , , , ,Q18967471,Q18967471, , , , , , , , , , 
virus del brom,Q601037, , , , ,Q11793055,Q11793055, , ,Virus del brom,Q1637524, , , , , ,D004216, , , ,Virus del brom
Q65374287,Q65374287, , , , , , , , , , , , , , , , , , , , 
Q68923147,Q68923147, , , , , , , , , , , , , , , , , , , , 
Q5038976,Q5038976, , , , , , , , , , , , , , , , , , , , 
Q55950267,Q55950267, , , , , , , , , , , , , , ,C1834919,C563582, , , , 
Q6137184,Q6137184, , , , , , , , , , , , , , ,C1856930,C535496, , , , 
Q1431217,Q1431217, , , , , , , , , , , , ,362.41,H35.7,C0730328,D056833,C115124, , , 
Q18345210,Q18345210, , , , , , , , , , , , , , ,C0344488, , , , , 
Q29643762,Q29643762, , , , , , , , , , , , , , ,"C0262404,C0740279,C4020873", , , , , 
Q71396405,Q71396405, , , , , , , , , , , , , , , ,D002551, , , , 
Q4357262,Q4357262, , , , , , , , , , , , , ,E75.4,"C0268281,C2931673",C537948, , , , 
MAT,MAT, , , , , , , , , , , , , , , , , , , , 
Q70957905,Q70957905, , , , , , , , , , , , , , , , , , , , 
quimiofòbia,Q2055121, , , , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/Quimiof%C3%B2bia, , 
Q26842138,Q26842138, , , , , , , , , , , , , , , , , , , , 
Q71921582,Q71921582, , , , , , , , , , , , , , , , , , , , 
Chlamydia trachomatis,Q131065, , , , , , , , , , , , , , , ,D002692, ,https://ca.wikipedia.org/wiki/Chlamydia_trachomatis, , 
Chlamydia pneumoniae,Q62869737, , , , , , , , , , , , , , , , , , , , 
Q30849793,Q30849793, , , , , , , , , , , , , , , , , , ,article científic, 
Q55785081,Q55785081, , , , , , , , , , , , , , ,C4310747, , , , , 
Q1237766,Q1237766, , , , , , , , , , , , , , ,C0338597, ,C4351, , , 
Q7455142,Q7455142, , , , , , , , , , , , ,363.8,H30.8,C0729842, , , , , 
trisomia,Q844903, , , , , , , , , , , , , , ,C0041107,D014314, ,https://ca.wikipedia.org/wiki/Trisomia, , 
Q936656,Q936656, , , , , , , , ,quinina,Q189522, , , , ,C0151555, , , , , 
Q30314608,Q30314608, , , , , , , , , , , , , , , , , , , , 
Q5139133,Q5139133, , , , , , , , , , , , ,292.89,T40.5, , , , , , 
Q21503318,Q21503318, , , , , , , , , , , , , , , , , , , , 
Q3961632,Q3961632, , , , , , , , , , , , , ,D59.1,C0175816, , , , , 
Cold antibody hemolytic anemia,Q5142432, , , , , , , , , , , , , , , , , , ,pàgina de desambiguació de Wikimedia, 
Q3552503,Q3552503, , , , , , , , , , , , , , , , , , , , 
Q21132183,Q21132183, , , , , , , , , , , , , , , , , , , , 
Q5160407,Q5160407, , , , , , , , , , , , , , ,C0001733,D000347,C98130, , , 
amputació congènita,Q5160408, , , , , , , , , , , , , , ,C1857583, , , , , 
Q73105726,Q73105726, , , , , , , , , , , , , , , , , , , , 
Q71977549,Q71977549, , , , , , , , , , , , , , , , , , , , 
Q1395683,Q1395683, , , , , , , , , , , , ,777.8, ,C0009714,C562378,C97071, , , 
Q73433043,Q73433043, , , , , , , , , , , , , , , , , , , , 
Q50465198,Q50465198, , , , , , , , , , , , , , , , , , ,article científic, 
Q70709120,Q70709120, , , , , , , , , , , , , , , , , , , , 
Q30314657,Q30314657, , , , , , , , , , , , , , ,CL495035, , , , , 
rampa,Q2006818, , , , ,atac epilèptic,Q6279182, , , , , , , , ,C0026821,D009120,C34827,https://ca.wikipedia.org/wiki/Rampa_(mal),sensació de dolor causada per un espasme muscular involuntari, 
Q5181978,Q5181978, , , , , , , , , , , , ,704.8, ,C0432348, , , , , 
Q17084842,Q17084842, , , , , , , , , , , , ,758.81,E72.8,C1845862,C535598,C125665, , , 
Q72429825,Q72429825, , , , , , , , , , , , , , , , , , , , 
enverinament per cianur,Q883082,convulsió,Q852376, , , , , , ,Cianur,Q55076544, , ,989.0,T65.0, ,D003486, , , , 
citomegalovirus,Q6946, , , , ,citomegalovirus,Q6929, , , , , , , , , ,D003587, ,https://ca.wikipedia.org/wiki/Citomegalovirus, , 
Q5208264,Q5208264, , , , , , , , , , , , , ,Q87.8,C2931014,C535768, , , , 
ejaculació retardada,Q1142563, , , , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/Ejaculaci%C3%B3_retardada, ,Anejaculació
Q71218394,Q71218394, , , , , , , , , , , , , , , , , , , , 
Q5260921,Q5260921, , , , ,trastorn esquizoide de la personalitat,Q498237, , , , , , , , , , , , , , 
22,22, , , , , , , , , , , , , , , , , , , , 
dermatophytids,dermatophytids, , , , , , , , , , , , , , , , , , , , 
Q9390543,Q9390543,"caquèxia,retard del creixement","Q1497481,Q6003455", , , , , , ,Q18556087,Q18556087, , ,253.8,C72.8,"C0271889,C0342436", ,C116955, , , 
Q55790152,Q55790152, , , , , , , , , , , , , , ,C2931124,C536172, , , , 
Q5275418,Q5275418, , , , , , , , , , , , , ,Q82.8,C0474965, , , , , 
Q3085380,Q3085380, , , , , , , , , , , , ,491.8,J44.8,C0878555,C536174, , , , 
Q151350,Q151350, , , , , , , , , , , , , ,T46.0, , , , , , 
diplopia,Q775940, , , , , , , , , , , , , , ,C0012569,D004172,C37941,https://ca.wikipedia.org/wiki/Diplopia, , 
Q67786307,Q67786307, , , , , , , , , , , , , , , , , , , , 
Q76884715,Q76884715, , , , , , , , , , , , , , , , , , , , 
lupus eritematós discoide,Q1228801, , , , , , , , , , , , , ,L93.0,C0024138,D008179,C26820,https://ca.wikipedia.org/wiki/Lupus_eritemat%C3%B3s_discoide, , 
Q3700220,Q3700220, , , , , , , , , , , , , , , , , , , , 
Q7168463,Q7168463, , , , , , , , , , , , ,704.8,L08.8,C0263506,C562486, , , , 
diverticulosi,Q278158, , , , ,diverticulitis,Q1066061, , , , , , , , , ,D043963, ,https://ca.wikipedia.org/wiki/Diverticulosi, , 
Q55790164,Q55790164, , , , , , , , ,doxorubicina,Q18936, , , , , , , , , , 
Q3709266,Q3709266, , , , , , , , , , , , , , ,C0004760, , , , , 
Q5319401,Q5319401, , , , , , , , , , , , , , ,C3840049, , , , , 
Q5319404,Q5319404, , , , , , , , , , , , ,286.3,D68.2,"C0272350,C1260903", ,C131659, , , 
Q77618310,Q77618310, , , , , , , , , , , , , , , , , , ,article científic, 
Q55781839,Q55781839, , , , , , , , , , , , , , ,C1857143,C565610, , , , 
defectes qualitatius o quantitatius de la distrofina,Q55785972, , , , , , , , , , , , , , , , , , , , 
Q18966558,Q18966558, , , , , , , , ,infecció,Q166231, , , , , ,D004457, , , , 
síndrome de les cames inquietes,Q916280, , ,"Q411985,Q420590,Q421304,Q47521685,Q5515257,carbamazepina,clonazepam,gabapentina,pregabalina","Q407988,Q410352,Q410412,Q411985,Q412174,Q420590,Q421304,Q47521685,Q5515257",hipocinèsia,Q1036662, , , , , , ,"333.94,333.99",G25.81,C0035258,D012148,C84501,https://ca.wikipedia.org/wiki/S%C3%ADndrome_de_les_cames_inquietes, ,"síndrome d'Ekbom,síndrome de Wittmaack-Ekbom,síndrome de cames inquietes,síndrome de les cames neguitoses"
encopresi,Q653027, , , , , , , , , , , , , , , ,D004688,C92568, , , 
endocrinopatia,Q3725133, , , , ,malaltia endocrina,Q2661443, , , , , , , , , , , , , , 
Q5379381,Q5379381, , , , , , , , , , , , , , , , , , , , 
entomoftoramicosi,Q5380626, , ,"Q411229,amfotericina B","Q411229,Q412223", , , , ,infecció,Q166231, , , , ,C1396717,C000656785,C77212, ,malaltia humana, 
Q55790206,Q55790206, , , , , , , , ,picada de serp,Q68854, , , , , , , , , , 
Q16969155,Q16969155, , , , , , , , , , , , ,595.89, ,C0742965, , , , , 
Q48770946,Q48770946, , , , , , , , , , , , , , ,C0151788, , , , , 
Q4898733,Q4898733, , , , , , , , , , , , ,"345.7,345.70", ,C0085543,D017036, , , , 
Q68584496,Q68584496, , , , , , , , , , , , , , , , , , , , 
Q897843,Q897843, , , , , , , , , , , , , , ,C0014818,D004919,C3025, , , 
Q13419512,Q13419512, , , , , , , , , , , , , , , ,D054308, , , , 
Q5398647,Q5398647, , , , , , , , , , , , , , , , , , , , 
Q3961670,Q3961670, , , , ,Fads,Q16782245, , , , , , , , ,C0342919, , , , , 
Q1774245,Q1774245, , , , , , , , , , , , , , , , , , , , 
Q25399683,Q25399683, , , , , , , , , , , , , , ,C0344183, , , , , 
Q7455128,Q7455128, , , , , , , , , , , , , , , ,C537586, , , , 
Q3062042,Q3062042, , , , , , , , , , , , , , , , , , , , 
Q70066275,Q70066275, , , , , , , , , , , , , , , , , , , , 
Q3106901,Q3106901, , , , , , , , , , , , , , ,C3163857, , , , , 
Q65546308,Q65546308, , , , , , , , , , , , , , , , , , , , 
Q1393718,Q1393718,hemorràgia,Q166019, , , , , , , , , , ,286.2,D68.1,C0015523,D005173,C84705, , , 
Q69529607,Q69529607, , , , , , , , , , , , , , , , , , , , 
Q30314825,Q30314825, , , , , , , , , , , , , , ,C0272192,C562722, , , , 
Q81154670,Q81154670, , , , , , , , , , , , , , , , , , , , 
Q85760447,Q85760447, , , , , , , , , , , , , , , , , , , , 
Q303331,Q303331, , , , , , , , , , , , , , , , , , , , 
fibrosi,Q605709, , , , , , , , , , , , , , ,C3550476,D005355, ,https://ca.wikipedia.org/wiki/Fibrosi, , 
limfoma fol·licular,Q123251, , , , , , , , , , , , , , ,C0024301,D008224,C3209,https://ca.wikipedia.org/wiki/Limfoma_fol%C2%B7licular, , 
Q21174328,Q21174328,"Q21112283,irritació de gola,irritació nasal,irritació ocular,llagrimeig,sibilació,tos","Q11820606,Q12153824,Q21112283,Q21118859,Q35805,Q517104,Q7798315", , , , , , ,formaldehid,Q161210, , , , , ,C537268, , , , 
gangrena de Fournier,Q616449, , , , , , , , , , , , , , , ,D018934, ,https://ca.wikipedia.org/wiki/Gangrena_de_Fournier, , 
estat de fugida,Q951639, , , , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/Estat_de_fugida, , 
galactorrea,Q278515, , , , , , , , , , , , ,"611.6,676.6", ,"C0235660,C3665358",D005687,C113343,https://ca.wikipedia.org/wiki/Galactorrea, , 
Q5517828,Q5517828, , , , , , , , , , , , , , , ,C535402, , , , 
Q55790276,Q55790276, , , , , , , , , , , , , , ,C2930966,C535647, , , , 
Q1080699,Q1080699, , , , ,kuru,Q274615, , , , , , , , , ,D016911, , , , 
Q475972,Q475972, , , , , , , , , , , , , , , , , , , , 
Acrogèria,Q4675775, , , , , , , , , , , , , , , ,C538187, ,https://ca.wikipedia.org/wiki/Acrog%C3%A8ria, ,síndrome de Gottron
Q95444789,Q95444789, , , , , , , , , , , , , , , , , , , , 
Q5639639,Q5639639, , , , , , , , , , , , , , ,C1841694,C535620, , , , 
hàl·lux valg,Q852574, , , , , , , , , , , , , , ,"C0006386,C0018536",D006215, ,https://ca.wikipedia.org/wiki/Galind%C3%B3,deformitat del peu,"galindó,hallux valgus"
Q72887210,Q72887210, , , , , , , , , , , , , , , , , , , , 
Q5656137,Q5656137, , , , , , , , , , , , ,334.3,G11.1,C0393520,C535633, , , , 
Q3542028,Q3542028, , , , , , , , , , , , , ,"C38.0,D15.1",C4274356, , , , , 
Q5695132,Q5695132, , , , , , , , , , , , , , , , , , , , 
Q764185,Q764185, , , , , , , , , , , , , , , ,D059885, , , , 
Q52771370,Q52771370, , , , , , , , , , , , , , ,C1865871,C535860, , , , 
hematocolpos,Q5711155, , , , , , , , , , , , , , , ,D006399, ,https://ca.wikipedia.org/wiki/Hematocolpos, , 
hemotòrax,Q369073, , , , , , , , , , , , , , ,C0019123,D006491,C50582,https://ca.wikipedia.org/wiki/Hemot%C3%B2rax,acumulació de sang a la cavitat pleural, 
Q37741170,Q37741170, , , , , , , , , , , , , , , , , , ,article científic, 
Q83059792,Q83059792, , , , , , , , , , , , , , , , , , ,article científic, 
Q1330599,Q1330599, , , , , , , , , , , , , , , ,D006568, , , , 
heterofòbia,Q849223, , , , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/Heterof%C3%B2bia,Sentiment de por i rebuig envers les persones heterosexuals, 
singlot,Q58952, , ,"Q510494,baclofèn,benzonatat,clorpromazina,dietilèter","Q202218,Q2070778,Q407972,Q413717,Q510494", , , , , , , , ,786.8, , ,D006606,C37966,https://ca.wikipedia.org/wiki/Singlot, , 
Displàsia de maluc canina,Q1434611, , , , , , , , , , , , , , , ,D006619, ,https://ca.wikipedia.org/wiki/Displ%C3%A0sia_de_maluc_canina, ,"Displàsia de maluc,Displàsia de malucs"
Q70583462,Q70583462, , , , , , , , , , , , , , , , , , , , 
histiocitosi de cèl·lules no-Langerhans,Q3136521, , , , , , , , , , , , , , ,C0019624,D015616, , , ,histiocitosi tipus II
virus de la immunodeficiència humana,Q15787, , , , , , , , , , , , , , , ,D006678, ,https://ca.wikipedia.org/wiki/Virus_de_la_immunodefici%C3%A8ncia_humana,"retrovirus humà, causant del síndrome d'immunodeficiència adquirida (SIDA)",VIH
Q1634033,Q1634033, , , , , , , , , , , , , , , , ,C98947, , , 
Q83156253,Q83156253, , , , , , , , , , , , , , , , , , , , 
Q70926359,Q70926359, , , , , , , , , , , , , , , , , , , , 
dents de Hutchinson,Q1424702, , , , , , , , ,Q5160454,Q5160454, , , , ,C0020186, , , , , 
Q1640868,Q1640868, , , , , , , , , , , , , , ,C0220994,D022124,C98950, , , 
Q112610466,Q112610466, , , , , , , , , , , , , , , , , , , , 
Q112610466,Q112610466, , , , , , , , , , , , , , , , , , , , 
Q5958019,Q5958019, , , , , , , , , , , , , , ,C2609164, , , , , 
hiperhidrosi,Q935781, , ,"Q27286540,hiosciamina","Q27286540,Q413762", , , , , , , , , , , ,D006945,C78345,https://ca.wikipedia.org/wiki/Hiperhidrosi, ,hipersudoració
hiperpotassèmia,Q605259, , ,Q21284261,Q21284261, , , , , , , , , , ,C0020461,D006947,C37968,https://ca.wikipedia.org/wiki/Hiperpotass%C3%A8mia, ,"hipercalèmia,hiperkalèmia"
Q43185102,Q43185102, , , , , , , , , , , , , , ,C0263420,C538377, , , , 
Q68640538,Q68640538, , , , , , , , , , , , , , , ,D008072, , , , 
Q1641052,Q1641052, , , , , , , , , , , , , , ,"C0020494,C4280524,C4280525,C4280526,C4280527",D006957,C84772, , , 
Q1429154,Q1429154, , , , , , , , , , , , , , , , , , , , 
Q21101401,Q21101401, , , , , , , , , , , , , , , , , , , , 
Q22303883,Q22303883, , , , , , , , , , , , , , , , , , , , 
hipertèrmia,Q242165, , ,"Q1320691,Q20817210,cefepima,ceftazidima,ciprofloxacina,fenacetina,ibuprofèn,naproxèn,paracetamol,salicilamida,àcid acetilsalicílic,àcid mefenàmic","Q1215575,Q1320691,Q18216,Q186969,Q20817210,Q2496906,Q2552927,Q256602,Q284321,Q419175,Q57055,Q808845", , , , , , , , ,780.6, , ,D000224,C50589,https://ca.wikipedia.org/wiki/Hipert%C3%A8rmia, , 
Hipertriptofanemia,Q5958803, , , , , , , , , , , , , ,E70.8,C2931837,C538393, ,https://ca.wikipedia.org/wiki/Hipertriptofanemia, , 
Q37634646,Q37634646, , , , , , , , , , , , , , , , , , ,article científic, 
Q42417349,Q42417349, , , , , , , , , , , , , ,D68.2,C0272350, , , , , 
Q48837404,Q48837404, , , , , , , , , , , , , , , , , , , , 
Q68867580,Q68867580, , , , , , , , , , , , , , , , , , , , 
Q55788677,Q55788677, , , , , , , , , , , , , ,G40.5, , , , , , 
Q5986402,Q5986402, , , , , , , , ,Q17077413,Q17077413, , , , ,C1562426, , , , , 
Q71419022,Q71419022, , , , , , , , , , , , , , , , , , , , 
Q17048348,Q17048348, , , , , , , , , , , , , ,K65.8,"C0025470,C0267770", , , , , 
Q6004091,Q6004091, , , , , , , , , , , , ,270.8,E72.0,C0268654,C536285, , , , 
Q55781136,Q55781136, , , , , , , , , , , , , ,K00.2,"C2931081,C3494175",C535997, , , , 
Q25324240,Q25324240, , , , , , , , , , , , , , , , , , , , 
Q16917828,Q16917828, , , , , , , , , , , , ,238.8,M72.8,C1318562, ,C3456, , , 
deficiència de iode,Q18377123, , , , , , , , , , , , , , ,C0342199, , ,https://ca.wikipedia.org/wiki/Defici%C3%A8ncia_de_iode, , 
anèmia ferropènica,Q954674, , ,"Q20817270,Q27290556,Q27888379,Q416370,Q47495792,Q7553318,ferro,sulfat de ferro(II) heptahidratat","Q20817270,Q27105054,Q27290556,Q27888379,Q416370,Q47495792,Q677,Q7553318", , , , , , ,Q6817662,Q6817662,"280.8,280.9", ,"C0029810,C0162316",D018798,C84484,https://ca.wikipedia.org/wiki/An%C3%A8mia_ferrop%C3%A8nica, , 
5p,5p, , , , , , , , , , , , , , , , , , , , 
Q55786078,Q55786078, , , , , , , , , , , , , ,D18.0,C1367420,C537007,C27510, , , 
Q1976193,Q1976193, , , , , , , , , , , , ,695.89, ,C0406756,C536155, , , , 
Síndrome de Kounis,Q6434647, , , , , , , , ,hipersensibilitat,Q5958765, , , , ,C2609176, , , ,condició mèdica, 
John Langdon Haydon Down,Q315940, , , , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/John_Langdon_Haydon_Down, , 
saturnisme,Q110315,"anorèxia,anèmia,còlic,dolor abdominal,encefalopatia,fatiga muscular,hipertensió arterial,insomni,irritació ocular,línia de Burton,malnutrició,nefropatia,pal·lidesa facial,paràlisi,pèrdua de pes,restrenyiment,tremolor","Q1054718,Q107231,Q11820606,Q12167,Q13522706,Q178436,Q183425,Q1869874,Q21111985,Q223907,Q254327,Q41861,Q5000947,Q5445,Q576349,Q718113,Q9690","dimercaprol,penicil·lamina,àcid dimercaptosuccínic","Q413968,Q421239,Q423814", , , , ,plom,Q708,Q3392515,Q3392515,"984.8,984.9",T56.0,C0023176,D007855, ,https://ca.wikipedia.org/wiki/Saturnisme,"enverinament per plom, que afecta especialment el cervell","enverinament per plom,intoxicació per plom"
hipertròfia ventricular esquerra,Q1628627, , , , , , , , , , , , , , ,C0149721,D017379, ,https://ca.wikipedia.org/wiki/Hipertr%C3%B2fia_ventricular_esquerra, , 
Q112221244,Q112221244, , , , , , , , , , , , , , , , , , , , 
Q72475133,Q72475133, , , , , , , , , , , , , , , , , , , , 
Q6543201,Q6543201, , , , , , , , , , , , , ,L66.1,C0023645,C535892, , , , 
Q6543215,Q6543215, , , , , , , , , , , , , , ,C0263373, , , , , 
Q55999740,Q55999740, , , , , , , , , , , , , ,Q04.3,CL939321, , , , , 
Q1335036,Q1335036, , , , , , , , , , , , , , , ,D065148, , , , 
Q2041643,Q2041643, , , , , , , , , , , , , , , , , , ,compost químic, 
