diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Aqueductal stenosis,Q17080749, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Aqueductal_stenosis,narrowing of the aqueduct of Sylvius, 
arsenic poisoning,Q730249,"abdominal pain,asthenia,cough,dehydration,dermatitis,diarrhea,dyspnea,erythema,gastroenteritis,hyperpigmentation,nausea,peripheral neuropathy,red eye,respiratory irritation,shock,sore throat,ulceration of nasal septum,unconsciousness,vomiting","Q1166142,Q127076,Q12829165,Q1292082,Q156103,Q1641068,Q178061,Q183425,Q186889,Q188008,Q194290,Q21112283,Q21117237,Q229256,Q2610154,Q35805,Q40878,Q633403,Q945238", , , , , , ,arsenic,Q871, , , , , ,D020261, ,https://en.wikipedia.org/wiki/Arsenic_poisoning,arsenic affecting human life,arsenic toxicity
giant cell arteritis,Q707816,"diplopia,fatigue,fever,headache,jaw pain,tenderness,weight loss","Q12680516,Q38933,Q4922732,Q718113,Q775940,Q86,Q9690","methotrexate,prednisolone,prednisone,sumatriptan,tocilizumab","Q11426176,Q416978,Q422232,Q424972,Q425154", , , , , , , , ,446.5,M31.6,"C0039483,C1956391",D013700,C35065,https://en.wikipedia.org/wiki/Giant_cell_arteritis,human disease,"Cranial Arteritis,GCA,Giant cell arteritis (disorder),Giant cell arteritis NOS (disorder),Giant-cell arteritis,Horton disease,Horton's disease,Polymyalgia Rheumatica,Temporal arteritis,Temporal arteritis (disorder)"
Ashman phenomenon,Q4805668, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Ashman_phenomenon,medical condition, 
Astasia-abasia,Q9300736, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Astasia-abasia,medical condition, 
Astrovirus infection in children,Q35160640, , , , , , , , , , , , , , , , , , ,scientific article, 
athetosis,Q755524, , , , ,dyskinetic cerebral palsy,Q4813631, , , , , , , , ,"C0004158,C1845265",D001264,C116574,https://en.wikipedia.org/wiki/Athetosis,"slow, involuntary, convoluted, writhing movements of the fingers, hands, toes, and feet and in some cases, arms, legs, neck and tongue", 
esophageal atresia,Q298233, , , , , , , , , , , , ,750.3,Q39.0,C0014850,D004933,C87072,https://en.wikipedia.org/wiki/Esophageal_atresia,congenital disorder of digestive system,"Congenital atresia of esophagus (disorder),Imperforate esophagus,Imperforate esophagus (disorder),atresia of oesophagus,congenital atresia of esophagus,congenital esophageal atresia,congenital imperforate esophagus,esophagus atresia,oesophageal atresia,oesophagus atresia"
Cardiac myxoma,Q4817544, , , , , , , , , , , , , , ,"C0151241,C1850635",C538262, ,https://en.wikipedia.org/wiki/Cardiac_myxoma,medical condition,Cardiac Myxoma
Atrioventricular fistula,Q4817566, , , , , , , , , , , , , , ,C0340330, , ,https://en.wikipedia.org/wiki/Atrioventricular_fistula, , 
auditory processing disorder,Q433152, , , , , , , , , , , , , , , ,D001308,C97170,https://en.wikipedia.org/wiki/Auditory_processing_disorder,"neurological disorder, developmental or acquired","Acoustic Perceptual Disorder,Acoustic Perceptual Disorders,Auditory Comprehension Disorder,Auditory Comprehension Disorders,Auditory Inattention,Auditory Inattentions,Auditory Perceptual Disorder,Auditory Perceptual Disorders,Auditory Processing Disorder,Auditory Processing Disorders,Comprehension Disorder, Auditory,Comprehension Disorders, Auditory,Disorder, Acoustic Perceptual,Disorder, Auditory Comprehension,Disorder, Auditory Processing,Disorder, Psychoacoustical,Disorders, Acoustic Perceptual,Disorders, Auditory Comprehension,Disorders, Auditory Processing,Disorders, Psychoacoustical,Inattention, Auditory,Inattentions, Auditory,Perceptual Disorder, Acoustic,Perceptual Disorder, Auditory,Perceptual Disorders, Acoustic,Perceptual Disorders, Auditory,Processing Disorder, Auditory,Processing Disorders, Auditory,Psychoacoustical Disorder,Psychoacoustical Disorders,central auditory processing disorder,disorder of sensory perception of sound"
axial spondyloarthritis,Q28867094, , , , , , , , , , , , , , ,C3203547,D000089183, ,https://en.wikipedia.org/wiki/Axial_spondyloarthritis,disease,"axSpA,axial Spondyloarthropathy"
[Bacillus cereus infection in newborn infants],Q70486606, , , , , , , , , , , , , , , , , , ,scientific article published on 01 January 1984, 
bacterial gastroenteritis,Q18966636, , , , , , , , , , , , , , , , ,C35483, ,human disease,"Bacterial gastroenteritis (disorder),Gastroenteritis - bact.,bacterial diarrhea,obsolete bacterial gastroenteritis"
Bangstad syndrome,Q4855629, , , , , , , , , , , , ,759.89,E31.8,C0342284,C537902, ,https://en.wikipedia.org/wiki/Bangstad_syndrome,medical condition,"Ataxia-diabetes-goiter-gonadal insufficiency syndrome,BANGSTAD SYNDROME,Bird-Headed Dwarfism With Progressive Ataxia, Insulin-Resistant Diabetes, Goiter, and Primary Gonadal Insufficiency,Bird-headed dwarfism with progressive ataxia, insulin-resistant diabetes, goiter and primary gonadal insufficiency"
barbiturate overdose,Q1184752, , , , , , , , , , , , , , ,C0572916, , ,https://en.wikipedia.org/wiki/Barbiturate_overdose,medical condition, 
basilar-type migraine,Q12857771, , , , , , , , , , , , , , ,C0270860, ,C117013, , ,"MBA,Migraine with brainstem aura,basilar artery migraine"
Bathophobia,Q6898244, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Bathophobia,fear of depths, 
cutaneous B-cell lymphoma,Q5196683, , , , , , , , , , , , ,202.80, ,C1274310, , ,https://en.wikipedia.org/wiki/Cutaneous_B-cell_lymphoma,human disease,"PCBCL,primary cutaneous B-cell lymphoma"
BENIGN congenital hypotonia,Q74639229, , , , , , , , , , , , , , , , , , ,scientific article published on 01 October 1957, 
benign fasciculation syndrome,Q817298,fasciculation,Q1397878, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Benign_fasciculation_syndrome,medical condition, 
benzodiazepine dependence,Q380409, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Benzodiazepine_dependence,"one or more of either tolerance, withdrawal symptoms, drug seeking behaviors, such as continued use despite harmful effects, and maladaptive pattern of substance use, according to the DSM-IV", 
Benzodiazepine overdose,Q4890788, , , , , , , , ,benzodiazepine,Q83871, , , , ,C0572933, , ,https://en.wikipedia.org/wiki/Benzodiazepine_overdose,high doses of benzodiazepines and the side effects, 
benzodiazepine withdrawal syndrome,Q6119887, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Benzodiazepine_withdrawal_syndrome,signs and symptoms due to benzodiazepines discontinuation in physically dependent persons,benzo withdrawal
Bhaskar–Jagannathan syndrome,Q4901373, , , , , , , , , , , , , , , ,C535437, ,https://en.wikipedia.org/wiki/Bhaskar%E2%80%93Jagannathan_syndrome,human disease,bhaskar jagannathan syndrome
BK virus nephritis after renal transplantation,Q80794360, , , , , , , , , , , , , , , , , , ,scientific article published on 01 March 2008, 
blood platelet disease,Q2429620, , , , , , , , , , , , , , ,C0005818,D001791, , ,disorder of platelet function,"Thrombocytopathy,platelet disorder,thrombocytopathy"
Blood vessel disorder,Q65075660, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Blood_vessel_disorder,"medical condition characterized by narrow, hardened, enlarged arteries and veins", 
Blue diaper syndrome,Q503458, , , , , , , , , , , , , ,E70.8,C0268478,C536239, ,https://en.wikipedia.org/wiki/Blue_diaper_syndrome,Blue Diaper syndrome is a hereditary metabolic disorder characterised by hypercalcaemia with nephrocalcinosis and indicanuria,"BLUE DIAPER SYNDROME,Drummond syndrome,Familial hypercalcemia-nephrocalcinosis-indicanuria syndrome,Hypercalcemia, familial, with nephrocalcinosis and indicanuria"
bone marrow failure,Q7882181, , , , , , , , , , , , , , ,CL406855,D000080983, ,https://en.wikipedia.org/wiki/Bone_marrow_failure, ,"Bone Marrow Failure Disorder,Bone Marrow Failure Disorders"
bradykinesia,Q897134, , , , , , , , , , , , , , , , ,C116707, ,"clinical sign, slow movements",Bradykinesia
Brief Psychotic Disorder,Q95445834, , , , , , , , , , , , , , , , , , , , 
Bright's disease,Q3246646, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Bright%27s_disease,historical classification of nephritis, 
olfactory reference syndrome,Q4386741, , , , , , , , , , , , , , ,"CL1643562,CL1657629",C000711529, ,https://en.wikipedia.org/wiki/Olfactory_reference_syndrome,False belief that you emit unpleasant body odours,"Bromidrosiphobia,bromidrophobia"
caffeine-induced sleep disorder,Q5017161, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Caffeine-induced_sleep_disorder,medical condition, 
Calcinosis cutis,Q5018783, , , , , , , , , , , , , , ,C0006664, , ,https://en.wikipedia.org/wiki/Calcinosis_cutis,Medical condition in which calcium deposits form in the skin, 
SARS-CoV-2,Q82069695, , , , ,"COVID-19,COVID-19 pandemic,SARS-CoV-1,SARSr-CoV,severe acute respiratory syndrome","Q103177,Q278567,Q81068910,Q84263196,Q85438966", , , , , , , , , ,D000086402, ,https://en.wikipedia.org/wiki/SARS-CoV-2,virus that causes COVID-19,"2019 nCoV,2019-nCoV,2019nCoV,Acute respiratory syndrome coronavirus 2,COVID-19 virus,Chinese coronavirus,Corona,Corona virus,Coronavirus,Coronavirus SARS-COV2,HCoV-19,NCP,Novel coronavirus (2019-nCoV),SARS coronavirus 2,SARS-CoV-2 virus,SARS-CoV2,Severe Acute Respiratory Syndrome Coronavirus 2,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome-related coronavirus 2,Wuhan coronavirus,Wuhan seafood market pneumonia virus,Wuhan virus,hCoV-19,human coronavirus 2019,nCoV-2019,nCoV2019,novel coronavirus,severe acute respiratory syndrome coronavirus clade 2,virus that causes COVID-19"
Canga's bead symptom,Q5032332, , , , , , , , ,female genital tuberculosis,Q18967471, , , , , , , ,https://en.wikipedia.org/wiki/Canga%27s_bead_symptom,radiologic sign, 
canine distemper,Q601037, , , , ,Q11793055,Q11793055, , ,Canine distemper virus,Q1637524, , , , , ,D004216, ,https://en.wikipedia.org/wiki/Canine_distemper,dog disease,"Canine Distemper,Canine Distempers,Canine distemper,Distemper,Distemper, Canine,Distempers,Distempers, Canine,obsolete canine distemper"
Treatment for Cannabis Withdrawal and Dependence,Q65374287, , , , , , , , , , , , , , , , , , ,clinical trial, 
Cardiac amyloidosis,Q68923147, , , , , , , , , , , , , , , , , , ,scientific article published on 01 January 1987, 
Caregiver syndrome,Q5038976, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Caregiver_stress,Emotional and mental taxing of those who care for individuals with disabilities, 
isolated microphthalmia with cataract 1,Q55950267, , , , , , , , , , , , , , ,C1834919,C563582, , ,human disease,"Cataract, Congenital, With Microphthalmia,MCOPCT1,MICROPHTHALMIA, ISOLATED, WITH CATARACT 1"
celiac disease-epilepsy-cerebral calcification syndrome,Q6137184, , , , , , , , , , , , , , ,C1856930,C535496, , ,"Celiac disease, epilepsy and cerebral calcification syndrome (CEC) is a rare disorder characterized by the combination of auto-immune intestinal disease, epileptic seizures and cerebral calcifications","CEC,EPILEPSY WITH BILATERAL OCCIPITAL CALCIFICATIONS,Gobbi syndrome,celiac disease, epilepsy, and cerebral calcification syndrome"
Central serous retinopathy,Q1431217, , , , , , , , , , , , ,362.41,H35.7,C0730328,D056833,C115124,https://en.wikipedia.org/wiki/Central_serous_chorioretinopathy,visual impairment,"CSC,CSCR,CSR,Central Serous Retinopathy,Central serous chorioretinopathy after bone marrow transplantation,Central serous choroidopathy,central serous chorioretinopathy"
Cerebellar agenesis,Q18345210, , , , , , , , , , , , , , ,C0344488, , ,https://en.wikipedia.org/wiki/Cerebellar_agenesis,human disease, 
cerebellar atrophy,Q29643762, , , , , , , , , , , , , , ,"C0262404,C0740279,C4020873", , ,https://en.wikipedia.org/wiki/Cerebellar_degeneration,atrophy (wasting) of the cerebellum,"Cerebellar degeneration,degeneration of cerebellum"
cerebral ventricle neoplasm,Q71396405, , , , , , , , , , , , , , , ,D002551, , ,neoplasm located in the brain ventricles,"Intraventricular Brain Neoplasm,Intraventricular Brain Tumor,Intraventricular tumor of brain,cerebral ventricle neoplasm"
Infantile neuronal ceroid lipofuscinosis,Q4357262, , , , , , , , , , , , , ,E75.4,"C0268281,C2931673",C537948, ,https://en.wikipedia.org/wiki/Infantile_neuronal_ceroid_lipofuscinosis,Neuronal ceroid lipofuscinosis,"Balkan disease,Hagberg-Santavuori disease,INCL,Infantile Finnish type neuronal ceroid lipofuscinosis,Infantile NCL,Santavuori disease,Santavuori-Haltia disease,infantile neuronal ceroid lipofuscinosis"
MAT,MAT, , , , , , , , , , , , , , , , , , , , 
Cheilitis glandularis,Q70957905, , , , , , , , , , , , , , , , , , ,scientific article published on 01 July 1984, 
chemophobia,Q2055121, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Chemophobia,fear of chemicals,"chemonoia,chemphobia"
Chimerism,Q26842138, , , , , , , , , , , , , , , , , , ,journal, 
Chinese Restaurant Syndrome,Q71921582, , , , , , , , , , , , , , , , , , ,"journal article, published in Nature on 1978-2", 
Chlamydia trachomatis,Q131065, , , , , , , , , , , , , , , ,D002692, ,https://en.wikipedia.org/wiki/Chlamydia_trachomatis,species of bacterium,C. trachomatis
Chlamydia pneumoniae,Q62869737, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Chlamydia_pneumoniae,species of bacterium, 
"Recent data on ""familial cholemia"".",Q30849793, , , , , , , , , , , , , , , , , , ,scientific article, 
progressive familial intrahepatic cholestasis 5,Q55785081, , , , , , , , , , , , , , ,C4310747, , , ,human disease,"Cholestasis, Progressive Familial Intrahepatic, type 5,NR1H4 deficiency,PFIC5,cholestasis, progressive familial intrahepatic, 5"
Choroid plexus cyst,Q1237766, , , , , , , , , , , , , , ,C0338597, ,C4351,https://en.wikipedia.org/wiki/Choroid_plexus_cyst,human disease,"choroid plexus cyst,cpc - choroid plexus cyst"
serpiginous choroiditis,Q7455142, , , , , , , , , , , , ,363.8,H30.8,C0729842, , ,https://en.wikipedia.org/wiki/Serpiginous_choroiditis,medical condition,"Geographic choroiditis,Geographic helicoid peripapillary choroidopathy,Geographic helicoid peripapillary choroidopathy (GHPC),Geographic serpiginous choroiditis,Peripapillary choriopathy,Serpiginous choroidopathy"
trisomy,Q844903, , , , , , , , , , , , , , ,C0041107,D014314, ,https://en.wikipedia.org/wiki/Trisomy,Abnormal condition of three copies of a particular chromosome,chromosomal triplication
cinchonism,Q936656, , , , , , , , ,quinine,Q189522, , , , ,C0151555, , ,https://en.wikipedia.org/wiki/Cinchonism,pathological condition caused by an overdose of quinine or quinidine,quinism
Clonal hypereosinophilia,Q30314608, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Clonal_hypereosinophilia, ,"clonal eosinophilia,primary hypereosinophilia"
cocaine intoxication,Q5139133, , , , , , , , , , , , ,292.89,T40.5, , , ,https://en.wikipedia.org/wiki/Cocaine_intoxication,effects of cocaine on the body, 
Cold abscess,Q21503318, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Cold_abscess, , 
Cold agglutinin disease,Q3961632, , , , , , , , , , , , , ,D59.1,C0175816, , ,https://en.wikipedia.org/wiki/Cold_agglutinin_disease,Cold agglutinin disease is a type of autoimmune hemolytic anemia (see this term) defined by the presence of cold autoantibodies (autoantibodies which are active at temperatures below 30B0C),"CAD,CAS,Chronic cold agglutinin disease,Cold agglutinin syndrome,cold agglutinin disease"
Cold antibody hemolytic anemia,Q5142432, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Cold_antibody_hemolytic_anemia,Wikimedia disambiguation page, 
cold urticaria,Q3552503, , , , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Cold_urticaria,allergic reaction to low temperatures,"Cold contact urticaria,Primary cold contact urticaria,Primary idiopathic cold urticaria,Urticaria idiopathic cold"
Complement C3b/C4b receptor 1 like,Q21132183, , , , , , , , , , , , , , , , , , ,mammalian protein found in Homo sapiens,"CR1L,complement C4b-binding protein CR-1-like protein,complement component (3b/4b) receptor 1-like,complement component receptor 1-like protein"
congenital afibrinogenemia,Q5160407, , , , , , , , , , , , , , ,C0001733,D000347,C98130,https://en.wikipedia.org/wiki/Congenital_afibrinogenemia,Human disease,"CLONE OF congenital afibrinogenemia,Factor I deficiency,Fibrinogen deficiency"
congenital amputation,Q5160408, , , , , , , , , , , , , , ,C1857583, , ,https://en.wikipedia.org/wiki/Congenital_amputation,human disease, 
[Congenital antithrombin III deficiency],Q73105726, , , , , , , , , , , , , , , , , , ,scientific article published on 01 January 1996, 
Congenital constricting band with pseudarthrosis of the tibia and fibula. A case report,Q71977549, , , , , , , , , , , , , , , , , , ,scientific article published on 01 August 1995, 
Congenital hepatic fibrosis,Q1395683, , , , , , , , , , , , ,777.8, ,C0009714,C562378,C97071,https://en.wikipedia.org/wiki/Congenital_hepatic_fibrosis,"A congenital disorder usually inherited in an autosomal recessive pattern. It affects the hepatobiliary system and the kidneys. It is characterized by liver fibrosis, portal hypertension, and renal cysts.","Congenital Fibrose Liver,Congenital Hepatic Fibrosis"
