diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh,nci,article
Dysaesthesia aethiopica, , , , , , , , , , , , 
drapetomanía, , , , , , , , , , , , 
trastorno disfórico premenstrual,disfunción cognitiva, , , , , ,625.4,N94.3,C0520676,D065446, , 
Q2769397, , , , , , , , , , , , 
Q3381343, , , , ,trastorno obsesivo-compulsivo, , , , , , , 
Q3406281, , , , , , , , ,C0349291, , , 
Q3564396, , , , , , , , , , , , 
Aboulomanía,indecisión, , , , , , , , , , , 
Q4795924, , ,Arrested Development, , , , , , , , , 
Q4931259, , , , , , , , , , , , 
conductas repetitivas centradas en el cuerpo, , , , , , , , , , , , 
Q5464019, , , , , , , , , , , , 
Fiebre de la pradera, , , , , , , , , , , , 
Q7574962, , , , , , , , , , , , 
Q10638540, , , , , , , , , , , , 
trastorno de identidad de género, , , , , , ,302,F64, , , , 
Q16642636, , , , , , , , , , , , 
transtorno de personalidad sádica, , ,"sadismo,trastorno antisocial de la personalidad", , , , , , , , , 
trastorno neurótico,alucinación,"Alprazolam,Bupropion,Buspirona,Citalopram,Doxepina,Escitalopram,Fenelzina,Fluvoxamina,Isocarboxazida,Isoflurano,Maprotilina,Mirtazapina,Nefazodona,Nortriptilina,Pramipexol,Q408432,Q423498,Selegilina,Temazepam,Tranilcipromina,Trazodona,amitriptilina,amoxapina,clomipramina,desipramina,fluoxetina,imipramina,lorazepam,metilfenidato,paroxetina,sal de litio,sertralina,venlafaxina", ,fumar, , , ,"F34.1,F48.9","C0011579,C0027932,C0282126",D009497,"C34533,C34848,C35369", 
Q25615960, , , , , , , , , , , , 
Q56063104, , , , , , , , , , , , 
Q90249065, , , , , , , , , , , , 
Q110572881, , , , , , , , , , , , 
Enfermedad mental en la antigua Roma, , , , , , , , , , , , 
L648846, , , , , , , , , , , , 
L652803, , , , , , , , , , , , 
tiroiditis subaguda, , ,tenosinovitis de estiloides radial, , , , , , , , , 
tiroiditis postparto, , , , , , , , , ,D050032,C114389, 
degeneración lobular frontotemporal, , , , , , , , , ,D057174, , 
afasia progresiva no fluente, , , , , , , ,G31.0,C0751706,D057178, , 
aborto recurrente, , , , , , , ,N96, ,D000026, , 
aborto espontáneo, , ,"aborto,muerte fetal", , , , , ,C0000786,D000022,C34336, 
enfermedad del suero, , , , , , , , , ,D012713,C79718, 
carcinoma, ,"Anastrozol,Bevacizumab,Cabazitaxel,Dietilestilbestrol,Everolimus,Ipilimumab,Olaparib,Q3877030,Q4830631,Tolvaptan,Trastuzumab,lidocaína,paclitaxel,regonafenib,sirólimus",angioma,fumar, , , , ,"C0007097,C0553707,C1368683",D002277,"C2916,C3709", 
rabia,"Irritabilidad,Q1640850,Q56635009,alucinación,ampliación,cefalea,dolor,escalofrío,fonofobia,fotofobia,insomnio,midriasis,miedo,parestesia,paro cardiorrespiratorio,paro respiratorio,parálisis,sialorrea,vómito", , , ,virus de la rabia, ,071,"A82,A82.0,A82.1,A82.9",C0034494,D011818,C28182, 
hemorroides, ,"Euphorbia prostrata,Fenilefrina,Q1240076,benzocaína,cortisol",Q4770165, , , ,"455,455.8",K64,C0019112,D006484,C26792, 
hipertensión arterial, ,"Acebutolol,Aliskiren,Amilorida,Atenolol,Benazepril,Bendroflumetiazida,Benzotiazida,Betaxolol,Bisoprolol,Bumetanida,Candesartán,Captopril,Carteolol,Carvedilol,Clonidina,Clorotiazida,Clortalidona,Diltiazem,Doxazosina,Enalapril,Eplerenona,Esmolol,Espironolactona,Felodipina,Fenoxibenzamina,Fentolamina,Guanabenz,Guanfacina,Hidroflumetiazida,Irbesartán,Labetalol,Lisinopril,Losartán,Metildopa,Metolazona,Metoprolol,Mibefradil,Minoxidil,Nadolol,Nebivolol,Nicardipina,Nifedipina,Nisoldipino,Olmesartán,Penbutolol,Pindolol,Prazosina,Q1078392,Q20078502,Q2291605,Q27106078,Q27281933,Q27292429,Q277785,Q280786,Q28859607,Q3332124,Q414873,Q420673,Q425293,Q4747074,Q4747075,Q47495698,Q48566655,Q48566657,Q48566693,Q48566694,Q48566696,Q48566700,Q48566705,Q48566757,Q48566771,Q48566808,Q4890934,Q5613557,Q596022,Q6457467,Q7272222,Q7697766,Q7700570,Q784717,Q929420,Reserpina,Rivaroxaban,Telmisartán,Timolol,Torasemida,Triamtereno,Triclormetiazida,Tritace,Valsartán,Verapamilo,amlodipina,ciclotiazida,coenzima Q10,deserpidina,furosemida,hidralazina,hidroclorotiazida,meticlotiazida,politiazida,propranolol,Ácido etacrínico","hipertensión intracraneal,hipertensión pulmonar", , , ,"401-405.99,997.91","I10,I10-I15,I15","C0020538,C0497247",D006973,C3117, 
Apendagitis epiploica, , , , , , , , ,C1535976, , , 
meningitis,"Q28868265,cefalea,fiebre,fotofobia,náusea,vómito","Amikacina,Flucloxacilina,Fluorocitosina,Minociclina,Ofloxacino,ceftriaxona", , ,"Haemophilus influenzae,Listeria monocytogenes,Neisseria meningitidis,Streptococcus pneumoniae,virus","Q2916167,Q7933598,Reacción en cadena de la polimerasa,cultivo microbiológico,microscopio óptico,punción lumbar","322,322.9","G03,G03.9",C0025289,D008581,C26828, 
pie diabético, , , , ,diabetes mellitus, , , ,C0206172,D017719, , 
Q52859, , , , ,neuropatía periférica, , , , , , , 
nódulo tiroideo, , , , ,Adenoma tiroideo tóxico, , , , ,D016606,C3415, 
taquicardia ventricular, ,"Amiodarona,Metoprolol,Q48566660", , , , , ,I47.2,C0042514,D017180,C50802, 
fractura, ,"Denosumab,Teriparatida", , ,"fractura por fatiga,traumatismo",radiografía médica, , ,C0016658,D050723,C3046, 
mordedura de serpiente, , ,Q2454710, ,ataque animal, , ,T63.0,C0037379,D012909, , 
albinismo, ,trioxisaleno, , , , , , ,"C0001916,C0333913",D000417,C84543, 
verruga, , ,Q97375128, ,virus del papiloma humano, , , ,C3665596,D014860, , 
hipoxia, , ,hipoxia, , , , , ,C0700292,D000860,C3890, 
espasticidad, ,"Aneura,Carisoprodol,Clonidina,Q2149443,Q5102983,Q6823309,Tizanidina,baclofeno,ciclobenzaprina,dantroleno,diazepam",Q7573993, , , , , ,C0026838,D009128,C79750, 
caspa, , , , , , ,690.18, ,C0423775,D063807,C111657, 
espongiosis medular renal, , , , , , ,753.17,Q61.5,C0022681,D007691,C34751, 
Q119660, , , , , , , , , , , , 
malformación vascular, , , , , , , , ,"C1275966,C1961121",D054079,C112117, 
coprolalia, , , , , , , , ,C0233729, , , 
convulsión febril, ,"diazepam,fenitoína,fenobarbital", , , , ,780.31, ,C0009952,D003294,C116503, 
dislexia,trastorno de la lectura, , , ,enfermedad genética,Imagen por resonancia magnética funcional, ,R48.0,C0476254,D004410,C96410, 
gota,"artralgia,eritema,hidrartrosis,hinchazón","Alopurinol,Febuxostat,Pegloticasa,Probenecid,Sulfinpirazona,Sulindaco,colchicina,diclofenaco,ibuprofeno,indometacina,naproxeno,ácido acetilsalicílico", , , , ,"274,274.0,274.00,274.9","M10,M10.9","C0003868,C0018099",D006073,C34650, 
migraña,"cefalea,eructo,fotofobia,náusea,vómito","Almotriptán,Clonixina,Fentanilo,Gabapentina,Ketorolaco,Lamotrigina,Naratriptán,Pregabalina,Q1185089,Q4095199,Q421336,Rizatriptán,Topiramato,Zolmitriptán,Zonisamida,amitriptilina,buprenorfina,diclofenaco,duloxetine,eletriptán,ergotamina,ibuprofeno,naproxeno,paracetamol,propranolol,sumatriptán,triptán,venlafaxina", , ,entidad desconocida,"exploración física,neuroimagen","346,346.80,346.9,346.90","G43,G43.9,G43.909","C0042331,C0149931,C0744641",D008881,C89715, 
hemofilia, , , , , , , , ,C0684275, ,C3093, 
anquilostomiasis,"anemia hipocrómica,cansancio,dolor abdominal","Albendazol,Mebendazol", , ,"Ancylostoma duodenale,Necator americanus", , , , ,C538433,C34374, 
diarrea del viajero, , , , , , , , ,C0277528, , , 
absceso cerebral, , , , ,bacteria, , , ,C0006105,D001922, , 
miodesopsias, , , , , , , , , , ,C50808, 
sangrado de encías, , , , , , , , ,C0017565,D005884, , 
Síndrome de la mano extraña o mano masturbadora, , , , , , , , , ,D055964, , 
dolor de dientes, , ,Q8261177,fumar, , , , , ,D014098, , 
histeria, , ,Histeria, , , , , , ,D007046, , 
cirrosis hepática, ,"Boceprevir,Bumetanida,Daclatasvir,Peginterferón alfa-2b,Q27126952,Q27281933,Q353551,Q420056,Ribavirina,Rifaximina,Simeprevir,Tolvaptan,Torasemida,furosemida,ledipasvir/sofosbuvir,sofosbuvir,Ácido etacrínico,ácido obeticólico", , ,"Colangitis esclerosante primaria,Hepatitis autoinmune,Q17135346,alcoholismo,hemocromatosis hereditaria,hepatitis","biopsia hepática,ecografía,examen de sangre,tomografía axial computarizada",571.5,K74.60,"C0023890,C0239946",D008103,C2951, 
droga, , , , , , , , , ,D014029, , 
delírium, , , , , ,Q108525684, , , ,D003693,C2981, 
neumoperitoneo, , , , , , , , , ,D011027,C99012, 
cefalea en racimos,"Irritabilidad,agitación,cefalea,congestion nasal,fotofobia,ojo rojo,ptosis palpebral,rinorrea,secreción lagrimal,transpiración", , , ,entidad desconocida,"Técnicas de diagnóstico neurológico,anamnesis,neuroimagen", , ,C0009088,D003027,C117077, 
querion de Celso, , , , , , , ,B35.0,C0276742,C536165, , 
bronquitis, ,"Cefixima,Cefpodoxima,Esparfloxacino,Josamicina,Q1073333,Q1453445,Q2365033,Q27116225,Q4673059,azitromicina,erdosterina",bronquiolitis, , , ,"466.0,490,491,491.8,491.9","J20,J20.9,J40,J42","C0006277,C0008677,C0149514",D001991,"C26722,C26932,C2911", 
síndrome de Bálint,"ataxia óptica,parálisis psíquica de la mirada,simultagnosia", , , , , , ,H51.8,C0270706, , , 
astigmatismo, , ,Astigmatismo (sistemas ópticos), , , ,"367.2,367.20","H52.2,H52.20",C0004106,D001251, , 
psoriasis, ,"Calcipotriol,Desoximetasona,Metotrexato,Q155682,Q27294232,Q2858961,Q3981685,Q904011,antiinflamatorio no esteroideo", ,"Xerosis,estrés,fumar,obesidad", , , ,"L40,L40.9",C0033860,D011565,C3346, 
metástasis, , , , , , , , ,C2939420,D009362,C3261, 
gastritis, ,"Lansoprazol,Omeprazol,Pantoprazol,Q5268339,esomeprazol,ranitidina,sucralfato", , , , ,"535.0,535.00,535.01,535.4,535.40,535.41",K29.7,C0017152,D005756,C26780, 
sepsis,"Q3073147,escalofrío,fiebre remitente","Amikacina,Aztreonam,Cefepima,Cefotaxima,Ceftazidima,Ertapenem,Gentamicina,Imipenem,Mezlocilina,Nafcilina,Oxacilina,Piperacilina,Q1082945,Q412888,Ticarcilina,cefotetan,cefoxitina,ceftriaxona", ,infección, , , , ,C0036690,D018805, , 
enfisema pulmonar, ,"Aminofilinaaminofilina,Q1073333,Q4673059,Q5104342,acetilcisteína,teofilina", , ,fumar, ,492.8,J43.8,"C0029607,C0034067",D011656, , 
hipomanía, , , , , , , , , , ,C78349, 
trastorno del ritmo cardíaco, ,"Amiodarona,Digoxina,Dronedarona,Flecainida,Metoprolol,Propafenona,Q20078502,Q3712521,Q514534,Q757058,Q7700570,Q904071,Rivaroxaban,lidocaína,papaverina,sotalol", , , , ,427.9, ,"C0003811,C0237314,C0340464",D001145,C2881, 
aneurisma, , ,Q2483519, , , , , , ,D000783,C26693, 
fístula, , ,Vístula, , , , , , ,D005402,C3045, 
cardiopatía,"angina de pecho,ascitis,disnea,dolor torácico,edema,hipertensión arterial,síncope,taquicardia,trastorno del equilibrio,trastorno del ritmo cardíaco","Amiodarona,Apixaban,Carvedilol,Clopidogrel,Dobutamina,Evolocumab,Metoprolol,Palivizumab,Q20078502,Q263612,Q3712521,Q48566700,Q48566757,Q48566808,Q6457467,Q7700570,Rivaroxaban,Ticagrelor,Valsartán,Warfarina,atorvastatina,furosemida,nitroglicerina,rosuvastatina,sildenafilo,ácido acetilsalicílico", ,fumar, , ,"429.89,429.9,V47.2",I51.9,C0018799,D006331,C3079, 
jet lag,"Irritabilidad,cansancio,cefalea,trastorno del sueño",melatonina, , ,cambio, , ,G47.25, ,D020179, , 
quiste, , , , , , , , , ,D003560,C2978, 
Fenilcetonuria, , , , , , ,270.1, ,C0031485,D010661,C81315, 
enanismo,estatura baja, ,Q63441638, , , , , ,C0013336,D004392,C34554, 
atrofia, , ,Atrophy, , , , , , ,D001284, , 
síndrome cervical, , , , , , , , ,C0543612, , , 
Neoplasia cervical intraepitelial, , , , , , , , ,C0206708,D018290,C3782, 
encefalitis, ,aciclovir, , ,rabia, ,"323.0,323.8,323.9",A85,C0014038,D004660,C26760, 
enfermedad pulmonar obstructiva crónica,"disnea,sibilancia,tos","Ambroxol,Clenbuterol,Glicopirrolato,L-carboximetilcisteína,Q2166700,Q27137018,Q3633651,Q3733837,Q425654,erdosterina,formoterol", ,fumar,"fumar,polvo","espirometría,gasometría arterial","490-496.99,496",J44.9,C0024117,D029424,C3199, 
varizes, ,"Q20817018,Q7553377", , , , ,"454.9,456.8",I83.90,"C0042345,C1969953",D014648,C35114, 
enfermedad de Lyme,"Miocardiopatía hipertrófica,Q1634879,artralgia,artritis,cansancio,cefalea,dolor neuropático crónico,eritema crónico migratorio,fasciculación,fiebre,meningitis,meningoencefalitis,mialgia,miocarditis,neuritis,parestesia,trastorno del ritmo cardíaco,vértigo","Cefuroxima,amoxicilina,azitromicina,ceftriaxona,doxiciclina",Q17103401, ,Borrelia burgdorferi,"ELISA,Western blot,biopsia,exploración física,punción lumbar",088.81,"A69.2,A69.20","C0024198,C0752235",D008193,C45161, 
orzuelo, , , , ,Staphylococcus aureus, , ,H00.01,"C0019917,C4280376",D006726,C118722, 
síndrome de Turner, , ,Q56014434, , , , ,"Q96,Q96.0,Q96.9","C0041408,C1527168",D014424,"C26900,C34434,C85210", 
ambliopía, , , , , , ,368.00,H53.00,C0002418,D000550,C118764, 
verruga genital, ,"Imiquimod,Q27280825,Q6046446,Resina de podófilo", ,fumar,virus del papiloma humano, ,078.11,A63.0,"C0009663,C0554632",D003218,"C2960,C4820", 
trastorno por atracón,Q2303219, ,adicción a la comida, , , ,307.51,F50.8, ,D056912,C97162, 
delirium tremens,Q397554, , , ,abuso del alcohol, ,291.0, , ,D000430, , 
hipertrofia, , , , , , , , , ,D006984, , 
siameses, , ,"diprosopia,quimera", , , , , ,C0041428,D014428,C98903, 
síndrome de Zollinger-Ellison, ,"Cimetidina,Famotidina,Lansoprazol,Nizatidina,Omeprazol,Pantoprazol,rabeprazol", , , , , ,E16.4,C0043515,D015043,C3453, 
síndrome de Cushing, ,"Mitotano,Q241150", , , , , , , ,D003480,C2969, 
intolerancia a la lactosa,"borborigmo,diarrea,dolor abdominal,flatulencia,hinchazón abdominal,náusea,vómito", ,alergia a las proteínas de la leche de vaca,"edad de la vida,origen étnico","alimentación,ausencia","Q2551557,Q5439869,biopsia,cromatografía,examen de sangre,examen genético",271.3,"E73,E73.9","C0022951,C0268181,C1857231",D007787,C3154, 
infarto intestinal, , , , , , , , ,C0267412,D065666, , 
infección urinaria,"disuria,dolor abdominal,fiebre,hematuria,polaquiuria","Anfotericina B,Aztreonam,Carbenicilina,Cefaclor,Cefadroxilo,Cefalexina,Cefalotina,Cefamandol,Cefapirina,Cefazolina,Cefepima,Cefixima,Cefoperazona,Cefotaxima,Ceftazidima,Ceftibuteno,Cefuroxima,Cinoxacina,Cloxacilina,Demeclociclina,Dicloxacilinas,Enoxacina,Ertapenem,Fluconazol,Fosfomicina,Gatifloxacina,Gemifloxacino,Gentamicina,Imipenem,Levofloxacino,Linezolid,Meropenem,Mezlocilina,Moxifloxacino,Nafcilina,Norfloxacino,Ofloxacino,Oxacilina,Piperacilina,Q1052672,Q1082945,Q12415847,Q203618,Q20817140,Q27107637,Q27123095,Q27252228,Q27264316,Q27283414,Q2878140,Q304570,Q372598,Q3876717,Q3976824,Q47495774,Q47495791,Q48566821,Q5119441,Q7636169,Sulfametoxazol,Ticarcilina,Trimetoprima,amoxicilina,ampicilina,cefotetan,cefoxitina,ceftriaxona,ciprofloxacino,doxiciclina,hexametilentetramina,nitrofurantoína,sulfadiazina,tobramicina,Ácido clavulánico,Ácido nalidíxico", , , , ,595.0,N30.0,C0149523,D014552,"C26934,C50791", 
Enfermedad de Bornholm, , , , , , ,074.1,B33.0,C0032238,D011000, , 
pubertad precoz, ,Leuprorelin, , , , ,259.1,"E22.8,E30.1",C0034013,D011629,C48628, 
disartria, ,clonazepam, , , , , , ,C0013362,D004401, , 
Q228085, , , , , , , , , , , , 
dermatitis, ,"Q21098894,Q27110219,Q4713192,Q4742041,Q7784698,besamestazona,clobetasol,doxiciclina,glicerol,metionina,ácido bórico,ácido láctico,óxido de zinc", , , , ,692.9,L30.9,"C0011603,C3875321",D003872,C2983, 
tumor cerebral, , , , , , , , , ,D001932,C2907, 
Q241827, , , , , , , , , , , , 
chikungunya,"artralgia,cansancio,cefalea,conjuntivitis,eflorescencia,fiebre,mialgia,náusea,trastorno neurológico",antiinflamatorio no esteroideo, , ,Chikungunya virus,"Q7933598,Reacción en cadena de la polimerasa,exploración física", ,A92.0,C0008055,D065632,C128422, 
Q246040, , , , , , , ,Q33.0,"C0010668,C0158641",D015615,C98892, 
cistitis,inflamación,"Anfotericina B,Cefpodoxima,Enoxacina,Fosfomicina,Gatifloxacina,Moxifloxacino,Norfloxacino,Ofloxacino,Q3995932,Q47495791,Q48566821,Q7100015,Q909359,carboprost,ciprofloxacino,hexametilentetramina,nitrofurantoína", , , , ,"595,595.89,595.9","N30,N30.9",C0010692,D003556,C26738, 
extrofia vesical, , , , , , ,753.5,Q64.10,C0005689,D001746,C123207, 
Cáncer de la ampolla de Vater, , , , , , , , , , , , 
síndrome coronario agudo, ,"Clopidogrel,Prasugrel,Q48566705,Q48566757,Ticagrelor,ácido acetilsalicílico", , , , , , ,C0948089,D054058,C53652, 
Síndrome del XYY o síndrome del supermacho, , , , , , , ,Q98.5,"C0043379,C3266843",D014997,C85237, 
Insuficiencia mitral, , , , , , ,"396.3,746.6",Q23.3,"C0026266,C0158619,C0264774,C3551535",D008944,"C50852,C50888", 
estupor, ,Q905058, , , , , , ,C0085628,D053608, , 
Q268832, ,Q27114666, , , , , , , ,D015465, , 
intoxicación alimentaria,"cefalea,diarrea,dolor abdominal,envenenamiento,vómito","Q1138664,Solución láctica de Ringer,carbón activado", , ,"Contaminante alimentario,transmisión por alimentos","cultivo microbiológico,hemograma", ,A05.9,C0679360,D005517,C128351, 
candidiasis, ,"Anfotericina B,Caspofungina,Fluconazol,Fluorocitosina,Ketoconazol,Mykamine,Natamicina,Nistatina,Voriconazol,itraconazol", , , , ,"112,112.89,112.9","B37,B37.9",C0006840,D002177,C26711, 
Kuru,"artralgia,cefalea,debilidad muscular,demencia,diplopía,escara,estrabismo,labilidad emocional,mareo,obesidad,temblor,trastorno del habla,trastorno depresivo mayor", ,"Kuru,koro", ,prion,"biopsia,exploración física,histopatología,imagen por resonancia magnética",046.0,"A81.8,A81.81",C0022802,D007729, , 
Anomalía de Ebstein, , , , , , ,746.2,Q22.5,C0013481,D004437,C84681, 
uveítis,inflamación,"Metotrexato,Prednisolona,adalimumab,atropina,dexametasona,infliximab", , , , , ,H20.9,C0042164,D014605,C26909, 
incontinencia urinaria, ,"Fenoxibenzamina,Flavoxato,Midodrina,Tolterodina,dotropan", , , , , , ,C0042024,D014549,C78497, 
Q290213, , , , , , , , ,C0339488, , , 
fobia al sida, , , , , , , , , , , , 
Resistencia a proteína C activada, , , , , , ,289.81,D68.51,"C0600433,C1861171",D020016, , 
Q300664, , , , , , , , , , , , 
abasia, , , , , , , , , , , , 
Enfermedad de Schindler, , , , , , ,277.89,E77.1,"C0342850,C1836544", , , 
Q317977, , , , , , ,378.54,H49.2,"C0271355,C1847523",D020434,"C27592,C27593", 
enuresis nocturna, ,Q905058,nicturia, , , , , ,C0270327,D053206,C118172, 
Complejo de inferioridad, , , , , , , , , , , , 
Ablefaria, , , , , , , , , , , , 
procrastinación, , , , ,"Q2184645,estrés psicológico,trastorno por déficit de atención con hiperactividad", , , , , , , 
abrasión, , , , , , , , , ,D014072,C50449, 
Q332590, , , , , , , , , , , , 
síndrome del superviviente, , , , , , , ,"F43.1,F62.0", , , , 
abulia, , , , , , , , ,C0919974, , , 
síndrome carcinoide, ,"Everolimus,Octreotida,Q27270371", , , , ,259.2,E34.0,"C0024586,C0349535",D008303,C3215, 
Aclorhidria,diarrea, , , , , , , ,C0001075,D000126, , 
Q341201, , , , , , , , , , , , 
adenocarcinoma, , , ,fumar, , , , ,C0001418,D000230,C2852, 
Adermatoglifia, , , , , , , ,Q82.8,"C1851080,C1852150",C565010, , 
aspergiloma, ,"Posaconazol,Voriconazol,antifúngico,itraconazol,triazol", , ,"Aspergillu,Aspergillus fumigatus", , , , ,D055732, , 
Adipsia, , , , , , , , , , , , 
Q360035, , , , , , , , , , , , 
síndrome orgánico cerebral, , ,síndrome psico-orgánico, , , , , , ,D019965, , 
Q365589, , , , , , , , , ,D058531,C86032, 
angiomatosis, , , , , , , , , ,D000798,C45479, 
deficiencia de la hormona de crecimiento, , , , , , , , , ,D004393,C34555, 
mutismo selectivo, , , , , , , , ,C0236818, ,C92569, 
Q379038, , , , , , , ,E74.0,C1849722,C564878, , 
peste equina africana, , , , ,African horse sickness virus, , , , ,D000355, , 
intoxicación medicamentosa, , , , , , , , , , , , 
sonambulismo, , , , , , , , , ,D013009,C95078, 
Q390217, , , , , , , , , , ,C114409, 
Q390434, , , , , , , , ,C1836741, , , 
Síndrome de Lucey-Driscoll, , , , , , , ,P59.8,"C0270210,C0270215",C562692,C98846, 
Q397554, , , , , , , , , , , , 
envenenamiento por mercurio,"Irritabilidad,Neumonitis química,adelgazamiento,alteración visual,anorexia,astenia,bronquitis,calambre abdominal,cansancio,cefalea,dermatitis de contacto,diarrea,disfagia,disgeusia,disnea,dolor torácico,edema pulmonar,enfermedad renal crónica,estomatitis,exantema,hipertensión arterial,indecisión,insomnio,insuficiencia respiratoria,irritación,irritación cutánea,irritación ocular,molestia gastrointestinal,nefropatía,proteinuria,salivación,taquicardia,temblor,tos",penicilamina, , ,mercurio, ,985.0,T56.1,C0025427,D008630, , 
Acantosis nigricans, , , ,resistencia a la insulina, , , ,L83,C0000889,D000052,C26687, 
acroparestesia, , , , , , , , ,C1332141, ,C35810, 
Hipervitaminosis, , , , , , , , ,C0342951, , , 
Q424302, , , , , , , , , , , , 
abdomen agudo, , , , , , , , , ,D000006, , 
Síndrome de Alström,ceguera, , , , , , , ,C0268425,D056769,C84549, 
Síndrome de leche y alcalinos, , , , , , , , , , , , 
aluminosis del pulmón, , , , , , , , ,C0311227, , , 
alveolitis, , , , , , , , , , , , 
síndrome de Edwards, , ,Q21154047, , , ,758.2,"Q91.0,Q91.1,Q91.2,Q91.3",C0152096,D000073842,"C101362,C36626", 
síndrome de descompresión,"Formicación,Q3954319,alteración visual,amnesia,artralgia,cansancio,cefalea,confusión mental,convulsión,disnea,dolor,hiperestesia,labilidad emocional,mareo,náusea,parestesia,parálisis,picor,pérdida de la conciencia,sordera,trastorno de la continencia,vértigo,vómito", ,embolia gaseosa, ,Q1183684, , , , ,D003665, , 
Q462833,"Q58184039,alucinación,amnesia,delirio,desorientación", , , , , , , , , , , 
efectos del tabaco en la salud, , , , , , , , , , , , 
Pápulas perladas, , ,Manchas de Fordyce, , , , , ,"C0269017,CL474385", , , 
Q471778, , , , , , ,270.0,E72.0,C0268641,D020157, , 
cretinismo, , , , , , , , , , , , 
Q473262, , , , , , , , , , , , 
Q474261, , , , , , , ,Q93.2, ,D012303,C3360, 
infección intestinal por parásitos, , , , ,parásito intestinal, , , , ,D007411, , 
Gestosis, , , , , , , , ,"C0032914,C1321782", , , 
cifosicarcosis, , , , , , , , ,"C0022821,C1845112",D007738,C34754, 
anasarca, ,"Amilorida,Bendroflumetiazida,Benzotiazida,Bumetanida,Captopril,Clorotiazida,Clortalidona,Enalapril,Espironolactona,Hidroflumetiazida,Metolazona,Prednisolona,Q1078392,Q27281933,Q3837481,Q5986553,Q7272222,Torasemida,Triamtereno,Triclormetiazida,ciclotiazida,danazol,furosemida,hidroclorotiazida,meticlotiazida,politiazida,Ácido etacrínico", , , , , , , , ,C98811, 
Q487231, , , , , , , , , ,D057868, , 
Q493103, , , , , , ,359.29,G71.1,"C0221055,C1868617,C1868619",C538616,C122790, 
Parálisis de Todd, , , , , , ,344.89, ,C0234544, , , 
Intolerancia a la sacarosa, , , , , , ,271.3,E74.3,C1283620,C538139,C128190, 
Hibernoma, , , , , , , , ,C0205822, ,C3702, 
gigantismo, , ,"Gigantismo abisal,Q63441625", , , , ,E22.0,C0017547,D005877, , 
neurastenia, , , , , , , , , ,D009440, , 
artritis psoriásica, ,"Auranofín,Etanercept,Q2858961,aurotioglucosa", , , , ,696.0,"L40.5,L40.50",C0003872,D015535,C61277, 
