diseaseLabel,disease,symptomsLabel,symptoms,symptomLabel_NCI,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
jet lag,Q192579,"fatigue,headache,irritability,sleep disorder","Q177190,Q29299,Q86,Q9690",,melatonin,Q180912, , , , ,change,Q1150070, , , ,G47.25, ,D020179, ,https://en.wikipedia.org/wiki/Jet_lag,physiological condition caused by travel across time zones,"circadian dysrhythmia,circadian rhythm sleep disorder, jet lag type,desynchronosis"
cyst,Q193211, , ,, , , , , , , , , , , , , ,D003560,C2978,https://en.wikipedia.org/wiki/Cyst,closed sac growth on the body,cysts
dwarfism,Q194101,short stature,Q7502090,, , ,dwarfness,Q63441638, , , , , , , , ,C0013336,D004392,C34554,https://en.wikipedia.org/wiki/Dwarfism,"condition affecting a person or animal short in stature, caused by slow or delayed growth", 
atrophy,Q194520, , ,, , ,Atrophy,Q65152739, , , , , , , , , ,D001284, ,https://en.wikipedia.org/wiki/Atrophy,partial or complete wasting away of a part of the body, 
cervical syndrome,Q196781, , ,, , , , , , , , , , , , ,C0543612, , , ,general term for complaints of the cervical spine,Neck syndrome
cervical intraepithelial neoplasia,Q196788, , ,"Dysplasia,Epithelial Component Present", , , , , , , , , , , , ,C0206708,D018290,C3782,https://en.wikipedia.org/wiki/Cervical_intraepithelial_neoplasia,disease,"CIN,Cervical intraepithelial neoplasia, CIN"
encephalitis,Q199615, , ,,aciclovir,Q147101, , , , ,rabies,Q39222, , ,"323.0,323.8,323.9",A85,C0014038,D004660,C26760,https://en.wikipedia.org/wiki/Encephalitis,acute inflammation of the brain with flu-like symptoms,"brain inflammation,brainitis"
chronic obstructive pulmonary disease,Q199804,"cough,dyspnea,wheeze","Q188008,Q35805,Q517104",,"(RS)-clenbuterol,L-carbocysteine,ambroxol,bambuterol,erdosteine,etofylline,fluticasone furoate,formoterol,glycopyrrolate,indacaterol,indacaterol maleate","Q2166700,Q221637,Q223412,Q27137018,Q3633651,Q3731252,Q3733837,Q411917,Q423408,Q425654,Q637247", , ,smoking,Q662860,"dust,smoking","Q165632,Q662860","arterial blood gas analysis,spirometry","Q648497,Q653305","490-496.99,496",J44.9,C0024117,D029424,C3199,https://en.wikipedia.org/wiki/Chronic_obstructive_pulmonary_disease,lung disease involving long-term poor airflow,"COLD,COLD (chronic obstructive lung disease),COPD,COPD, Chronic Obstructive Pulmonary Disease,Chronic Obstructive Airways Disease,Chronic Obstructive Pulmonary Disease (COPD),Chronic Obstructive Pulmonary Disease, (COPD),Disease (COPD), Chronic Obstructive,Obstructive Pulmonary Disease (COPD), Chronic,Pulmonary Disease (COPD), Chronic Obstructive,Pulmonary Disease, Chronic Obstructive,chronic obstructive airway disease,chronic obstructive airways disease NOS,chronic obstructive airways disease NOS disorder,chronic obstructive lung disease,chronic obstructive lung disease disorder,obstructive lung disease, chronic"
varicose veins,Q201180, , ,"Coronary Venous Dissection,Infective Phlebitis,Injection Site Thrombophlebitis,Phlebitis,Superficial Thrombophlebitis,Thrombophlebitis,Vein Disorder","Sodium tetradecyl sulfate,myristyl sulfate","Q20817018,Q7553377", , , , , , , , ,"454.9,456.8",I83.90,"C0042345,C1969953",D014648,C35114,https://en.wikipedia.org/wiki/Varicose_veins,"vein disease with swollen, twisted veins visible under the skin","VARICOSE VEINS,Varicose Vein,Varix,Venous varices,varices,varix (morpxhologic abnormality),venous ectasia,venous varices (disorder)"
Lyme disease,Q201989,"arthralgia,arthritis,chronic neuropathic pain,encephalomyelitis,erythema chronicum migrans,fasciculation,fatigue,fever,headache,heart arrhythmia,hypertrophic cardiomyopathy,meningitis,meningoencephalitis,myalgia,myocarditis,neuritis,paresthesia,vertigo","Q10686316,Q1364270,Q1397878,Q1634879,Q170990,Q186235,Q189331,Q2307256,Q2346415,Q2558634,Q38933,Q474959,Q48143,Q58490835,Q683498,Q769220,Q86,Q9690",,"amoxicillin,azithromycin,ceftriaxone,cefuroxime,doxycycline","Q165399,Q201928,Q413728,Q421713,Q422442",Chronic Lyme disease,Q17103401, , ,Borrelia burgdorferi,Q2723634,"ELISA,biopsy,lumbar puncture,physical examination,western blot","Q179991,Q332126,Q48743,Q719444,Q835153",088.81,"A69.2,A69.20","C0024198,C0752235",D008193,C45161,https://en.wikipedia.org/wiki/Lyme_disease,"infectious disease caused by Borrelia bacteria, spread by ticks","Bannwarth syndrome,Bannwarth syndrome (disorder),Bannworth's syndrome,Borrelia,Borrelia burgdorferi Infection,Lyme Disease,Lyme borreliosis,Neurological Lyme disease,lyme neuroborreliosis,neuroborreliosis"
hordeolum,Q202173, , ,, , , , , , ,Staphylococcus aureus,Q188121, , , ,H00.01,"C0019917,C4280376",D006726,C118722,https://en.wikipedia.org/wiki/Stye,bacterial infection of an oil gland in the eyelid,"boil of eyelid,eyelid gland blepharitis,furuncle of eyelid,stye"
Turner syndrome,Q202849, , ,, , ,monosomy X,Q56014434, , , , , , , ,"Q96,Q96.0,Q96.9","C0041408,C1527168",D014424,"C26900,C34434,C85210",https://en.wikipedia.org/wiki/Turner_syndrome,human disease,"Bonnevie-Ullrich syndrome,Bonnevie-Ullrich syndrome NOS,Bonnevie-Ullrich syndrome NOS (disorder),Gonadal dysgenesis - Turner,Karyotype 45, X,Monosomy X,Turner syndrome (disorder),Turner's syndrome,Turner's syndrome NOS,Turner's syndrome NOS (disorder),Ullrich–Turner syndrome,XO syndrome,monosomy X syndrome"
amblyopia,Q207855, , ,, , , , , , , , , , ,368.00,H53.00,C0002418,D000550,C118764,https://en.wikipedia.org/wiki/Amblyopia,Human disease,"Lazy Eye,Strabismic amblyopia,Strabismic amblyopia (disorder),Suppression amblyopia"
binge-eating disorder,Q209522,binge eating,Q2303219,, , ,food addiction,Q2742106, , , , , , ,307.51,F50.8, ,D056912,C97162,https://en.wikipedia.org/wiki/Binge_eating_disorder,"eating disorder characterized by frequent and recurrent binge eating episodes with associated negative psychological and social problems, but without subsequent purging episodes","BED,binge eating disorder,psychogenic overeating"
delirium tremens,Q209647,agrypnia excitata,Q397554,, , , , , , ,alcohol abuse,Q7331102, , ,291.0, , ,D000430, ,https://en.wikipedia.org/wiki/Delirium_tremens,"rapid onset of confusion caused by alcohol withdrawal, usually lasts for 2–3 days, symptoms include nightmare, agitation, global confusion, disorientation, hallucination, fever, high blood pressure, heavy sweating","alcohol withdrawal associated autonomic hyperactivity,alcohol withdrawal delirium,alcohol withdrawal hallucinosis,alcohol withdrawal induced delirium Tremens,alcohol withdrawal-induced delirium Tremens,alcoholic delirium,barrel fever,delirium tremens,alcohol withdrawal induced,gallon distemper,hallucinosis, alcohol withdrawal,mental and behavioral disorder due to use of alcohol: withdrawal state with delirium (disorder),obsolete alcohol withdrawal delirium,ork orks,pint paralysis,quart mania,seeing pink elephants,the 750 itch,the Brooklyn Boys,the bottleache,the horrors,the shakes,the zoots"
hypertrophy,Q216211, , ,, , , , , , , , , , , , , ,D006984, ,https://en.wikipedia.org/wiki/Hypertrophy,increase in the volume of an organ or tissue due to the enlargement of its component cells, 
conjoined twins,Q216866, , ,, , ,"chimera,diprosopus","Q281721,Q32744", , , , , , , , ,C0041428,D014428,C98903,https://en.wikipedia.org/wiki/Conjoined_twins,twins physically joined in utero,Siamese twins
Zollinger–Ellison syndrome,Q218712, , ,,"(RS)-rabeprazole,cimetidine,famotidine,lansoprazole,nizatidine,omeprazole,pantoprazole","Q1188290,Q254296,Q286846,Q3515,Q409492,Q411159,Q422210", , , , , , , , , ,E16.4,C0043515,D015043,C3453,https://en.wikipedia.org/wiki/Zollinger%E2%80%93Ellison_syndrome,disease of the digestive tract in which tumors lead to excess acid and peptic ulcers,"Z-E syndrome,Zollinger-Ellison Syndrome,Zollinger-Ellison syndrome"
lactose intolerance,Q219223,"abdominal pain,bloating,borborygmus,diarrhea,flatulence,nausea,vomiting","Q127076,Q160184,Q1781127,Q183425,Q186889,Q40878,Q4927059",, , ,cow milk allergy,Q15914886,"age of a person,ethnicity","Q185836,Q5404323","absence,eating","Q19829125,Q213449","biopsy,blood test,chromatography,fecal pH test,genetic testing,hydrogen breath test","Q170050,Q179991,Q2551557,Q285223,Q5439869,Q886837",271.3,"E73,E73.9","C0022951,C0268181,C1857231",D007787,C3154,https://en.wikipedia.org/wiki/Lactose_intolerance,"condition involving a decreased ability to digest lactose due to a lack of lactase in the small intestines, either genetically or from injury","Disaccharide Intolerance 3,Hypolactasia, Adult Type,LACTOSE INTOLERANCE, ADULT TYPE,LM,adult lactase deficiency,lactase persistence,lactose intolerant,lactose malabsorption"
mesenteric ischemia,Q221463, , ,, , , , , , , , , , , , ,C0267412,D065666, ,https://en.wikipedia.org/wiki/Intestinal_ischemia,medical condition,"intestinal infarction,mesenteric vascular insufficiency"
dysarthria,Q225957, , ,,clonazepam,Q407988, , , , , , , , , , ,C0013362,D004401, ,https://en.wikipedia.org/wiki/Dysarthria,motor speech disorder, 
Zuckerschleim,Q228085, , ,, , , , , , , , , , , , , , , , ,German term: a respiratory disease, 
dermatitis,Q229256, , ,Cutaneous Involvement,"DL-lactic acid,DL-methionine,alclometasone,amcinonide,betamethasone,clobetasol,crisaborole,doxycycline,glycerol,heliomycin,orthoboric acid,thiostrepton,zinc oxide","Q132501,Q161249,Q180341,Q187045,Q190077,Q21098894,Q27110219,Q416132,Q4224007,Q422442,Q4713192,Q4742041,Q7784698", , , , , , , , ,692.9,L30.9,"C0011603,C3875321",D003872,C2983,https://en.wikipedia.org/wiki/Dermatitis,skin disease,"Inflammation Of Skin,Inflammation of the Skin,eczema,skin inflammation,zone of skin inflammation,zone of skinitis"
brain tumor,Q233309, , ,, , , , , , , , , , , , , ,D001932,C2907,https://en.wikipedia.org/wiki/Brain_tumor,neoplasm in the brain,"brain neoplasms,brain tumors"
Upper airway resistance syndrome,Q241827, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Upper_airway_resistance_syndrome,sleep disorder, 
cystitis,Q246084,inflammation,Q101991,,"DL-ofloxacin,Sulfamethoxazole / Trimethoprim,amphotericin B,carboprost,cefpodoxime,ciprofloxacin,enoxacin,fosfomycin,gatifloxacin,levofloxacin hemihydrate,marbofloxacin,methenamine,moxifloxacin,nitrofurantoin,norfloxacin,orbifloxacin,tosufloxacin","Q1639616,Q183554,Q2365016,Q256602,Q3995932,Q411447,Q412223,Q415173,Q417897,Q422669,Q424940,Q47495791,Q48566821,Q5038067,Q7100015,Q71969,Q909359", , , , , , , , ,"595,595.89,595.9","N30,N30.9",C0010692,D003556,C26738,https://en.wikipedia.org/wiki/Cystitis,human disease,"Bladder infection,urinary bladder inflammation,urinary bladderitis"
bladder exstrophy,Q258858, , ,, , , , , , , , , , ,753.5,Q64.10,C0005689,D001746,C123207,https://en.wikipedia.org/wiki/Bladder_exstrophy,congenital disorder of urinary system, 
Periampullary cancer,Q260688, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Periampullary_cancer, , 
acute coronary syndrome,Q266018, , ,,"Bisoprolol / Hydrochlorothiazide,aspirin,clopidogrel,ezetimibe / Simvastatin,prasugrel,ticagrelor","Q18216,Q410237,Q416232,Q420542,Q48566705,Q48566757", , , , , , , , , , ,C0948089,D054058,C53652,https://en.wikipedia.org/wiki/Acute_coronary_syndrome,group of symptoms attributed to obstruction of the coronary arteries,"ACS,ACS, Acute coronary syndrome,Acute Coronary Syndrome,Acute Coronary Syndromes,Acute coronary syndrome, ACS,Coronary Syndrome, Acute,Coronary Syndromes, Acute,Syndrome, Acute Coronary,Syndromes, Acute Coronary"
mitral valve insufficiency,Q268292, , ,, , , , , , , , , , ,"396.3,746.6",Q23.3,"C0026266,C0158619,C0264774,C3551535",D008944,"C50852,C50888",https://en.wikipedia.org/wiki/Mitral_regurgitation,disorder of the heart in which the mitral valve does not close properly when the heart pumps out blood,"Congenital insufficiency of mitral valve,Congenital insufficiency of mitral valve (disorder),Insufficiency, Mitral,MR,Mitral Insufficiency,Mitral insufficiency, MI,Mitral valve incompetence,congenital mitral insufficiency,congenital mitral regurgitation,mitral regurgitation"
stupor,Q268594, , ,,mesocarb,Q905058, , , , , , , , , , ,C0085628,D053608, ,https://en.wikipedia.org/wiki/Stupor,total or nearly total lack of spontaneous movements (disease),stuporous state
Accelerated phase chronic myelogenous leukemia,Q268832, , ,,imatinib mesylate,Q27114666, , , , , , , , , , , ,D015465, ,https://en.wikipedia.org/wiki/Accelerated_phase_chronic_myelogenous_leukemia,disease, 
foodborne illness,Q272002,"abdominal pain,diarrhea,headache,poisoning,vomiting","Q114953,Q127076,Q183425,Q40878,Q86",,"Ringer's lactate solution,Ringer's solution,activated carbon","Q1138664,Q190878,Q2920739", , , , ,"food contamination,food-borne transmission","Q26305696,Q3511075","complete blood count,microbiological culture","Q1125312,Q886518", ,A05.9,C0679360,D005517,C128351,https://en.wikipedia.org/wiki/Foodborne_illness,"illness resulting from food that is spoiled or contaminated by pathogenic bacteria, viruses, parasites or toxins","food poisoning,food-borne illness,foodborne disease,foodborne diseases"
candidiasis,Q273510, , ,,"5-fluorocytosine,Caspofungin,Ketoconazole,Nystatin,amphotericin B,fluconazole,itraconazole,micafungin,natamycin,voriconazole","Q238490,Q248466,Q251005,Q407883,Q411229,Q411478,Q412223,Q412236,Q420875,Q6827850", , , , , , , , ,"112,112.89,112.9","B37,B37.9",C0006840,D002177,C26711,https://en.wikipedia.org/wiki/Candidiasis,fungal infection due to any type of Candida,"Candida <Debaryomycetaceae> infection,Candida Infection,Candidiasis,Candidiasis, thrush,Candidosis,Disseminated candidiasis,infections, Candida <Debaryomycetaceae>,systemic candidiasis,thrush"
kuru,Q274615,"arthralgia,dementia,diplopia,dizziness,headache,major depressive disorder,mood swing,muscle weakness,obesity,pressure ulcer,speech disorder,strabismus,tremor","Q10916362,Q12174,Q1282114,Q179951,Q223907,Q270421,Q308978,Q42844,Q683498,Q775940,Q7933601,Q83030,Q86",, , ,"Kuru,Kuru Kingdom,koro","Q1025732,Q1068408,Q1080699,Q635922", , ,prion,Q47051,"biopsy,histopathology,magnetic-resonance imaging,physical examination","Q1070952,Q161238,Q179991,Q835153",046.0,"A81.8,A81.81",C0022802,D007729, ,https://en.wikipedia.org/wiki/Kuru_(disease),Human disease,kuru encephalopathy
uveitis,Q280027,inflammation,Q101991,,"adalimumab,atropine,dexamethasone,infliximab,methotrexate,prednisolone","Q11426176,Q26272,Q348260,Q415264,Q422232,Q422252", , , , , , , , , ,H20.9,C0042164,D014605,C26909,https://en.wikipedia.org/wiki/Uveitis,human disease,"Uveitis,uvea inflammation,uveaitis"
urinary incontinence,Q281490, , ,,"(RS)-oxybutynin,flavoxate,midodrine,phenoxybenzamine,tolterodine","Q1060922,Q415051,Q419824,Q424312,Q848264", , , , , , , , , , ,C0042024,D014549,C78497,https://en.wikipedia.org/wiki/Urinary_incontinence,uncontrolled leakage of urine,"Bladder incontinence,Loss of bladder control"
Purtscher's retinopathy,Q290213, , ,, , , , , , , , , , , , ,C0339488, , ,https://en.wikipedia.org/wiki/Purtscher%27s_retinopathy,medical condition, 
AAA disease,Q300664, , ,, , , , , , , , , , , , , , , , ,disease in ancient Egypt, 
abasia,Q305641, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Abasia,disease, 
abducens nerve palsy,Q317977, , ,Nerve Paralysis, , , , , , , , , , ,378.54,H49.2,"C0271355,C1847523",D020434,"C27592,C27593",https://en.wikipedia.org/wiki/Sixth_nerve_palsy,non-neoplastic or neoplastic disorder affecting the abducens nerve (sixth cranial nerve),"ABDUCENS PALSY,Abducens nerve disorder,Abducens nerve weakness,Abducent Nerve Paralysis,Lateral rectus muscle denervation paresis,Lateral rectus muscle innervation disorder,Sixth Nerve Paralysis,Sixth cranial nerve disorder,Sixth cranial nerve disorder, NOS,Sixth nerve palsy,Sixth nerve palsy (disorder),Sixth or abducens nerve palsy,VIth nerve Paralysis,VIth nerve disorder,abducens nerve cranial nerve palsy,abducens nerve disease,disorder of abducent nerve"
nocturnal enuresis,Q318005, , ,,mesocarb,Q905058,nocturia,Q1426443, , , , , , , , ,C0270327,D053206,C118172,https://en.wikipedia.org/wiki/Nocturnal_enuresis,disease,"Nocturnal Enuresis,Sleep Enuresis,bedwetting,enuresis, nocturnal"
inferiority complex,Q319763, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Inferiority_complex,An intense feeling of inferiority, 
ablepharon,Q322370, , ,, , , , , , , , , , , , , , , , ,partial or complete absence of an eyelid,Ablepharie
procrastination,Q330104, , ,, , , , , , ,"attention deficit hyperactivity disorder,deficiency,psychological stress","Q181923,Q2184645,Q3500368", , , , , , , ,https://en.wikipedia.org/wiki/Procrastination,habitual or intentional delay of starting or finishing a task despite knowing potential negative consequences,procrastinate
abrasion,Q331181, , ,, , , , , , , , , , , , , ,D014072,C50449,https://en.wikipedia.org/wiki/Abrasion_(dental),loss of tooth substance by mechanical contact with objects other than tooth-tooth contact, 
Überköten,Q332590, , ,, , , , , , , , , , , , , , , , ,German term: a pathological flexion of the toe joints in animals, 
survivor guilt,Q332768, , ,, , , , , , , , , , , ,"F43.1,F62.0", , , ,https://en.wikipedia.org/wiki/Survivor_guilt,mental condition,"survivor syndrome,survivor's guilt,survivor's syndrome,survivors guilt"
achlorhydria,Q340548,diarrhea,Q40878,, , , , , , , , , , , , ,C0001075,D000126, ,https://en.wikipedia.org/wiki/Achlorhydria,medical state where the production of hydrochloric acid in gastric secretions of the stomach and other digestive organs is absent or low,hypochlorhydria
achylia,Q341201, , ,, , , , , , , , , , , , , , , , ,lack of hydrochloric acid in the gastric juice and digestive enzymes,achylia  gastrica
adenocarcinoma,Q356033, , ,"Carcinomatous Component Present,Epithelial Component Present,Malignant Cellular Infiltrate", , , , ,smoking,Q662860, , , , , , ,C0001418,D000230,C2852,https://en.wikipedia.org/wiki/Adenocarcinoma,"carcinoma that has material basis in abnormally proliferating cells, derives from epithelial cells, which originate in glandular tissue","CIE-O-C-18.2M8140/32,adenocarcinoma NOS (morphologic abnormality),adenocarcinoma, no subtype (morphologic abnormality),adenocarcinoma, nos,adenocarcinomas"
aspergilloma,Q356713, , ,,"antifungal,itraconazole,posaconazole,triazoles,voriconazole","Q411229,Q412236,Q578726,Q903341,Q906453", , , , ,"Aspergillus,Aspergillus fumigatus","Q134359,Q335130", , , , , ,D055732, ,https://en.wikipedia.org/wiki/Aspergilloma,infection of the respiratory tract with fungi of the genus Aspergillus,pulmonary aspergillosis
Adipsia,Q357522, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Adipsia,Clinically significant lack of expression of thirst, 
dhat syndrome,Q360035, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Dhat_syndrome,culture-bound syndrome, 
organic brain syndrome,Q360341, , ,, , ,psychoorganic syndrome,Q7256456, , , , , , , , , ,D019965, ,https://en.wikipedia.org/wiki/Organic_brain_syndrome,syndrome or disorder of mental function whose cause is alleged to be known as organic (physiologic) rather than purely of the mind,"brain syndrome NOS,chronic organic brain syndrome,organic brain disease,organic brain disorder,organic mental disorder,organic mental syndrome"
XX male syndrome,Q365589, , ,, , , , , , , , , , , , , ,D058531,C86032,https://en.wikipedia.org/wiki/XX_male_syndrome,rare congenital condition where an individual with a female genotype has phenotypically male characteristics that can vary between cases,"46,XX sex reversal"
angiomatosis,Q367756, , ,, , , , , , , , , , , , , ,D000798,C45479,https://en.wikipedia.org/wiki/Angiomatosis,"benign vascular malformation involving skin, subcutaneous tissue, skeletal muscle and occasionally bone",Angiomatoses
selective mutism,Q377493, , ,, , , , , , , , , , , , ,C0236818, ,C92569,https://en.wikipedia.org/wiki/Selective_mutism,anxiety disorder causing inability to speak under certain circumstances,"SM,elective mutism"
poisoning by drugs,Q387175, , ,, , , , , , , , , , , , , , , , ,human disease,"drug poisoning,medicament poisoning,poisoning by medicaments,rare intoxication due to medical products"
sleepwalking,Q388626, , ,, , , , , , , , , , , , , ,D013009,C95078,https://en.wikipedia.org/wiki/Sleepwalking,phenomenon of combined sleep and wakefulness,"noctambulism,somnambulism"
Agalactia,Q390217, , ,, , , , , , , , , , , , , , ,C114409,https://en.wikipedia.org/wiki/Lactation_failure,Human disease,"Failure of lactation - delivered,Failure of lactation - delivered (disorder),Failure of lactation, with delivery, with or without mention of antepartum condition,agalactia,agalactorrhea,obsolete agalactia"
agrypnia excitata,Q397554, , ,, , , , , , , , , , , , , , , , ,loss of sleep and motor and autonomic hyperactivity, 
mercury poisoning,Q408089,"Gastrointestinal distress,abdominal cramps,anorexia,arterial hypertension,asthenia,bronchitis,chemical pneumonitis,chest pain,chronic renal insufficiency,contact dermatitis,cough,diarrhea,dysgeusia,dysphagia,dyspnea,exanthem,eye irritation,fatigue,headache,indecision,insomnia,irritability,irritant dermatitis,irritation,kidney disease,proteinuria,pulmonary edema,respiratory failure,saliva secretion,stomatitis,tachycardia,tremor,visual disturbance,weight loss","Q1054718,Q11820606,Q14509067,Q173022,Q1799146,Q18343527,Q1869874,Q188008,Q19357654,Q209583,Q223907,Q2266426,Q254327,Q29299,Q3002092,Q35805,Q40878,Q41861,Q4424146,Q5090486,Q570197,Q623289,Q633403,Q6402731,Q693058,Q718113,Q736715,Q767485,Q77776,Q783903,Q857667,Q86,Q911386,Q9690",,D-penicillamine,Q421239, , , , ,mercury,Q925, , ,985.0,T56.1,C0025427,D008630, ,https://en.wikipedia.org/wiki/Mercury_poisoning,poisoning caused by mercury chemicals,"Mercury intoxication,hydrargyria,mercurialism,mercury toxicity"
acanthosis nigricans,Q415833, , ,Cutaneous Involvement, , , , ,insulin resistance,Q1053470, , , , , ,L83,C0000889,D000052,C26687,https://en.wikipedia.org/wiki/Acanthosis_nigricans,"A skin condition characterised by dark, velvety patches in body folds and creases.","AN - Acanthosis nigricans,Acanthosis nigricans,Acanthosis nigricans (disorder),Familial acanthosis nigricans,Keratosis nigricans"
