diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh
congenital cystic adenomatoid malformation, , , , , , , ,Q33.0,"C0010668,C0158641",D015615
cystitis,inflammation,"DL-ofloxacin,Sulfamethoxazole / Trimethoprim,amphotericin B,carboprost,cefpodoxime,ciprofloxacin,enoxacin,fosfomycin,gatifloxacin,levofloxacin hemihydrate,marbofloxacin,methenamine,moxifloxacin,nitrofurantoin,norfloxacin,orbifloxacin,tosufloxacin", , , , ,"595,595.89,595.9","N30,N30.9",C0010692,D003556
bladder exstrophy, , , , , , ,753.5,Q64.10,C0005689,D001746
acute coronary syndrome, ,"Bisoprolol / Hydrochlorothiazide,aspirin,clopidogrel,ezetimibe / Simvastatin,prasugrel,ticagrelor", , , , , , ,C0948089,D054058
mitral valve insufficiency, , , , , , ,"396.3,746.6",Q23.3,"C0026266,C0158619,C0264774,C3551535",D008944
Accelerated phase chronic myelogenous leukemia, ,imatinib mesylate, , , , , , , ,D015465
foodborne illness,"abdominal pain,diarrhea,headache,poisoning,vomiting","Ringer's lactate solution,Ringer's solution,activated carbon", , ,"food contamination,food-borne transmission","complete blood count,microbiological culture", ,A05.9,C0679360,D005517
candidiasis, ,"5-fluorocytosine,Caspofungin,Ketoconazole,Nystatin,amphotericin B,fluconazole,itraconazole,micafungin,natamycin,voriconazole", , , , ,"112,112.89,112.9","B37,B37.9",C0006840,D002177
Ebstein anomaly, , , , , , ,746.2,Q22.5,C0013481,D004437
urinary incontinence, ,"(RS)-oxybutynin,flavoxate,midodrine,phenoxybenzamine,tolterodine", , , , , , ,C0042024,D014549
AIDS phobia, , , , , , , , , , 
AAA disease, , , , , , , , , , 
abasia, , , , , , , , , , 
abducens nerve palsy, , , , , , ,378.54,H49.2,"C0271355,C1847523",D020434
inferiority complex, , , , , , , , , , 
procrastination, , , , ,"attention deficit hyperactivity disorder,deficiency,psychological stress", , , , , 
abrasion, , , , , , , , , ,D014072
survivor guilt, , , , , , , ,"F43.1,F62.0", , 
carcinoid syndrome, ,"everolimus,octreotide,telotristat ethyl", , , , ,259.2,E34.0,"C0024586,C0349535",D008303
achylia, , , , , , , , , , 
adermatoglyphia, , , , , , , ,Q82.8,"C1851080,C1852150",C565010
Adipsia, , , , , , , , , , 
organic brain syndrome, , ,psychoorganic syndrome, , , , , , ,D019965
angiomatosis, , , , , , , , , ,D000798
selective mutism, , , , , , , , ,C0236818, 
African horse sickness, , , , ,African horse sickness virus, , , , ,D000355
sleepwalking, , , , , , , , , ,D013009
aganglionosis, , , , , , , , ,C1836741, 
agrypnia excitata, , , , , , , , , , 
acanthosis nigricans, , , ,insulin resistance, , , ,L83,C0000889,D000052
hypervitaminosis, , , , , , , , ,C0342951, 
acute abdomen, , , , , , , , , ,D000006
reduplicative paramnesia, , , , , , , , , , 
schizophrenia,"cognitive dysfunction,psychosis","(E)-chlorprothixene,(R,R)-asenapine,(RS)-amisulpride,(Z)-thiothixene,(±)-molindone,acetophenazine,aripiprazole,armodafinil,bexarotene,brexpiprazole,carbamazepin,cariprazine,carphenazine,chlorpromazine,clonazepam,clozapine,flupentixol,fluphenazine,haloperidol,iloperidone,levosulpiride,loxapine,mesoridazine,olanzapine,paliperidone,perphenazine,pimozide,pipotiazine,reserpine,risperidone,thioridazine,transclopenthixol,trifluoperazine,ziprasidone,zotepine","dissociative identity disorder,schizoid personality disorder", , , ,"295,295.9,295.90","F20,F20.9",C0036341,D012559
clinical lycanthropy, , , , , , , , , , 
melancholia, , ,"Melancholia,melancholia,melancholic", , , ,296.90, , , 
monomania, , ,autistic special interest, , , , , ,C0233696, 
moral insanity, , , , , , , , , , 
hallucinogen persisting perception disorder, , , , ,"hallucinogen,psychedelic drug", , , , , 
Jerusalem syndrome, , , , , , , , , , 
egomania, , ,Q11856926, , , , , ,C0233695, 
Munchausen by proxy, , ,Münchausen syndrome, , , , , ,C0085277,D016735
catatonic schizophrenia,"Pavlov's symptom,catalepsy,catatonic excitement,muteness,negativism,psychological pillow,waxy flexibility", , , , , , , , ,D012560
Paris syndrome,mental depression, , , ,adjustment disorder,http://www.wikidata.org/.well-known/genid/fc6afba4d82d356ed4d3b89d5d05f6a4, , , , 
frenzy, , , , , , , , , , 
dissociative disorder not otherwise specified, , , , , , , , , , 
Dysaethesia Aethiopica, , , , , , , , , , 
premenstrual dysphoric disorder,cognitive dysfunction, , , , , ,625.4,N94.3,C0520676,D065446
behavioral disorder associated with intellectual disabilities, , , , , , , , , , 
Sexual relationship disorder, , , , , , , , ,C0349291, 
aboulomania,indecision, , , , , , , , , 
Boanthropy, , , , , , , , , , 
Body-focused repetitive behavior disorders, , , , , , , , , , 
Prairie madness, , , , , , , , , , 
prepsychosis, , , , , , , , , , 
hyperreligiosity, , , , , , , , , , 
neurotic disorder,hallucination,"(RS)-citalopram,(±)-deprenyl,alprazolam,amitriptyline,amoxapine,bupropion,buspirone,cidoxepin,clomipramine,desipramine,escitalopram,fluoxetine,fluvoxamine,imipramine,isocarboxazid,isoflurane,lithium compounds,lorazepam,maprotiline,methylphenidate,mirtazapine,nefazodone,nortriptyline,paroxetine,phenelzine,pramipexole,protriptyline,sertraline,temazepam,tranylcypromine,trazodone,trimipramine,venlafaxine", ,smoking, , , ,"F34.1,F48.9","C0011579,C0027932,C0282126",D009497
Q25615960, , , , , , , , , , 
Adele syndrome, , , , , , , , , , 
alcoholic deterioration, , , , , , , , , , 
L648846, , , , , , , , , , 
De Quervain's thyroiditis, , ,de Quervain syndrome, , , , , , , 
frontotemporal lobar degeneration, , , , , , , , , ,D057174
recurrent miscarriage, , , , , , , ,N96, ,D000026
serum sickness, , , , , , , , , ,D012713
rabies,"cardiac arrest,chills,fear,hallucination,headache,hydrophobia (sign),hyperactivity,hypersalivation,increase,insomnia,irritability,mydriasis,pain,paralysis,paresthesia,phonophobia,photophobia,respiratory arrest,vomiting", , , ,rabies virus, ,071,"A82,A82.0,A82.1,A82.9",C0034494,D011818
hemorrhoid, ,"Euphorbia prostrata,benzocaine,cortisol,phenylephrine,pramoxine",Anorectal varices, , , ,"455,455.8",K64,C0019112,D006484
arterial hypertension, ,"(RS)-metoprolol,(S)-(−)-timolol,(±)-carvedilol,Amlodipine / atorvastatin,Amlodipine/benazepril,Bisoprolol / Hydrochlorothiazide,Enalapril / Hydrochlorothiazide,Eplerenone,Fosinopril,Hydrochlorothiazide / Lisinopril,Hydrochlorothiazide / Losartan,Hydrochlorothiazide / Spironolactone,Hydrochlorothiazide / Triamterene,Hydrochlorothiazide / valsartan,LCZ696,Telmisartan/hydrochlorothiazide,acebutolol,aliskiren,amiloride,amlodipine,amlodipine/valsartan,atenolol,atenolol/chlorthalidone,benazepril,bendroflumethiazide,benzthiazide,bepridil,betaxolol,bisoprolol,bumetanide,candesartan,candesartan / Hydrochlorothiazide,captopril,carteolol,carteolol hydrochloride,chlorothiazide,chlorthalidone,clonidine,clonidine hydrochloride,cyclothiazide,dabigatran etexilate,deserpidine,diltiazem,doxazosin,enalapril,eprosartan,esmolol,ethacrynate sodium,ethacrynic acid,ezetimibe / Simvastatin,felodipine,furosemide,guanabenz,guanadrel,guanethidine,guanfacine,hydralazine,hydrochlorothiazide,hydroflumethiazide,indapamide,irbesartan,irbesartan / hydrochlorothiazide,isradipine,labetalol,lisinopril,lisinopril dihydrate,losartan,mecamylamine,methyclothiazide,methyldopa,metolazone,mibefradil,minoxidil,moexipril,nadolol,nebivolol,nicardipine,nifedipine,nisoldipine,olmesartan,penbutolol,perindopril,phenoxybenzamine,phentolamine,pindolol,polythiazide,prazosin,propranolol,quinapril,quinethazone,ramipril,reserpine,rivaroxaban,spironolactone,telmisartan,terazosin,torasemide,trandolapril,triamterene,trichlormethiazide,ubidecarenone,valsartan,verapamil","intracranial hypertension,pulmonary hypertension", , , ,"401-405.99,997.91","I10,I10-I15,I15","C0020538,C0497247",D006973
Epiploic appendagitis, , , , , , , , ,C1535976, 
diabetic foot, , , , ,diabetes, , , ,C0206172,D017719
thyroid nodule, , , , ,thyroid adenoma, , , , ,D016606
bone fracture, ,"Teriparatide,denosumab", , ,"injury,stress fracture",medical radiography, , ,C0016658,D050723
snakebite, , ,Dry bite, ,animal attack, , ,T63.0,C0037379,D012909
wart, , ,Q97375128, ,human papillomavirus infection, , , ,C3665596,D014860
spasticity, ,"(RS)-baclofen,carisoprodol,chlormezanone,clonidine,cyclobenzaprine,dantrolene,diazepam,meprobamate,metaxalone,prazepam,tizanidine",spastic, , , , , ,C0026838,D009128
dandruff, , , , , , ,690.18, ,C0423775,D063807
Picardy sweat, , , , , , , , , , 
coprolalia, , , , , , , , ,C0233729, 
febrile seizure, ,"diazepam,phenobarbital,phenytoin", , , , ,780.31, ,C0009952,D003294
gout,"arthralgia,erythema,joint effusion,swelling","(S)-(−)-colchicine,Pegloticase,allopurinol,aspirin,diclofenac,febuxostat,ibuprofen,indomethacin,naproxen,probenecid,sulfinpyrazone,sulindac", , , , ,"274,274.0,274.00,274.9","M10,M10.9","C0003868,C0018099",D006073
migraine,"burping,headache,nausea,photophobia,vomiting","(S)-duloxetine,almotriptan,amitriptyline,botulinum toxin type A,buprenorphine,butorphanol,clonixin,diclofenac,dihydroergotamine,eletriptan,ergotamine,fentanyl,gabapentin,ibuprofen,ketorolac,lamotrigine,naproxen,naratriptan,paracetamol,pregabalin,propranolol,rizatriptan,sumatriptan,topiramate,triptan,venlafaxine,zolmitriptan,zonisamide", , ,unknown,"neuroimaging,physical examination","346,346.80,346.9,346.90","G43,G43.9,G43.909","C0042331,C0149931,C0744641",D008881
hemophilia, , , , , , , , ,C0684275, 
Ancylostoma duodenale ancylostomiasis,"abdominal pain,fatigue,hypochromic anemia","albendazo,mebendazole", , ,"Ancylostoma duodenale,Necator americanus", , , , ,C538433
traveler's diarrhea, , , , , , , , ,C0277528, 
brain abscess, , , , ,bacteria, , , ,C0006105,D001922
floater, , , , , , , , , , 
bleeding gums, , , , , , , , ,C0017565,D005884
Alien hand syndrome, , , , , , , , , ,D055964
toothache, , ,Toothache,smoking, , , , , ,D014098
hysteria, , ,Histeria, , , , , , ,D007046
liver cirrhosis, ,"Peginterferon alfa-2a,Peginterferon alfa-2b,adefovir,boceprevir,bumetanide,daclatasvir,entecavir hydrate,ethacrynate sodium,ethacrynic acid,furosemide,ledipasvir/sofosbuvir,obeticholic acid,ribavirin,rifaximin,simeprevir,sofosbuvir,tolvaptan,torasemide", , ,"HFE hereditary haemochromatosis,Indian childhood cirrhosis,alcoholism,autoimmune hepatitis,hepatitis,primary sclerosing cholangitis","blood test,computed tomography,liver biopsy,medical ultrasonography",571.5,K74.60,"C0023890,C0239946",D008103
tobacco use disorder, , , , , , , , , ,D014029
pneumoperitoneum, , , , , , , , , ,D011027
kerion, , , , , , , ,B35.0,C0276742,C536165
bronchitis, ,"acefylline,azithromycin,cefdinir,cefixime,cefpodoxime,dicloxacillin sodium,dyphylline,erdosteine,josamycin,methacycline,sparfloxacin",bronchiolitis, , , ,"466.0,490,491,491.8,491.9","J20,J20.9,J40,J42","C0006277,C0008677,C0149514",D001991
Bálint's syndrome,"oculomotor apraxia,optic ataxia,simultanagnosia", , , , , , ,H51.8,C0270706, 
Azoor, , , , , , ,362.10, ,C0730298,C538223
sirenomelia, , , , , , , ,Q87.2,C0037205,C538595
Babinski–Nageotte syndrome, , , , , , , , ,C0270711, 
basal-cell carcinoma, ,"fluorouracil,imiquimod,solasonine,sonidegib,vismodegib", , , , , , ,"C0007117,C0206710,C1368295,C1862314",D002280
Behr syndrome, , , , , , , ,H35.5,C0221061,C537669
dysmenorrhea, , , , , , , , ,C0013390,D004412
Phlegmasia cerulea dolens, , , , , , , , , , 
bone cyst, , , , , , , , ,C0005937,D001845
Nasal septal hematoma, , , , , , , , , , 
Bethlem myopathy, , , , , , , , ,"C1834674,CN029274", 
opportunistic infection, ,ganciclovir, , , , , , , ,D009894
leukoplakia, , , , , , , , ,C0023531, 
cholesterol embolism, , , , , , ,"445,459.89",I75,C0149649,D017700
metritis, , , , , , , , , , 
ventricular fibrillation,"syncope,vertigo","(RS)-metoprolol,(RS)-mexiletine,acebutolol,amiodarone,arginine vasopressin,atenolol,bretylium,epinephrine,esmolol,lidocaine,moricizine,propranolol,sotalol", , ,"Brugada syndrome,cardiomyopathy,long QT syndrome,myocardial infarction", ,427.41, ,C0042510,D014693
Couvade syndrome, , , , , , , , , , 
Foreign accent syndrome, , , , , , , , , , 
5-alpha-reductase deficiency,ambiguous genitalia, , , , , , , , , 
bicuspid aortic valve, , , , , , , , , ,D000082882
condylomata lata, , , , , , , ,A51.31,C0275828, 
acute otitis media, , , , , , , , , , 
Bisphosphonate-associated osteonecrosis of the jaw, , , , , , , , ,C3178777,D059266
linitis plastica, , , , , , , ,C16.9, ,D008039
diabetic ketoacidosis, , , , , , ,250.1, ,C0011880,D016883
Blue rubber bleb nevus syndrome, , , , , , , ,Q27.8,C0346072,C536240
giant condyloma acuminatum, , , , , , , , , ,D062688
blood coagulation disease, ,"menadiol,menadione,tranexamic acid", , , , ,"286,286.9,287.8",D68.9,C0005779,D001778
Bonnet–Dechaume–Blanc syndrome, , , , , , , ,Q28.2,C0265321,C536752
dichromatopsia, , ,"dichromacy,dyschromatopsia", , , , , ,C4023317, 
rhabdomyolysis, , , , , , ,728.88, ,C0035410,D012206
inflammatory bowel diseases, ,"clidinium,cromoglicic acid", , , , , , ,C0021390,D015212
sweating sickness, , , , , , , , , ,D018614
insulitis, , , , , , , , , , 
Acanthamoeba keratitis, , , , ,infection, ,370.8,"B60.1+,H19.2*","C0000880,C0033129",D015823
expressive aphasia, , , , , , , , ,"C0003550,C0917814",D001039
Multiple familial trichoepithelioma, , , , , , , ,D23.3,C1275122,C536552
Kocher–Debre–Semelaigne syndrome, , , , , , , ,E03.1,C0270958, 
islet-cell adenoma, , , , , , , , ,C0022134, 
hypocalcaemia, , , , , , , , ,C0020598,D006996
articular cartilage disease, , , , , , ,"718.0,718.00,718.02", ,C0158073, 
erythrasma, ,erythromycin, , ,infection, ,041.85,L08.1, ,D004894
folliculitis, , , , , , ,704.8, ,C0016436,D005499
myelodysplastic syndrome, ,"(RS)-lenalidomide,Romiplostim,azacitidine,cyclosporine,cytarabine,decitabine,deferasirox,deferiprone,deferoxamine,eltrombopag,epoetin alfa,filgrastim,ipilimumab,nivolumab,ruxolitinib,thalidomide,venetoclax,vorinostat", , , , ,"238.7,238.75", ,"C0026985,C0026986,C1851971,C2713368,C3463824",D009190
prolactinoma, ,"bromocriptine,cabergoline", , , , , ,"D35.2,E22.1",C0033375,D015175
XY gonadal dysgenesis, , ,Swyer-James syndrome, , , , , ,"C0018054,C0238395",D006061
pilonidal cyst, , , , , , , , ,C0031925,D010864
liver failure, , , , , , , , ,C0085605,D017093
erythema marginatum, , , , , , , , ,C0085659, 
polymyositis,"fever,muscle weakness,myocarditis","methotrexate,mycophenolate mofetil,prednisolone,rituximab,tacrolimus",poliomyelitis, ,autoimmune disease,"creatine kinase measurement,electromyography,magnetic-resonance imaging,muscle biopsy,serologic test",710.4,M33.2,C0085655,D017285
sacbrood, , , , ,Sacbrood virus, , , , , 
bulbar syndrome, , , , , , , , , , 
Böök syndrome, , , , , , , ,Q82.4,C0457014,C562993
C1q nephropathy, , , , , , , , ,C0403434, 
cancer of unknown primary origin, , , , , , , , ,C0027667,D009382
milk-alkali syndrome, , , , , , , , , , 
alveolitis, , , , , , , , , , 
decompression sickness,"amnesia,arthralgia,convulsion,deafness,dizziness,dyspnea,fatigue,formication,godet sign,headache,hyperesthesia,impairment of continence,itch,mental confusion,mood swing,nausea,pain,paralysis,paresthesia,unconsciousness,vertigo,visual disturbance,vomiting", ,air embolism, ,decompression, , , , ,D003665
amentia,"amnesia,delusion,disorientation,hallucination,perplexity", , , , , , , , , 
hirsuties coronae glandis, , ,angiokeratoma of Fordyce, , , , , ,"C0269017,CL474385", 
cretinism, , , , , , , , , , 
ring chromosome, , , , , , , ,Q93.2, ,D012303
gestosis, , , , , , , , ,"C0032914,C1321782", 
anasarka, ,"Icodextrin,Loteprednol etabonate,amiloride,bendroflumethiazide,benzthiazide,bumetanide,captopril,chlorothiazide,chlorthalidone,cyclothiazide,danazol,enalapril,ethacrynate sodium,ethacrynic acid,furosemide,hydrochlorothiazide,hydroflumethiazide,indapamide,methyclothiazide,metolazone,polythiazide,prednisolone,quinethazone,spironolactone,torasemide,triamterene,trichlormethiazide", , , , , , , , 
anastomotic leak, , , , , , , , , ,D057868
Todd's paresis, , , , , , ,344.89, ,C0234544, 
Hibernoma, , , , , , , , ,C0205822, 
neurasthenia, , , , , , , , , ,D009440
tetany,tetanic contraction,"Calcium Gluceptate,calcium chloride,calcium gluconate", , ,hypocalcaemia, , , ,C0039621,D013746
paraphasia, , , , , , , , ,C0234488, 
hamartoma, , , , , , ,759.6, ,C0018552,D006222
hh blood group, , , , , , , , ,C1859408, 
myelitis,inflammation, , , , , ,323.9, ,C0026975,D009187
Pena-Shokeir syndrome, , , , , , , , ,C0265228, 
aphakia, , ,aphasia, , , , , , ,D001035
anoxia, , , , , , , , , , 
anticholinergic toxidrome,"blurred vision,flushing,hyperopia,hyperthermia,mydriasis,oliguria,tachycardia,xeroderma,xerostomia", , , ,anticholinergic, , , , ,D064807
omphalitis of newborn, , , , , , , , , , 
Chemotherapy-induced acral erythema, , , , , , , , ,C0549410,D060831
photodermatitis, ,"4-aminobenzoic acid,avobenzone,cinoxate,hydroxychloroquine,oxybenzone", , , , ,692.72, ,"C0031762,C0162824",D017454
avolition, , , , , , , , ,C3495892, 
keratoconus, , , , , , ,"371.6,371.60","H18.6,H18.60",C0022578,D007640
calculus, , ,calculus, , , , , ,"C0023869,C1269628",D002137
Apert syndrome, , , , , , , , , , 
alpha-1-antitrypsin deficiency, , , , , , ,273.4,"E88.0,E88.01","C0221757,C3501835",D019896
preterm birth, , ,"abortion,preterm infant,stillbirth", , , , , , ,D047928
hip dysplasia, , , , , ,X-ray of hip dysplasia, , ,"C0019555,C1306065",D006618
stimulant psychosis, , , , , , , , , , 
Lujan–Fryns syndrome, , , , , , , , ,C0796022,C537724
Argyll Robertson pupil, , , , , , ,379.45,H57.01,C0155375, 
mallet finger,"bruise,pain", , , , , , , , , 
Torsion dystonia, , , , , , , , , , 
Neu-Laxova syndrome, , , , , , , , ,C0265218,C536405
pulmonary sequestration, , , , , , , ,Q33.2,C0006288,D001998
fibromuscular dysplasia, , , , , , , , ,C0016052,D005352
dysosmia, , , , , , , , , , 
Muselmann, , , , , , , , , , 
psychogenic pain, , , , , , , , , , 
spinal disc herniation, , , , , , , , ,"C0021818,C1832597",D007405
Fixed drug reaction, , , , , , , , ,C0877391, 
soft-tissue sarcoma, , , , , , , , ,"C0334492,C1261473,C2211494", 
paroxysmal cold hemoglobinuria, , , , , , , ,D59.6,"C0086774,C0272129",C538618
aspermia, , , , , , , , , ,D053714
tennis elbow, , , ,smoking, , , , ,C0039516,D013716
Condyloma, , , , , , , , , , 
lordosis, , , , , , , , ,C0024003,D008141
phakomatosis, , , , , , , , , ,D020752
Atony, , , , , , , , , , 
atypical choroid plexus papilloma, , , , , , , ,C71.5, , 
catarrh, , ,Q11687105, , , , , ,C0333355, 
glucagonoma, , , , , , , , ,"C0017689,CL428078",D005935
Caput medusae, , ,Cruveilhier–Baumgarten disease, ,liver cirrhosis, , , ,C0221226, 
Q1036625, , , , , , , , , , 
hypothermia, , , , , , , , ,C0020672,D007035
hantavirus hemorrhagic fever, , , , ,infection, , , , , 
cervicobrachial neuralgia, , , , , , , , ,C0007862, 
communication disorder, , , , , , ,307.9,F80.9,C0009460,D003147
Kikuchi disease, , , , , , , ,I88.1,C0398367,D020042
Flail chest,Paradoxical breathing, , , , , , , ,C0016196,D005409
Cotard delusion, , , , , , , , , , 
retroverted uterus, , , , , , , , , ,D060725
chiasmal syndrome, , , , , , ,"377.5,377.63",H47.4,C0155307, 
Arnold-Chiari malformation, , ,hepatic vein thrombosis, , , , ,Q07.0,"C0003803,C0555206,C0750930",D001139
chondromatosis, , , , , , , , ,C0206636,D018210
Crimean-Congo hemorrhagic fever,"abdominal pain,anuria,arthralgia,back pain,bleeding,bradycardia,chills,conjunctivitis,cyanosis,fever,flatulence,headache,hematoma,hematuria,hyperaemia,hypotension,jaundice,meningism signs,myalgia,nausea,oliguria,petechia,tachycardia,vomiting,xerostomia","antibody,corticosteroid,ribavirin", , ,Crimean-Congo hemorrhagic fever virus,"blood test,complete blood count,lumbar puncture,physical examination,polymerase chain reaction,urinalysis",065.0,A98.0,C0019099,D006479
hyperlipidemia, , , , , , ,272.4,"E78.0,E78.1,E78.2,E78.3,E78.4,E78.5",C0020473,D006949
hairy tongue, , , , , , ,529.8, ,C0040414,D014064
Chronic allograft nephropathy, , , , , , , , ,C0403592, 
Facet syndrome, , , , , , , , , , 
Clutton's joints, , , , ,congenital syphilis, , , , , 
Cohen syndrome, , , , , , ,759.89,Q87.8,C0265223,C536438
septicemia, , , , , , , , , , 
Acute myeloblastic leukemia, , , , , , , , , , 
hypermobility syndrome, , , , , , , , , , 
hypotrophy, , , , , , , , , , 
Watson syndrome, , , , , , ,709.8, ,C0553586, 
dysplasia, , ,Q11695512, , , , , ,C0334044,D002471
diabetic nephropathy, ,"gabapentin,pregabalin", , , , ,"250.4,250.40,583.81", ,C0011881,D003928
splenomegaly, , , , , , , , ,C0038002,D013163
granuloma, , ,granulation tissue, , , , , , ,D006099
Basuritis, , , , , , ,558.9, ,C0744314, 
agenesis of the corpus callosum, , , , , , , , ,C0175754,D061085
coxa vara, , , , , , , , ,C0239138,D060905
developmental disability, , ,intellectual disability, , , , , , ,D002658
Wolfram syndrome, , , , , , ,250.80,E13.8,C0043207,D014929
DOOR syndrome, , , , , , , , , , 
sperm granuloma, , , , , , , , ,C0333416, 
thought disorder, , , , , , , , ,C0233632, 
graft-versus-host disease, ,"Daclizumab,Vedolizumab,cyclosporine,ibrutinib,imatinib,methoxsalen,methylprednisolone,mycophenolate mofetil,prednisolone,prednisone,rituximab,ruxolitinib,sirolimus,tacrolimus,thalidomide", , , , ,279.50,T86.0,"C0018133,C3280677,C3280678",D006086
Cat eye syndrome, , , , , , , ,Q92.8,C0265493,C535918
xanthoma, , , , ,"hyperlipidemia,macrophage-derived foam cell", , , ,C0302314, 
dermatochalasis, , , , , , , , , , 
ulcer of esophagus, , , , , , , , , , 
papillomatosis, , , , ,infection, , , , , 
diphtheroid infection, , , , , , , , ,C0275688, 
Amyotrophic lateral sclerosis 21, , , , , , , , , , 
deep venous insufficiency, , , , , , , , , , 
conduction aphasia, , , , , , , , , ,D018886
staphylococcal skin infection, , , , , , , , , ,D013207
hepatosplenomegaly, , , , , , , , , , 
metrorrhagia, , , , , , , , ,C0025874,D008796
small intestine cancer, , , , , , ,152.9,"C17,C17.9",C0153425, 
konzo, , , , , , , , ,"CL494895,CL527598", 
echopraxia, , , , , , , , ,C0233613, 
brain herniation, , , , , , , , ,C0553686, 
monocytic leukemia, , , , , , ,"206.8,206.80,206.81,206.90,206.91","C93,C93.Z,C93.Z0",C0153903, 
hypovolemia, , , , , , , , ,C0546884,D020896
rhabdoid tumor predisposition syndrome, , , , , , , ,C49.9, , 
Dupuytren's contracture, , ,Pott's fracture, , , , , ,C0013312,D004387
Ellis–Van Creveld syndrome, , , , , , ,756.55,Q77.6,C0013903,D004613
Elsberg syndrome, , , , ,Human herpesvirus 2, , , , , 
tension headache,headache,"amitriptyline,aspirin,ibuprofen,paracetamol", , ,unknown,physical examination, , , ,D018781
Enostosis, , , , , , , , ,C0265512, 
Keratitis–ichthyosis–deafness syndrome, , , , , , , , ,C1275089,C537363
diseased cavity, , , , , , , , ,C1510420, 
