diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh
binge-eating disorder,binge eating, ,food addiction, , , ,307.51,F50.8, ,D056912
delirium tremens,agrypnia excitata, , , ,alcohol abuse, ,291.0, , ,D000430
hypertrophy, , , , , , , , , ,D006984
conjoined twins, , ,"chimera,diprosopus", , , , , ,C0041428,D014428
Zollinger–Ellison syndrome, ,"(RS)-rabeprazole,cimetidine,famotidine,lansoprazole,nizatidine,omeprazole,pantoprazole", , , , , ,E16.4,C0043515,D015043
Cushing's syndrome, ,"(RS)-aminoglutethimide,mitotane", , , , , , , ,D003480
lactose intolerance,"abdominal pain,bloating,borborygmus,diarrhea,flatulence,nausea,vomiting", ,cow milk allergy,"age of a person,ethnicity","absence,eating","biopsy,blood test,chromatography,fecal pH test,genetic testing,hydrogen breath test",271.3,"E73,E73.9","C0022951,C0268181,C1857231",D007787
mesenteric ischemia, , , , , , , , ,C0267412,D065666
urinary tract infection,"abdominal pain,dysuria,fever,frequent urination,hematuria","Colistimethate,DL-ofloxacin,Sulfamethoxazole / Trimethoprim,amoxicillin,amphotericin B,ampicillin,aztreonam,bacampicillin,carbenicillin,carbenicillin indanyl,cefaclor,cefadroxil,cefamandole,cefapirin,cefazolin,cefepime,cefixime,cefoperazone,cefotaxime,cefotetan,cefoxitin,cefpodoxime proxetil,ceftazidime,ceftibuten,ceftizoxime,ceftriaxone,cefuroxime,cephalexin,cephalothin,cinoxacin,ciprofloxacin,clavulanic acid,cloxacillin,cyclacillin,demeclocycline,dicloxacillin,doxycycline,enoxacin,ertapenem,estradiol,fluconazole,fosfomycin,gatifloxacin,gemifloxacin,gentamicin,imipen,levofloxacin,levofloxacin hemihydrate,linezolid,lomefloxacin,meropenem,meropenem trihydrate,methenamine,methenamine hippurate,methenamine mandelate,mezlocillin,moxifloxacin,nafcillin,nalidixic acid,nifuratel,nitrofurantoin,nitroxoline,norfloxacin,oxacillin,penicillin v potassium,piperacillin,sulfacytine,sulfadiazine,sulfamethizole,sulfamethoxazole,sulfisoxazole,ticarcillin,tobramycin,trimethoprim,vaborbactam", , , , ,595.0,N30.0,C0149523,D014552
epidemic pleurodynia, , , , , , ,074.1,B33.0,C0032238,D011000
precocious puberty, ,leuprolide, , , , ,259.1,"E22.8,E30.1",C0034013,D011629
dysarthria, ,clonazepam, , , , , , ,C0013362,D004401
Zuckerschleim, , , , , , , , , , 
dermatitis, ,"DL-lactic acid,DL-methionine,alclometasone,amcinonide,betamethasone,clobetasol,crisaborole,doxycycline,glycerol,heliomycin,orthoboric acid,thiostrepton,zinc oxide", , , , ,692.9,L30.9,"C0011603,C3875321",D003872
brain tumor, , , , , , , , , ,D001932
Upper airway resistance syndrome, , , , , , , , , , 
chikungunya,"arthralgia,conjunctivitis,fatigue,fever,headache,myalgia,nausea,neurological disorder,rash",non-steroidal anti-inflammatory drug, , ,Chikungunya virus,"physical examination,polymerase chain reaction,viral culture", ,A92.0,C0008055,D065632
congenital cystic adenomatoid malformation, , , , , , , ,Q33.0,"C0010668,C0158641",D015615
cystitis,inflammation,"DL-ofloxacin,Sulfamethoxazole / Trimethoprim,amphotericin B,carboprost,cefpodoxime,ciprofloxacin,enoxacin,fosfomycin,gatifloxacin,levofloxacin hemihydrate,marbofloxacin,methenamine,moxifloxacin,nitrofurantoin,norfloxacin,orbifloxacin,tosufloxacin", , , , ,"595,595.89,595.9","N30,N30.9",C0010692,D003556
bladder exstrophy, , , , , , ,753.5,Q64.10,C0005689,D001746
Periampullary cancer, , , , , , , , , , 
acute coronary syndrome, ,"Bisoprolol / Hydrochlorothiazide,aspirin,clopidogrel,ezetimibe / Simvastatin,prasugrel,ticagrelor", , , , , , ,C0948089,D054058
XYY syndrome, , , , , , , ,Q98.5,"C0043379,C3266843",D014997
mitral valve insufficiency, , , , , , ,"396.3,746.6",Q23.3,"C0026266,C0158619,C0264774,C3551535",D008944
Accelerated phase chronic myelogenous leukemia, ,imatinib mesylate, , , , , , , ,D015465
foodborne illness,"abdominal pain,diarrhea,headache,poisoning,vomiting","Ringer's lactate solution,Ringer's solution,activated carbon", , ,"food contamination,food-borne transmission","complete blood count,microbiological culture", ,A05.9,C0679360,D005517
candidiasis, ,"5-fluorocytosine,Caspofungin,Ketoconazole,Nystatin,amphotericin B,fluconazole,itraconazole,micafungin,natamycin,voriconazole", , , , ,"112,112.89,112.9","B37,B37.9",C0006840,D002177
kuru,"arthralgia,dementia,diplopia,dizziness,headache,major depressive disorder,mood swing,muscle weakness,obesity,pressure ulcer,speech disorder,strabismus,tremor", ,"Kuru,Kuru Kingdom,koro", ,prion,"biopsy,histopathology,magnetic-resonance imaging,physical examination",046.0,"A81.8,A81.81",C0022802,D007729
Ebstein anomaly, , , , , , ,746.2,Q22.5,C0013481,D004437
uveitis,inflammation,"adalimumab,atropine,dexamethasone,infliximab,methotrexate,prednisolone", , , , , ,H20.9,C0042164,D014605
urinary incontinence, ,"(RS)-oxybutynin,flavoxate,midodrine,phenoxybenzamine,tolterodine", , , , , , ,C0042024,D014549
AIDS phobia, , , , , , , , , , 
activated protein C resistance, , , , , , ,289.81,D68.51,"C0600433,C1861171",D020016
AAA disease, , , , , , , , , , 
abasia, , , , , , , , , , 
Schindler disease, , , , , , ,277.89,E77.1,"C0342850,C1836544", 
abducens nerve palsy, , , , , , ,378.54,H49.2,"C0271355,C1847523",D020434
nocturnal enuresis, ,mesocarb,nocturia, , , , , ,C0270327,D053206
inferiority complex, , , , , , , , , , 
ablepharon, , , , , , , , , , 
procrastination, , , , ,"attention deficit hyperactivity disorder,deficiency,psychological stress", , , , , 
abrasion, , , , , , , , , ,D014072
Überköten, , , , , , , , , , 
survivor guilt, , , , , , , ,"F43.1,F62.0", , 
aboulia, , , , , , , , ,C0919974, 
carcinoid syndrome, ,"everolimus,octreotide,telotristat ethyl", , , , ,259.2,E34.0,"C0024586,C0349535",D008303
achlorhydria,diarrhea, , , , , , , ,C0001075,D000126
achylia, , , , , , , , , , 
adenocarcinoma, , , ,smoking, , , , ,C0001418,D000230
adermatoglyphia, , , , , , , ,Q82.8,"C1851080,C1852150",C565010
aspergilloma, ,"antifungal,itraconazole,posaconazole,triazoles,voriconazole", , ,"Aspergillus,Aspergillus fumigatus", , , , ,D055732
Adipsia, , , , , , , , , , 
dhat syndrome, , , , , , , , , , 
organic brain syndrome, , ,psychoorganic syndrome, , , , , , ,D019965
XX male syndrome, , , , , , , , , ,D058531
angiomatosis, , , , , , , , , ,D000798
growth hormone deficiency, , , , , , , , , ,D004393
selective mutism, , , , , , , , ,C0236818, 
adult polyglucosan body disease, , , , , , , ,E74.0,C1849722,C564878
African horse sickness, , , , ,African horse sickness virus, , , , ,D000355
poisoning by drugs, , , , , , , , , , 
sleepwalking, , , , , , , , , ,D013009
Agalactia, , , , , , , , , , 
Lucey–Driscoll syndrome, , , , , , , ,P59.8,"C0270210,C0270215",C562692
agrypnia excitata, , , , , , , , , , 
mercury poisoning,"Gastrointestinal distress,abdominal cramps,anorexia,arterial hypertension,asthenia,bronchitis,chemical pneumonitis,chest pain,chronic kidney disease,contact dermatitis,cough,diarrhea,dysgeusia,dysphagia,dyspnea,exanthem,eye irritation,fatigue,headache,indecision,insomnia,irritability,irritant dermatitis,irritation,kidney disease,proteinuria,pulmonary edema,respiratory failure,saliva secretion,stomatitis,tachycardia,tremor,visual disturbance,weight loss",D-penicillamine, , ,mercury, ,985.0,T56.1,C0025427,D008630
acanthosis nigricans, , , ,insulin resistance, , , ,L83,C0000889,D000052
acroparesthesia, , , , , , , , ,C1332141, 
hypervitaminosis, , , , , , , , ,C0342951, 
acute midbrain syndrome, , , , , , , , , , 
Alström syndrome,blindness, , , , , , , ,C0268425,D056769
milk-alkali syndrome, , , , , , , , , , 
aluminosis, , , , , , , , ,C0311227, 
alveolitis, , , , , , , , , , 
Edwards syndrome, , ,orofaciodigital syndrome VIII, , , ,758.2,"Q91.0,Q91.1,Q91.2,Q91.3",C0152096,D000073842
decompression sickness,"amnesia,arthralgia,convulsion,deafness,dizziness,dyspnea,fatigue,formication,godet sign,headache,hyperesthesia,impairment of continence,itch,mental confusion,mood swing,nausea,pain,paralysis,paresthesia,unconsciousness,vertigo,visual disturbance,vomiting", ,air embolism, ,decompression, , , , ,D003665
amentia,"amnesia,delusion,disorientation,hallucination,perplexity", , , , , , , , , 
health effects of tobacco, , , , , , , , , , 
hirsuties coronae glandis, , ,angiokeratoma of Fordyce, , , , , ,"C0269017,CL474385", 
Amino acid transport disorder, , , , , , ,270.0,E72.0,C0268641,D020157
cretinism, , , , , , , , , , 
complete androgen insensitivity syndrome, , , , , , , , , , 
ring chromosome, , , , , , , ,Q93.2, ,D012303
intestinal parasite infection, , , , ,intestinal parasite, , , , ,D007411
gestosis, , , , , , , , ,"C0032914,C1321782", 
kyphosis, , , , , , , , ,"C0022821,C1845112",D007738
anasarka, ,"Icodextrin,Loteprednol etabonate,amiloride,bendroflumethiazide,benzthiazide,bumetanide,captopril,chlorothiazide,chlorthalidone,cyclothiazide,danazol,enalapril,ethacrynate sodium,ethacrynic acid,furosemide,hydrochlorothiazide,hydroflumethiazide,indapamide,methyclothiazide,metolazone,polythiazide,prednisolone,quinethazone,spironolactone,torasemide,triamterene,trichlormethiazide", , , , , , , , 
anastomotic leak, , , , , , , , , ,D057868
paramyotonia congenita, , , , , , ,359.29,G71.1,"C0221055,C1868617,C1868619",C538616
experimental autoimmune encephalomyelitis, , , , , , , , , ,D004681
Todd's paresis, , , , , , ,344.89, ,C0234544, 
sucrose intolerance, , , , , , ,271.3,E74.3,C1283620,C538139
Hibernoma, , , , , , , , ,C0205822, 
gigantism, , ,"Deep-sea gigantism,giantness", , , , ,E22.0,C0017547,D005877
neurasthenia, , , , , , , , , ,D009440
tetany,tetanic contraction,"Calcium Gluceptate,calcium chloride,calcium gluconate", , ,hypocalcaemia, , , ,C0039621,D013746
paraphasia, , , , , , , , ,C0234488, 
Dactylitis, , , , , , , , ,C0239161, 
hamartoma, , , , , , ,759.6, ,C0018552,D006222
uncombable hair syndrome, , , , , , , ,Q84.1,C0432347,C536939
hh blood group, , , , , , , , ,C1859408, 
endothelial dysfunction, , , , , , , , ,C0856169, 
myelitis,inflammation, , , , , ,323.9, ,C0026975,D009187
Pena-Shokeir syndrome, , , , , , , , ,C0265228, 
alcoholic liver disease,"jaundice,nausea", , , ,alcohol consumption,"LIVER FUNCTION TEST,complete blood count", , , ,D008108
aphakia, , ,aphasia, , , , , , ,D001035
anorchia, , ,anarchy, , , , ,Q55.0, , 
anoxia, , , , , , , , , , 
anticholinergic toxidrome,"blurred vision,flushing,hyperopia,hyperthermia,mydriasis,oliguria,tachycardia,xeroderma,xerostomia", , , ,anticholinergic, , , , ,D064807
self-defeating personality disorder, , ,"Masochism,masochism", , , , , ,C1404989, 
myxoma, , , , , , , , , ,D009232
Chemotherapy-induced acral erythema, , , , , , , , ,C0549410,D060831
photodermatitis, ,"4-aminobenzoic acid,avobenzone,cinoxate,hydroxychloroquine,oxybenzone", , , , ,692.72, ,"C0031762,C0162824",D017454
avolition, , , , , , , , ,C3495892, 
Hughes-Stovin syndrome, , , , , , , ,I28.8, , 
keratoconus, , , , , , ,"371.6,371.60","H18.6,H18.60",C0022578,D007640
torticollis, , , , , , , , ,C0040485,D014103
Apert syndrome, , , , , , , , , , 
taijin kyofusho, , , , , , , , , , 
Arachnoid cyst, , , , , ,Galassi classification, ,G93.0,"C0078981,C0751615",D016080
preterm birth, , ,"abortion,preterm infant,stillbirth", , , , , , ,D047928
hip dysplasia, , , , , ,X-ray of hip dysplasia, , ,"C0019555,C1306065",D006618
Eagle syndrome,"neck pain,otalgia,shoulder pain", , , , , ,733.99, ,C1868714,C538010
stimulant psychosis, , , , , , , , , , 
occupational disease, , , , , , , , ,C0028797,D009784
Lujan–Fryns syndrome, , , , , , , , ,C0796022,C537724
argyria,abnormal skin coloration, , , ,silver, , ,T56.8,C0003782,D001129
Argyll Robertson pupil, , , , , , ,379.45,H57.01,C0155375, 
flat feet problems, , , , , , ,734, ,"C0016202,C0264133",D005413
mallet finger,"bruise,pain", , , , , , , , , 
eosinophilic granuloma, , , , , , ,277.89,C96.6,C0014461,D004803
Torsion dystonia, , , , , , , , , , 
Neu-Laxova syndrome, , , , , , , , ,C0265218,C536405
pulmonary sequestration, , , , , , , ,Q33.2,C0006288,D001998
fibromuscular dysplasia, , , , , , , , ,C0016052,D005352
dopamine-responsive dystonia, , , , , , , ,G24.8,C1851920,C538007
dysosmia, , , , , , , , , , 
Muselmann, , , , , , , , , , 
subarachnoid hemorrhage,"photophobia,vomiting","nimodipine,tranexamic acid", , ,aneurysm,computed tomography,430, ,C0038525,D013345
psychogenic pain, , , , , , , , , , 
spinal disc herniation, , , , , , , , ,"C0021818,C1832597",D007405
arteriovenous fistula, , , , , , , , ,"C0003855,C0332965",D001164
Fixed drug reaction, , , , , , , , ,C0877391, 
soft-tissue sarcoma, , , , , , , , ,"C0334492,C1261473,C2211494", 
Erythema induratum, , , , , , , , ,C0014741,D004891
paroxysmal cold hemoglobinuria, , , , , , , ,D59.6,"C0086774,C0272129",C538618
Asomatognosia, , , , , , , , ,C0840927, 
aspermia, , , , , , , , , ,D053714
Mismatch repair cancer syndrome, , , , , , , , ,C0265325,C536928
tennis elbow, , , ,smoking, , , , ,C0039516,D013716
asplenia, , ,Asplenia, , , , , , , 
Condyloma, , , , , , , , , , 
Jarisch-Herxheimer reaction, , , , , , , , ,C0259756, 
lordosis, , , , , , , , ,C0024003,D008141
atelectasis, , , , , , , , ,C0004144,D001261
respiratory tract infection, , , , , , , , ,C0035243,D012141
Atony, , , , , , , , , , 
atypical choroid plexus papilloma, , , , , , , ,C71.5, , 
catarrh, , ,Q11687105, , , , , ,C0333355, 
glucagonoma, , , , , , , , ,"C0017689,CL428078",D005935
Caput medusae, , ,Cruveilhier–Baumgarten disease, ,liver cirrhosis, , , ,C0221226, 
Q1036625, , , , , , , , , , 
hypothermia, , , , , , , , ,C0020672,D007035
hantavirus hemorrhagic fever, , , , ,infection, , , , , 
cervicobrachial neuralgia, , , , , , , , ,C0007862, 
communication disorder, , , , , , ,307.9,F80.9,C0009460,D003147
Kikuchi disease, , , , , , , ,I88.1,C0398367,D020042
Flail chest,Paradoxical breathing, , , , , , , ,C0016196,D005409
Cotard delusion, , , , , , , , , , 
retroverted uterus, , , , , , , , , ,D060725
chiasmal syndrome, , , , , , ,"377.5,377.63",H47.4,C0155307, 
Arnold-Chiari malformation, , ,hepatic vein thrombosis, , , , ,Q07.0,"C0003803,C0555206,C0750930",D001139
chondromatosis, , , , , , , , ,C0206636,D018210
Crimean-Congo hemorrhagic fever,"abdominal pain,anuria,arthralgia,back pain,bleeding,bradycardia,chills,conjunctivitis,cyanosis,fever,flatulence,headache,hematoma,hematuria,hyperaemia,hypotension,jaundice,meningism signs,myalgia,nausea,oliguria,petechia,tachycardia,vomiting,xerostomia","antibody,corticosteroid,ribavirin", , ,Crimean-Congo hemorrhagic fever virus,"blood test,complete blood count,lumbar puncture,physical examination,polymerase chain reaction,urinalysis",065.0,A98.0,C0019099,D006479
hyperlipidemia, , , , , , ,272.4,"E78.0,E78.1,E78.2,E78.3,E78.4,E78.5",C0020473,D006949
hairy tongue, , , , , , ,529.8, ,C0040414,D014064
dyslalia, , , , , , , , , , 
Chronic allograft nephropathy, , , , , , , , ,C0403592, 
Minimally conscious state, , , , , , , , , , 
Facet syndrome, , , , , , , , , , 
Diplegia, , , , , , , , , , 
Clutton's joints, , , , ,congenital syphilis, , , , , 
caffeine dependence, , , , , , ,304.4, ,C1386553, 
Cohen syndrome, , , , , , ,759.89,Q87.8,C0265223,C536438
septicemia, , , , , , , , , , 
Acute myeloblastic leukemia, , , , , , , , , , 
hypermobility syndrome, , , , , , , , , , 
hypotrophy, , , , , , , , , , 
Watson syndrome, , , , , , ,709.8, ,C0553586, 
diabetic nephropathy, ,"gabapentin,pregabalin", , , , ,"250.4,250.40,583.81", ,C0011881,D003928
splenomegaly, , , , , , , , ,C0038002,D013163
granuloma, , ,granulation tissue, , , , , , ,D006099
Basuritis, , , , , , ,558.9, ,C0744314, 
agenesis of the corpus callosum, , , , , , , , ,C0175754,D061085
diverticulum, , , , , , , , ,C0012817,D004240
developmental disability, , ,intellectual disability, , , , , , ,D002658
fecal incontinence, , , , , , , , ,C0015732,D005242
Wolfram syndrome, , , , , , ,250.80,E13.8,C0043207,D014929
tonsillolith, , , , , , , , ,C0272388, 
DOOR syndrome, , , , , , , , , , 
Darwin's tubercle, , , , , , , , ,"C1852294,C2751189", 
sperm granuloma, , , , , , , , ,C0333416, 
thought disorder, , , , , , , , ,C0233632, 
heat illness, , ,Stroke, , , , , , ,D018882
computer vision syndrome, , , , , , , , ,C2609092, 
Cat eye syndrome, , , , , , , ,Q92.8,C0265493,C535918
xanthoma, , , , ,"hyperlipidemia,macrophage-derived foam cell", , , ,C0302314, 
Dermal cylindroma, , , , , , , , ,C1305968, 
dermatochalasis, , , , , , , , , , 
colorectal polyp, , , , , , , ,K63.5,C0009376,D003111
ulcer of esophagus, , , , , , , , , , 
papillomatosis, , , , ,infection, , , , , 
diffuse esophageal spasm, , , , , , , ,k22.4, ,D015155
diphtheroid infection, , , , , , , , ,C0275688, 
disease mongering, , , , , , , , , , 
Amyotrophic lateral sclerosis 21, , , , , , , , , , 
distichia, , , , , , , , , , 
deep venous insufficiency, , , , , , , , , , 
Doege–Potter syndrome, , , , , , , , , , 
conduction aphasia, , , , , , , , , ,D018886
littoral cell angioma, , , , , , , , ,C1627365,C537031
staphylococcal skin infection, , , , , , , , , ,D013207
Vascular occlusion, , , , , , , , ,C1096458, 
hepatosplenomegaly, , , , , , , , , , 
stannosis, , , , ,inhalation, , , , , 
metrorrhagia, , , , , , , , ,C0025874,D008796
dyschezia, , , , , , , , ,C0237326, 
small intestine cancer, , , , , , ,152.9,"C17,C17.9",C0153425, 
Schimmelpenning syndrome, , , , , , , ,Q85.8,"C0265318,C0265329,C3854181",D054000
konzo, , , , , , , , ,"CL494895,CL527598", 
Oroantral fistula, , , , , , , , , ,D009957
echopraxia, , , , , , , , ,C0233613, 
brain herniation, , , , , , , , ,C0553686, 
monocytic leukemia, , , , , , ,"206.8,206.80,206.81,206.90,206.91","C93,C93.Z,C93.Z0",C0153903, 
sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome, , , , , , , ,G71.3,"C1843851,C1843852",C537583
hypovolemia, , , , , , , , ,C0546884,D020896
rhabdoid tumor predisposition syndrome, , , , , , , ,C49.9, , 
bone neoplasm, , , , , , , , ,"CL031131,CL497890",D001859
Dupuytren's contracture, , ,Pott's fracture, , , , , ,C0013312,D004387
Ellis–Van Creveld syndrome, , , , , , ,756.55,Q77.6,C0013903,D004613
Naxos disease, , , , , , , ,Q87.8,C1832600,C538346
Elsberg syndrome, , , , ,Human herpesvirus 2, , , , , 
Kostmann syndrome, , , , , , , , ,C1853118,C537592
tension headache,headache,"amitriptyline,aspirin,ibuprofen,paracetamol", , ,unknown,physical examination, , , ,D018781
empyema, , , , , , ,510, ,C0014009,D004653
Enostosis, , , , , , , , ,C0265512, 
enterohaemorrhagic Escherichia coli infection, , , , ,infection, , , ,C0276098, 
Keratitis–ichthyosis–deafness syndrome, , , , , , , , ,C1275089,C537363
alcohol withdrawal seizure, , , , , , , , , ,D020270
diseased cavity, , , , , , , , ,C1510420, 
ependymoma, , , , , , , , , ,D004806
epispadias, , , , , , ,752.62,Q64.0,"C0014588,C0563449",D004842
pedophilia, , ,"Q111746044,hebephilia", , , ,302.2,F65.4,C0030764,D010378
reduplicative paramnesia, , , , , , , , , , 
dissociative identity disorder, , ,"alter ego,antisocial personality disorder,dissociative disorder not otherwise specified,mood swing,persona in a work of fiction,personality disorder,psychosis,schizophrenia,split personality", ,"childhood trauma,psychological trauma","interview,observation,questionnaire",300.14,F44.81,C0026773,D009105
schizophrenia,"cognitive dysfunction,psychosis","(E)-chlorprothixene,(R,R)-asenapine,(RS)-amisulpride,(Z)-thiothixene,(±)-molindone,acetophenazine,aripiprazole,armodafinil,bexarotene,brexpiprazole,carbamazepin,cariprazine,carphenazine,chlorpromazine,clonazepam,clozapine,flupentixol,fluphenazine,haloperidol,iloperidone,levosulpiride,loxapine,mesoridazine,olanzapine,paliperidone,perphenazine,pimozide,pipotiazine,reserpine,risperidone,thioridazine,transclopenthixol,trifluoperazine,ziprasidone,zotepine","dissociative identity disorder,schizoid personality disorder", , , ,"295,295.9,295.90","F20,F20.9",C0036341,D012559
clinical lycanthropy, , , , , , , , , , 
Witzelsucht, , , , , , , , , , 
melancholia, , ,"Melancholia,melancholia,melancholic", , , ,296.90, , , 
complex post-traumatic stress disorder,"anxiety,emotional dysregulation,fight-or-flight response,flashback,nightmare,solitude,somatization", ,"autism,borderline personality disorder", ,"child abuse,domestic violence,human trafficking,neglect", , , ,C2733207, 
monomania, , ,autistic special interest, , , , , ,C0233696, 
sociopathy, , , , , , , , , , 
moral insanity, , , , , , , , , , 
grandiose delusions, , ,Megalomania, , , , , , , 
hallucinogen persisting perception disorder, , , , ,"hallucinogen,psychedelic drug", , , , , 
Jerusalem syndrome, , , , , , , , , , 
delusional parasitosis,"abrasion,delusion,hypochondriasis,itch", , , ,unknown, , , , ,D063726
egomania, , ,Q11856926, , , , , ,C0233695, 
Munchausen by proxy, , ,Münchausen syndrome, , , , , ,C0085277,D016735
oneirophrenia, , , , , , ,295.4, ,C0553814, 
catatonic schizophrenia,"Pavlov's symptom,catalepsy,catatonic excitement,muteness,negativism,psychological pillow,waxy flexibility", , , , , , , , ,D012560
folie à deux, , , , , , , , ,C0036939,D012753
Paris syndrome,mental depression, , , ,adjustment disorder,http://www.wikidata.org/.well-known/genid/fc6afba4d82d356ed4d3b89d5d05f6a4, , , , 
loss of reality, , , , , , , , , , 
dissociative disorder not otherwise specified, , , , , , , , , , 
Dysaethesia Aethiopica, , , , , , , , , , 
drapetomania, , , , , , , , , , 
premenstrual dysphoric disorder,cognitive dysfunction, , , , , ,625.4,N94.3,C0520676,D065446
behavioral disorder associated with intellectual disabilities, , , , , , , , , , 
impulsion-phobias, , , , ,obsessive-compulsive disorder, , , , , 
Sexual relationship disorder, , , , , , , , ,C0349291, 
aboulomania,indecision, , , , , , , , , 
arrested development, , ,Arrested development, , , , , , , 
Boanthropy, , , , , , , , , , 
Body-focused repetitive behavior disorders, , , , , , , , , , 
Foerster's syndrome, , , , , , , , , , 
Prairie madness, , , , , , , , , , 
species dysphoria, , , , , , , , , , 
prepsychosis, , , , , , , , , , 
gender identity disorder, , , , , , ,302,F64, , 
hyperreligiosity, , , , , , , , , , 
sadistic personality disorder, , ,"antisocial personality disorder,sexual sadism disorder", , , , , , , 
neurotic disorder,hallucination,"(RS)-citalopram,(±)-deprenyl,alprazolam,amitriptyline,amoxapine,bupropion,buspirone,cidoxepin,clomipramine,desipramine,escitalopram,fluoxetine,fluvoxamine,imipramine,isocarboxazid,isoflurane,lithium compounds,lorazepam,maprotiline,methylphenidate,mirtazapine,nefazodone,nortriptyline,paroxetine,phenelzine,pramipexole,protriptyline,sertraline,temazepam,tranylcypromine,trazodone,trimipramine,venlafaxine", ,smoking, , , ,"F34.1,F48.9","C0011579,C0027932,C0282126",D009497
Q25615960, , , , , , , , , , 
racial trauma, , , , , , , , , , 
Adele syndrome, , , , , , , , , , 
alcoholic deterioration, , , , , , , , , , 
Mental illness in ancient Rome, , , , , , , , , , 
L648846, , , , , , , , , , 
L652803, , , , , , , , , , 
De Quervain's thyroiditis, , ,de Quervain syndrome, , , , , , , 
