diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh,nci,article
chronic obstructive pulmonary disease,"cough,dyspnea,wheeze","(RS)-clenbuterol,L-carbocysteine,ambroxol,bambuterol,erdosteine,etofylline,fluticasone furoate,formoterol,glycopyrrolate,indacaterol,indacaterol maleate", ,smoking,"dust,smoking","arterial blood gas analysis,spirometry","490-496.99,496",J44.9,C0024117,D029424,C3199,https://en.wikipedia.org/wiki/Chronic_obstructive_pulmonary_disease
varicose veins, ,"Sodium tetradecyl sulfate,myristyl sulfate", , , , ,"454.9,456.8",I83.90,"C0042345,C1969953",D014648,C35114,https://en.wikipedia.org/wiki/Varicose_veins
Lyme disease,"arthralgia,arthritis,chronic neuropathic pain,encephalomyelitis,erythema chronicum migrans,fasciculation,fatigue,fever,headache,heart arrhythmia,hypertrophic cardiomyopathy,meningitis,meningoencephalitis,myalgia,myocarditis,neuritis,paresthesia,vertigo","amoxicillin,azithromycin,ceftriaxone,cefuroxime,doxycycline",Chronic Lyme disease, ,Borrelia burgdorferi,"ELISA,biopsy,lumbar puncture,physical examination,western blot",088.81,"A69.2,A69.20","C0024198,C0752235",D008193,C45161,https://en.wikipedia.org/wiki/Lyme_disease
hordeolum, , , , ,Staphylococcus aureus, , ,H00.01,"C0019917,C4280376",D006726,C118722,https://en.wikipedia.org/wiki/Stye
Turner syndrome, , ,monosomy X, , , , ,"Q96,Q96.0,Q96.9","C0041408,C1527168",D014424,"C26900,C34434,C85210",https://en.wikipedia.org/wiki/Turner_syndrome
amblyopia, , , , , , ,368.00,H53.00,C0002418,D000550,C118764,https://en.wikipedia.org/wiki/Amblyopia
anogenital venereal wart, ,"Interferon alfa-n3,Podophyllin,acedoben sodium,imiquimod", ,smoking,human papillomavirus infection, ,078.11,A63.0,"C0009663,C0554632",D003218,"C2960,C4820",https://en.wikipedia.org/wiki/Genital_wart
binge-eating disorder,binge eating, ,food addiction, , , ,307.51,F50.8, ,D056912,C97162,https://en.wikipedia.org/wiki/Binge_eating_disorder
delirium tremens,agrypnia excitata, , , ,alcohol abuse, ,291.0, , ,D000430, ,https://en.wikipedia.org/wiki/Delirium_tremens
hypertrophy, , , , , , , , , ,D006984, ,https://en.wikipedia.org/wiki/Hypertrophy
conjoined twins, , ,"chimera,diprosopus", , , , , ,C0041428,D014428,C98903,https://en.wikipedia.org/wiki/Conjoined_twins
Zollinger–Ellison syndrome, ,"(RS)-rabeprazole,cimetidine,famotidine,lansoprazole,nizatidine,omeprazole,pantoprazole", , , , , ,E16.4,C0043515,D015043,C3453,https://en.wikipedia.org/wiki/Zollinger%E2%80%93Ellison_syndrome
Cushing's syndrome, ,"(RS)-aminoglutethimide,mitotane", , , , , , , ,D003480,C2969,https://en.wikipedia.org/wiki/Cushing%27s_syndrome
lactose intolerance,"abdominal pain,bloating,borborygmus,diarrhea,flatulence,nausea,vomiting", ,cow milk allergy,"age of a person,ethnicity","absence,eating","biopsy,blood test,chromatography,fecal pH test,genetic testing,hydrogen breath test",271.3,"E73,E73.9","C0022951,C0268181,C1857231",D007787,C3154,https://en.wikipedia.org/wiki/Lactose_intolerance
mesenteric ischemia, , , , , , , , ,C0267412,D065666, ,https://en.wikipedia.org/wiki/Intestinal_ischemia
urinary tract infection,"abdominal pain,dysuria,fever,frequent urination,hematuria","Colistimethate,DL-ofloxacin,Sulfamethoxazole / Trimethoprim,amoxicillin,amphotericin B,ampicillin,aztreonam,bacampicillin,carbenicillin,carbenicillin indanyl,cefaclor,cefadroxil,cefamandole,cefapirin,cefazolin,cefepime,cefixime,cefoperazone,cefotaxime,cefotetan,cefoxitin,cefpodoxime proxetil,ceftazidime,ceftibuten,ceftizoxime,ceftriaxone,cefuroxime,cephalexin,cephalothin,cinoxacin,ciprofloxacin,clavulanic acid,cloxacillin,cyclacillin,demeclocycline,dicloxacillin,doxycycline,enoxacin,ertapenem,estradiol,fluconazole,fosfomycin,gatifloxacin,gemifloxacin,gentamicin,imipen,levofloxacin,levofloxacin hemihydrate,linezolid,lomefloxacin,meropenem,meropenem trihydrate,methenamine,methenamine hippurate,methenamine mandelate,mezlocillin,moxifloxacin,nafcillin,nalidixic acid,nifuratel,nitrofurantoin,nitroxoline,norfloxacin,oxacillin,penicillin v potassium,piperacillin,sulfacytine,sulfadiazine,sulfamethizole,sulfamethoxazole,sulfisoxazole,ticarcillin,tobramycin,trimethoprim,vaborbactam", , , , ,595.0,N30.0,C0149523,D014552,"C26934,C50791",https://en.wikipedia.org/wiki/Urinary_tract_infection
epidemic pleurodynia, , , , , , ,074.1,B33.0,C0032238,D011000, ,https://en.wikipedia.org/wiki/Bornholm_disease
precocious puberty, ,leuprolide, , , , ,259.1,"E22.8,E30.1",C0034013,D011629,C48628,https://en.wikipedia.org/wiki/Precocious_puberty
dysarthria, ,clonazepam, , , , , , ,C0013362,D004401, ,https://en.wikipedia.org/wiki/Dysarthria
Zuckerschleim, , , , , , , , , , , , 
dermatitis, ,"DL-lactic acid,DL-methionine,alclometasone,amcinonide,betamethasone,clobetasol,crisaborole,doxycycline,glycerol,heliomycin,orthoboric acid,thiostrepton,zinc oxide", , , , ,692.9,L30.9,"C0011603,C3875321",D003872,C2983,https://en.wikipedia.org/wiki/Dermatitis
brain tumor, , , , , , , , , ,D001932,C2907,https://en.wikipedia.org/wiki/Brain_tumor
Upper airway resistance syndrome, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Upper_airway_resistance_syndrome
chikungunya,"arthralgia,conjunctivitis,fatigue,fever,headache,myalgia,nausea,neurological disorder,rash",non-steroidal anti-inflammatory drug, , ,Chikungunya virus,"physical examination,polymerase chain reaction,viral culture", ,A92.0,C0008055,D065632,C128422,https://en.wikipedia.org/wiki/Chikungunya
congenital cystic adenomatoid malformation, , , , , , , ,Q33.0,"C0010668,C0158641",D015615,C98892,https://en.wikipedia.org/wiki/Congenital_pulmonary_airway_malformation
cystitis,inflammation,"DL-ofloxacin,Sulfamethoxazole / Trimethoprim,amphotericin B,carboprost,cefpodoxime,ciprofloxacin,enoxacin,fosfomycin,gatifloxacin,levofloxacin hemihydrate,marbofloxacin,methenamine,moxifloxacin,nitrofurantoin,norfloxacin,orbifloxacin,tosufloxacin", , , , ,"595,595.89,595.9","N30,N30.9",C0010692,D003556,C26738,https://en.wikipedia.org/wiki/Cystitis
bladder exstrophy, , , , , , ,753.5,Q64.10,C0005689,D001746,C123207,https://en.wikipedia.org/wiki/Bladder_exstrophy
Periampullary cancer, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Periampullary_cancer
acute coronary syndrome, ,"Bisoprolol / Hydrochlorothiazide,aspirin,clopidogrel,ezetimibe / Simvastatin,prasugrel,ticagrelor", , , , , , ,C0948089,D054058,C53652,https://en.wikipedia.org/wiki/Acute_coronary_syndrome
XYY syndrome, , , , , , , ,Q98.5,"C0043379,C3266843",D014997,C85237,https://en.wikipedia.org/wiki/XYY_syndrome
mitral valve insufficiency, , , , , , ,"396.3,746.6",Q23.3,"C0026266,C0158619,C0264774,C3551535",D008944,"C50852,C50888",https://en.wikipedia.org/wiki/Mitral_regurgitation
stupor, ,mesocarb, , , , , , ,C0085628,D053608, ,https://en.wikipedia.org/wiki/Stupor
Accelerated phase chronic myelogenous leukemia, ,imatinib mesylate, , , , , , , ,D015465, ,https://en.wikipedia.org/wiki/Accelerated_phase_chronic_myelogenous_leukemia
foodborne illness,"abdominal pain,diarrhea,headache,poisoning,vomiting","Ringer's lactate solution,Ringer's solution,activated carbon", , ,"food contamination,food-borne transmission","complete blood count,microbiological culture", ,A05.9,C0679360,D005517,C128351,https://en.wikipedia.org/wiki/Foodborne_illness
candidiasis, ,"5-fluorocytosine,Caspofungin,Ketoconazole,Nystatin,amphotericin B,fluconazole,itraconazole,micafungin,natamycin,voriconazole", , , , ,"112,112.89,112.9","B37,B37.9",C0006840,D002177,C26711,https://en.wikipedia.org/wiki/Candidiasis
kuru,"arthralgia,dementia,diplopia,dizziness,headache,major depressive disorder,mood swing,muscle weakness,obesity,pressure ulcer,speech disorder,strabismus,tremor", ,"Kuru,Kuru Kingdom,koro", ,prion,"biopsy,histopathology,magnetic-resonance imaging,physical examination",046.0,"A81.8,A81.81",C0022802,D007729, ,https://en.wikipedia.org/wiki/Kuru_(disease)
Ebstein anomaly, , , , , , ,746.2,Q22.5,C0013481,D004437,C84681,https://en.wikipedia.org/wiki/Ebstein%27s_anomaly
uveitis,inflammation,"adalimumab,atropine,dexamethasone,infliximab,methotrexate,prednisolone", , , , , ,H20.9,C0042164,D014605,C26909,https://en.wikipedia.org/wiki/Uveitis
urinary incontinence, ,"(RS)-oxybutynin,flavoxate,midodrine,phenoxybenzamine,tolterodine", , , , , , ,C0042024,D014549,C78497,https://en.wikipedia.org/wiki/Urinary_incontinence
Purtscher's retinopathy, , , , , , , , ,C0339488, , ,https://en.wikipedia.org/wiki/Purtscher%27s_retinopathy
AIDS phobia, , , , , , , , , , , , 
activated protein C resistance, , , , , , ,289.81,D68.51,"C0600433,C1861171",D020016, ,https://en.wikipedia.org/wiki/Activated_protein_C_resistance
AAA disease, , , , , , , , , , , , 
abasia, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Abasia
Schindler disease, , , , , , ,277.89,E77.1,"C0342850,C1836544", , ,https://en.wikipedia.org/wiki/Schindler_disease
abducens nerve palsy, , , , , , ,378.54,H49.2,"C0271355,C1847523",D020434,"C27592,C27593",https://en.wikipedia.org/wiki/Sixth_nerve_palsy
nocturnal enuresis, ,mesocarb,nocturia, , , , , ,C0270327,D053206,C118172,https://en.wikipedia.org/wiki/Nocturnal_enuresis
inferiority complex, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Inferiority_complex
ablepharon, , , , , , , , , , , , 
procrastination, , , , ,"attention deficit hyperactivity disorder,deficiency,psychological stress", , , , , , ,https://en.wikipedia.org/wiki/Procrastination
abrasion, , , , , , , , , ,D014072,C50449,https://en.wikipedia.org/wiki/Abrasion_(dental)
Überköten, , , , , , , , , , , , 
survivor guilt, , , , , , , ,"F43.1,F62.0", , , ,https://en.wikipedia.org/wiki/Survivor_guilt
aboulia, , , , , , , , ,C0919974, , ,https://en.wikipedia.org/wiki/Abulia
carcinoid syndrome, ,"everolimus,octreotide,telotristat ethyl", , , , ,259.2,E34.0,"C0024586,C0349535",D008303,C3215,https://en.wikipedia.org/wiki/Carcinoid_syndrome
achlorhydria,diarrhea, , , , , , , ,C0001075,D000126, ,https://en.wikipedia.org/wiki/Achlorhydria
achylia, , , , , , , , , , , , 
adenocarcinoma, , , ,smoking, , , , ,C0001418,D000230,C2852,https://en.wikipedia.org/wiki/Adenocarcinoma
adermatoglyphia, , , , , , , ,Q82.8,"C1851080,C1852150",C565010, ,https://en.wikipedia.org/wiki/Adermatoglyphia
aspergilloma, ,"antifungal,itraconazole,posaconazole,triazoles,voriconazole", , ,"Aspergillus,Aspergillus fumigatus", , , , ,D055732, ,https://en.wikipedia.org/wiki/Aspergilloma
Adipsia, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Adipsia
dhat syndrome, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Dhat_syndrome
organic brain syndrome, , ,psychoorganic syndrome, , , , , , ,D019965, ,https://en.wikipedia.org/wiki/Organic_brain_syndrome
XX male syndrome, , , , , , , , , ,D058531,C86032,https://en.wikipedia.org/wiki/XX_male_syndrome
angiomatosis, , , , , , , , , ,D000798,C45479,https://en.wikipedia.org/wiki/Angiomatosis
growth hormone deficiency, , , , , , , , , ,D004393,C34555,https://en.wikipedia.org/wiki/Growth_hormone_deficiency
selective mutism, , , , , , , , ,C0236818, ,C92569,https://en.wikipedia.org/wiki/Selective_mutism
adult polyglucosan body disease, , , , , , , ,E74.0,C1849722,C564878, ,https://en.wikipedia.org/wiki/Adult_polyglucosan_body_disease
African horse sickness, , , , ,African horse sickness virus, , , , ,D000355, ,https://en.wikipedia.org/wiki/African_horse_sickness
poisoning by drugs, , , , , , , , , , , , 
sleepwalking, , , , , , , , , ,D013009,C95078,https://en.wikipedia.org/wiki/Sleepwalking
Agalactia, , , , , , , , , , ,C114409,https://en.wikipedia.org/wiki/Lactation_failure
aganglionosis, , , , , , , , ,C1836741, , , 
Lucey–Driscoll syndrome, , , , , , , ,P59.8,"C0270210,C0270215",C562692,C98846,https://en.wikipedia.org/wiki/Lucey%E2%80%93Driscoll_syndrome
agrypnia excitata, , , , , , , , , , , , 
mercury poisoning,"Gastrointestinal distress,abdominal cramps,anorexia,arterial hypertension,asthenia,bronchitis,chemical pneumonitis,chest pain,chronic kidney disease,contact dermatitis,cough,diarrhea,dysgeusia,dysphagia,dyspnea,exanthem,eye irritation,fatigue,headache,indecision,insomnia,irritability,irritant dermatitis,irritation,kidney disease,proteinuria,pulmonary edema,respiratory failure,saliva secretion,stomatitis,tachycardia,tremor,visual disturbance,weight loss",D-penicillamine, , ,mercury, ,985.0,T56.1,C0025427,D008630, ,https://en.wikipedia.org/wiki/Mercury_poisoning
acanthosis nigricans, , , ,insulin resistance, , , ,L83,C0000889,D000052,C26687,https://en.wikipedia.org/wiki/Acanthosis_nigricans
acroparesthesia, , , , , , , , ,C1332141, ,C35810, 
hypervitaminosis, , , , , , , , ,C0342951, , ,https://en.wikipedia.org/wiki/Hypervitaminosis
acute midbrain syndrome, , , , , , , , , , , , 
acute abdomen, , , , , , , , , ,D000006, ,https://en.wikipedia.org/wiki/Acute_abdomen
pedophilia, , ,"Q111746044,hebephilia", , , ,302.2,F65.4,C0030764,D010378,C94355,https://en.wikipedia.org/wiki/Pedophilia
reduplicative paramnesia, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Reduplicative_paramnesia
dissociative identity disorder, , ,"alter ego,antisocial personality disorder,dissociative disorder not otherwise specified,mood swing,persona in a work of fiction,personality disorder,psychosis,schizophrenia,split personality", ,"childhood trauma,psychological trauma","interview,observation,questionnaire",300.14,F44.81,C0026773,D009105,C94330,https://en.wikipedia.org/wiki/Dissociative_identity_disorder
schizophrenia,"cognitive dysfunction,psychosis","(E)-chlorprothixene,(R,R)-asenapine,(RS)-amisulpride,(Z)-thiothixene,(±)-molindone,acetophenazine,aripiprazole,armodafinil,bexarotene,brexpiprazole,carbamazepin,cariprazine,carphenazine,chlorpromazine,clonazepam,clozapine,flupentixol,fluphenazine,haloperidol,iloperidone,levosulpiride,loxapine,mesoridazine,olanzapine,paliperidone,perphenazine,pimozide,pipotiazine,reserpine,risperidone,thioridazine,transclopenthixol,trifluoperazine,ziprasidone,zotepine","dissociative identity disorder,schizoid personality disorder", , , ,"295,295.9,295.90","F20,F20.9",C0036341,D012559,C3362,https://en.wikipedia.org/wiki/Schizophrenia
clinical lycanthropy, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Clinical_lycanthropy
Witzelsucht, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Witzelsucht
melancholia, , ,"Melancholia,melancholia,melancholic", , , ,296.90, , , , ,https://en.wikipedia.org/wiki/Melancholia
complex post-traumatic stress disorder,"anxiety,emotional dysregulation,fight-or-flight response,flashback,nightmare,solitude,somatization", ,"autism,borderline personality disorder", ,"child abuse,domestic violence,human trafficking,neglect", , , ,C2733207, , ,https://en.wikipedia.org/wiki/Complex_post-traumatic_stress_disorder
monomania, , ,autistic special interest, , , , , ,C0233696, , ,https://en.wikipedia.org/wiki/Monomania
sociopathy, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Sociopathy
moral insanity, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Moral_insanity
grandiose delusions, , ,Megalomania, , , , , , , , ,https://en.wikipedia.org/wiki/Grandiose_delusions
hallucinogen persisting perception disorder, , , , ,"hallucinogen,psychedelic drug", , , , , , ,https://en.wikipedia.org/wiki/Hallucinogen_persisting_perception_disorder
Jerusalem syndrome, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Jerusalem_syndrome
delusional parasitosis,"abrasion,delusion,hypochondriasis,itch", , , ,unknown, , , , ,D063726, ,https://en.wikipedia.org/wiki/Delusional_parasitosis
egomania, , ,Q11856926, , , , , ,C0233695, , ,https://en.wikipedia.org/wiki/Egomania
egopathy, , , , , , , , , , , , 
Munchausen by proxy, , ,Münchausen syndrome, , , , , ,C0085277,D016735, ,https://en.wikipedia.org/wiki/Factitious_disorder_imposed_on_another
oneirophrenia, , , , , , ,295.4, ,C0553814, , ,https://en.wikipedia.org/wiki/Oneirophrenia
catatonic schizophrenia,"Pavlov's symptom,catalepsy,catatonic excitement,muteness,negativism,psychological pillow,waxy flexibility", , , , , , , , ,D012560,C35003, 
folie à deux, , , , , , , , ,C0036939,D012753, ,https://en.wikipedia.org/wiki/Folie_%C3%A0_deux
Paris syndrome,mental depression, , , ,adjustment disorder,http://www.wikidata.org/.well-known/genid/fc6afba4d82d356ed4d3b89d5d05f6a4, , , , , ,https://en.wikipedia.org/wiki/Paris_syndrome
loss of reality, , , , , , , , , , , , 
frenzy, , , , , , , , , , , , 
dissociative disorder not otherwise specified, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Dissociative_disorder_not_otherwise_specified
Dysaethesia Aethiopica, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Dysaesthesia_aethiopica
drapetomania, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Drapetomania
premenstrual dysphoric disorder,cognitive dysfunction, , , , , ,625.4,N94.3,C0520676,D065446, ,https://en.wikipedia.org/wiki/Premenstrual_dysphoric_disorder
behavioral disorder associated with intellectual disabilities, , , , , , , , , , , , 
impulsion-phobias, , , , ,obsessive-compulsive disorder, , , , , , , 
Sexual relationship disorder, , , , , , , , ,C0349291, , ,https://en.wikipedia.org/wiki/Sexual_relationship_disorder
vesanic dementia, , , , , , , , , , , , 
aboulomania,indecision, , , , , , , , , , ,https://en.wikipedia.org/wiki/Aboulomania
arrested development, , ,Arrested development, , , , , , , , ,https://en.wikipedia.org/wiki/Arrested_development
Boanthropy, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Boanthropy
Body-focused repetitive behavior disorders, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Body-focused_repetitive_behavior
Foerster's syndrome, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Foerster%27s_syndrome
Prairie madness, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Prairie_madness
species dysphoria, , , , , , , , , , , , 
prepsychosis, , , , , , , , , , , , 
gender identity disorder, , , , , , ,302,F64, , , ,https://en.wikipedia.org/wiki/Gender_identity_disorder
hyperreligiosity, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Hyperreligiosity
sadistic personality disorder, , ,"antisocial personality disorder,sexual sadism disorder", , , , , , , , ,https://en.wikipedia.org/wiki/Sadistic_personality_disorder
neurotic disorder,hallucination,"(RS)-citalopram,(±)-deprenyl,alprazolam,amitriptyline,amoxapine,bupropion,buspirone,cidoxepin,clomipramine,desipramine,escitalopram,fluoxetine,fluvoxamine,imipramine,isocarboxazid,isoflurane,lithium compounds,lorazepam,maprotiline,methylphenidate,mirtazapine,nefazodone,nortriptyline,paroxetine,phenelzine,pramipexole,protriptyline,sertraline,temazepam,tranylcypromine,trazodone,trimipramine,venlafaxine", ,smoking, , , ,"F34.1,F48.9","C0011579,C0027932,C0282126",D009497,"C34533,C34848,C35369", 
Q25615960, , , , , , , , , , , , 
racial trauma, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Racial_trauma
Adele syndrome, , , , , , , , , , , , 
alcoholic deterioration, , , , , , , , , , , , 
Mental illness in ancient Rome, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Mental_illness_in_ancient_Rome
L648846, , , , , , , , , , , , 
L652803, , , , , , , , , , , , 
De Quervain's thyroiditis, , ,de Quervain syndrome, , , , , , , , ,https://en.wikipedia.org/wiki/De_Quervain%27s_thyroiditis
postpartum thyroiditis, , , , , , , , , ,D050032,C114389,https://en.wikipedia.org/wiki/Postpartum_thyroiditis
frontotemporal lobar degeneration, , , , , , , , , ,D057174, ,https://en.wikipedia.org/wiki/Frontotemporal_lobar_degeneration
progressive nonfluent aphasia, , , , , , , ,G31.0,C0751706,D057178, ,https://en.wikipedia.org/wiki/Progressive_nonfluent_aphasia
recurrent miscarriage, , , , , , , ,N96, ,D000026, ,https://en.wikipedia.org/wiki/Recurrent_miscarriage
miscarriage, , ,"abortion,stillbirth", , , , , ,C0000786,D000022,C34336,https://en.wikipedia.org/wiki/Miscarriage
serum sickness, , , , , , , , , ,D012713,C79718,https://en.wikipedia.org/wiki/Serum_sickness
carcinoma, ,"anastrozole,axitinib,bevacizumab,cabazitaxel,diethylstilbestrol,everolimus,ipilimumab,lidocaine,nilutamide,olaparib,paclitaxel,regorafenib,sirolimus,tolvaptan,trastuzumab",angioma,smoking, , , , ,"C0007097,C0553707,C1368683",D002277,"C2916,C3709",https://en.wikipedia.org/wiki/Carcinoma
rabies,"cardiac arrest,chills,fear,hallucination,headache,hydrophobia (sign),hyperactivity,hypersalivation,increase,insomnia,irritability,mydriasis,pain,paralysis,paresthesia,phonophobia,photophobia,respiratory arrest,vomiting", , , ,rabies virus, ,071,"A82,A82.0,A82.1,A82.9",C0034494,D011818,C28182,https://en.wikipedia.org/wiki/Rabies
hemorrhoid, ,"Euphorbia prostrata,benzocaine,cortisol,phenylephrine,pramoxine",Anorectal varices, , , ,"455,455.8",K64,C0019112,D006484,C26792,https://en.wikipedia.org/wiki/Hemorrhoid
arterial hypertension, ,"(RS)-metoprolol,(S)-(−)-timolol,(±)-carvedilol,Amlodipine / atorvastatin,Amlodipine/benazepril,Bisoprolol / Hydrochlorothiazide,Enalapril / Hydrochlorothiazide,Eplerenone,Fosinopril,Hydrochlorothiazide / Lisinopril,Hydrochlorothiazide / Losartan,Hydrochlorothiazide / Spironolactone,Hydrochlorothiazide / Triamterene,Hydrochlorothiazide / valsartan,LCZ696,Telmisartan/hydrochlorothiazide,acebutolol,aliskiren,amiloride,amlodipine,amlodipine/valsartan,atenolol,atenolol/chlorthalidone,benazepril,bendroflumethiazide,benzthiazide,bepridil,betaxolol,bisoprolol,bumetanide,candesartan,candesartan / Hydrochlorothiazide,captopril,carteolol,carteolol hydrochloride,chlorothiazide,chlorthalidone,clonidine,clonidine hydrochloride,cyclothiazide,dabigatran etexilate,deserpidine,diltiazem,doxazosin,enalapril,eprosartan,esmolol,ethacrynate sodium,ethacrynic acid,ezetimibe / Simvastatin,felodipine,furosemide,guanabenz,guanadrel,guanethidine,guanfacine,hydralazine,hydrochlorothiazide,hydroflumethiazide,indapamide,irbesartan,irbesartan / hydrochlorothiazide,isradipine,labetalol,lisinopril,lisinopril dihydrate,losartan,mecamylamine,methyclothiazide,methyldopa,metolazone,mibefradil,minoxidil,moexipril,nadolol,nebivolol,nicardipine,nifedipine,nisoldipine,olmesartan,penbutolol,perindopril,phenoxybenzamine,phentolamine,pindolol,polythiazide,prazosin,propranolol,quinapril,quinethazone,ramipril,reserpine,rivaroxaban,spironolactone,telmisartan,terazosin,torasemide,trandolapril,triamterene,trichlormethiazide,ubidecarenone,valsartan,verapamil","intracranial hypertension,pulmonary hypertension", , , ,"401-405.99,997.91","I10,I10-I15,I15","C0020538,C0497247",D006973,C3117,https://en.wikipedia.org/wiki/Hypertension
Epiploic appendagitis, , , , , , , , ,C1535976, , ,https://en.wikipedia.org/wiki/Epiploic_appendagitis
meningitis,"fever,headache,meningeal syndrome,nausea,photophobia,vomiting","5-fluorocytosine,DL-ofloxacin,amikacin,ceftriaxone,flucloxacillin,minocycline", , ,"Haemophilus influenzae,Listeria monocytogenes,Neisseria meningitidis,Streptococcus pneumoniae,virus","lumbar puncture,microbiological culture,neurological examination,optical microscope,polymerase chain reaction,viral culture","322,322.9","G03,G03.9",C0025289,D008581,C26828,https://en.wikipedia.org/wiki/Meningitis
diabetic foot, , , , ,diabetes, , , ,C0206172,D017719, ,https://en.wikipedia.org/wiki/Diabetic_foot
