diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh,nci,article
malaltia de Bornholm, , , , , , ,074.1,B33.0,C0032238,D011000, , 
pubertat precoç, ,leuprorelina, , , , ,259.1,"E22.8,E30.1",C0034013,D011629,C48628, 
disàrtria, ,clonazepam, , , , , , ,C0013362,D004401, , 
Q228085, , , , , , , , , , , , 
dermatitis, ,"Q27110219,Q7784698,alclometasona,amcinonida,betametasona,clobetasol,crisaborole,doxiciclina,glicerol,metionina,àcid bòric,àcid làctic,òxid de zinc", , , , ,692.9,L30.9,"C0011603,C3875321",D003872,C2983, 
tumor cerebral, , , , , , , , , ,D001932,C2907, 
Q241827, , , , , , , , , , , , 
chikungunya,"artràlgia,cefalàlgia,conjuntivitis,exantema,fatiga muscular,febre,miàlgia,nàusea,trastorn neurològic",antiinflamatori no esteroidal, , ,Chikungunya virus,"cultiu viral,exploració física,reacció en cadena de la polimerasa", ,A92.0,C0008055,D065632,C128422, 
Q246040, , , , , , , ,Q33.0,"C0010668,C0158641",D015615,C98892, 
cistitis,inflamació,"Q1639616,Q183554,Q2365016,Q3995932,Q417897,Q422669,Q424940,Q47495791,Q48566821,Q7100015,Q909359,amfotericina B,carboprost,cefpodoxima,ciprofloxacina,hexametilenotetramina,ofloxacina", , , , ,"595,595.89,595.9","N30,N30.9",C0010692,D003556,C26738, 
Q258858, , , , , , ,753.5,Q64.10,C0005689,D001746,C123207, 
Q260688, , , , , , , , , , , , 
síndrome coronària aguda, ,"Q416232,Q420542,Q48566705,Q48566757,clopidogrel,àcid acetilsalicílic", , , , , , ,C0948089,D054058,C53652, 
síndrome XYY, , , , , , , ,Q98.5,"C0043379,C3266843",D014997,C85237, 
insuficiència mitral, , , , , , ,"396.3,746.6",Q23.3,"C0026266,C0158619,C0264774,C3551535",D008944,"C50852,C50888", 
Estupor, ,Q905058, , , , , , ,C0085628,D053608, , 
Q268832, ,Q27114666, , , , , , , ,D015465, , 
toxiinfecció alimentària,"cefalàlgia,diarrea,dolor abdominal,enverinament,vòmit","Q2920739,Ringer,carbó actiu", , ,"Q3511075,transmissió per aliments","Cultiu microbiològic,hemograma", ,A05.9,C0679360,D005517,C128351, 
candidosi, ,"Flucitosina,Natamicina,Q407883,Q411229,Q412236,Q6827850,amfotericina B,caspofungina,fluconazole,nistatina", , , , ,"112,112.89,112.9","B37,B37.9",C0006840,D002177,C26711, 
kuru,"artràlgia,cefalàlgia,debilitat muscular,demència,depressió major,diplopia,estrabisme,labilitat afectiva,mareig,obesitat,trastorn de la parla,tremolor,úlcera per pressió", ,"Kuru,Q1080699,Q635922,Regne de Kuru", ,prió,"biòpsia,exploració física,histopatologia,imatge per ressonància magnètica",046.0,"A81.8,A81.81",C0022802,D007729, , 
Q277452, , , , , , ,746.2,Q22.5,C0013481,D004437,C84681, 
uveïtis,inflamació,"adalimumab,atropina,dexametasona,infliximab,metotrexat,prednisolona", , , , , ,H20.9,C0042164,D014605,C26909, 
incontinència urinària, ,"Q1060922,Q415051,Q419824,Q424312,Q848264", , , , , , ,C0042024,D014549,C78497, 
Q290213, , , , , , , , ,C0339488, , , 
Q293533, , , , , , , , , , , , 
Q296104, , , , , , ,289.81,D68.51,"C0600433,C1861171",D020016, , 
Q300664, , , , , , , , , , , , 
abàsia, , , , , , , , , , , , 
Q310335, , , , , , ,277.89,E77.1,"C0342850,C1836544", , , 
Q317977, , , , , , ,378.54,H49.2,"C0271355,C1847523",D020434,"C27592,C27593", 
enuresi nocturna, ,Q905058,nictúria, , , , , ,C0270327,D053206,C118172, 
complex d'inferioritat, , , , , , , , , , , , 
Q322370, , , , , , , , , , , , 
procrastinació, , , , ,"deficiència,estrès psicològic,trastorn per dèficit d'atenció amb hiperactivitat", , , , , , , 
abrasion, , , , , , , , , ,D014072,C50449, 
Q332590, , , , , , , , , , , , 
síndrome del supervivent, , , , , , , ,"F43.1,F62.0", , , , 
abúlia, , , , , , , , ,C0919974, , , 
síndrome carcinoide, ,"Q27270371,everolimús,octreotida", , , , ,259.2,E34.0,"C0024586,C0349535",D008303,C3215, 
Aclorhídria,diarrea, , , , , , , ,C0001075,D000126, , 
Q341201, , , , , , , , , , , , 
adenocarcinoma, , , ,fumar, , , , ,C0001418,D000230,C2852, 
Q356410, , , , , , , ,Q82.8,"C1851080,C1852150",C565010, , 
aspergil·loma, ,"Q411229,Q412236,Q906453,antifúngic,triazol", , ,"Aspergillus,Aspergillus fumigatus", , , , ,D055732, , 
Adipsia, , , , , , , , , , , , 
Q360035, , , , , , , , , , , , 
síndrome orgànica cerebral, , ,Q7256456, , , , , , ,D019965, , 
Q365589, , , , , , , , , ,D058531,C86032, 
angiomatosi, , , , , , , , , ,D000798,C45479, 
Q369262, , , , , , , , , ,D004393,C34555, 
mutisme selectiu, , , , , , , , ,C0236818, ,C92569, 
Q379038, , , , , , , ,E74.0,C1849722,C564878, , 
malaltia equina africana, , , , ,African horse sickness virus, , , , ,D000355, , 
Q387175, , , , , , , , , , , , 
somnambulisme, , , , , , , , , ,D013009,C95078, 
Q390217, , , , , , , , , , ,C114409, 
Q390434, , , , , , , , ,C1836741, , , 
Q390908, , , , , , , ,P59.8,"C0270210,C0270215",C562692,C98846, 
insomni amb excitació, , , , , , , , , , , , 
Intoxicació per mercuri,"alteració visual,anorèxia,astènia,bronquitis,cefalàlgia,dermatitis de contacte,dermatitis irritant,diarrea,disfàgia,disgèusia,dispnea,dolor toràcic,edema pulmonar,estomatitis,exantema,fatiga muscular,hipertensió arterial,indecisió,insomni,insuficiència renal crònica,insuficiència respiratòria,irritabilitat,irritació,irritació ocular,molèstia gastrointestinal,nefropatia,pneumonitis química,proteïnúria,pèrdua de pes,rampa abdominal,salivació,taquicàrdia,tos,tremolor",penicil·lamina, , ,mercuri, ,985.0,T56.1,C0025427,D008630, , 
acantosi nigricans, , , ,resistència a la insulina, , , ,L83,C0000889,D000052,C26687, 
Q420915, , , , , , , , ,C1332141, ,C35810, 
hipervitaminosi, , , , , , , , ,C0342951, , , 
Q424302, , , , , , , , , , , , 
abdomen agut, , , , , , , , , ,D000006, , 
pedofília, , ,"Q111746044,Q1191575", , , ,302.2,F65.4,C0030764,D010378,C94355, 
Q18638, , , , , , , , , , , , 
trastorn dissociatiu de la identitat, , ,"Q2053759,Q64825337,esquizofrènia,labilitat afectiva,persona en un treball o ficció,psicosi,trastorn antisocial de la personalitat,trastorn de la personalitat,àlter ego", ,"trauma infantil,trauma psíquic","entrevista,observació,qüestionari",300.14,F44.81,C0026773,D009105,C94330, 
esquizofrènia,"disfunció cognitiva,psicosi","Loxapine,Q144085,Q1452256,Q1752915,Q205517,Q226905,Q2608288,Q27164953,Q27278051,Q2924764,Q2938837,Q4199443,Q423292,Q423520,Q4673284,Q5045786,Q50824517,Q567927,Q58376,Q593166,Q6821618,Thioridazine,amisulprida,aripiprazole,armodafinil,bexarotè,carbamazepina,clonazepam,clorpromazina,clorprotixè,clozapina,haloperidol,olanzapina,reserpina,risperidona","trastorn dissociatiu de la identitat,trastorn esquizoide de la personalitat", , , ,"295,295.9,295.90","F20,F20.9",C0036341,D012559,C3362, 
Q41184, , , , , , , , , , , , 
Q127770, , , , , , , , , , , , 
malenconia, , ,"Q30038761,Q80149,depressió melancòlica", , , ,296.90, , , , , 
Q477502,"Q1938569,Resposta de lluita o fugida,ansietat,desregulació emocional,malson,solitud,somatització", ,"autisme,trastorn límit de la personalitat", ,"maltractament infantil,negligència,tràfic de persones,violència domèstica", , , ,C2733207, , , 
monomania, , ,Q67135649, , , , , ,C0233696, , , 
Q941225, , , , , , , , , , , , 
Q955922, , , , , , , , , , , , 
megalomania, , ,Q4280499, , , , , , , , , 
Q1001920, , , , ,"Q2314176,al·lucinogen", , , , , , , 
síndrome de Jerusalem, , , , , , , , , , , , 
Q1200256,"Q939378,deliri,hipocondria,pruïja", , , ,desconegut, , , , ,D063726, , 
Q1298422, , ,Q11856926, , , , , ,C0233695, , , 
Q1299035, , , , , , , , , , , , 
síndrome de Münchhausen per poders, , ,síndrome de Münchhausen, , , , , ,C0085277,D016735, , 
Q1419434, , , , , , ,295.4, ,C0553814, , , 
Q1432717,"Q1642611,Q4419847,Q4419854,Q460263,Q57769952,catalèpsia,mutisme", , , , , , , , ,D012560,C35003, 
Q1435409, , , , , , , , ,C0036939,D012753, , 
síndrome de París,depressió, , , ,trastorn d'adaptació,http://www.wikidata.org/.well-known/genid/fc6afba4d82d356ed4d3b89d5d05f6a4, , , , , , 
Q1472585, , , , , , , , , , , , 
Q1973636, , , , , , , , , , , , 
Q2053759, , , , , , , , , , , , 
dysaethesia aethiopica, , , , , , , , , , , , 
Q2351339, , , , , , , , , , , , 
trastorn disfòric premenstrual,disfunció cognitiva, , , , , ,625.4,N94.3,C0520676,D065446, , 
Q2769397, , , , , , , , , , , , 
Q3381343, , , , ,trastorn obsessivocompulsiu, , , , , , , 
Q3406281, , , , , , , , ,C0349291, , , 
Q3564396, , , , , , , , , , , , 
Q4668562,indecisió, , , , , , , , , , , 
Q4795924, , ,Arrested development, , , , , , , , , 
Q4931259, , , , , , , , , , , , 
conductes repetitives centrades en el cos, , , , , , , , , , , , 
Q5464019, , , , , , , , , , , , 
Q7238040, , , , , , , , , , , , 
Q7574962, , , , , , , , , , , , 
Q10638540, , , , , , , , , , , , 
Q11491595, , , , , , ,302,F64, , , , 
Q16642636, , , , , , , , , , , , 
Q17285927, , ,"sadisme,trastorn antisocial de la personalitat", , , , , , , , , 
problema neuròtic,al·lucinació,"Imipramine,Isoflurà,Nortriptyline,Q1747559,Q402633,Q408432,Q409595,Q414796,Q416632,Q416791,Q418361,Q420885,Q421304,Q421930,Q423498,Q423757,Trazodona,alprazolam,amitriptilina,amoxapina,bupropió,buspirona,citalopram,clomipramina,desipramina,fluoxetina,fluvoxamina,lorazepam,metilfenidat,paroxetina,sal de liti,sertralina,venlafaxina", ,fumar, , , ,"F34.1,F48.9","C0011579,C0027932,C0282126",D009497,"C34533,C34848,C35369", 
Q25615960, , , , , , , , , , , , 
Q56063104, , , , , , , , , , , , 
Q90249065, , , , , , , , , , , , 
Q110572881, , , , , , , , , , , , 
Q111955925, , , , , , , , , , , , 
L648846, , , , , , , , , , , , 
L652803, , , , , , , , , , , , 
Q16485, , ,tenosinovitis d'estiloides radial, , , , , , , , , 
Q16488, , , , , , , , , ,D050032,C114389, 
degeneració lobar frontotemporal, , , , , , , , , ,D057174, , 
afàsia progressiva no fluent, , , , , , , ,G31.0,C0751706,D057178, , 
Q25787, , , , , , , ,N96, ,D000026, , 
avortament espontani, , ,"avortament,mort fetal", , , , , ,C0000786,D000022,C34336, 
Q33121, , , , , , , , , ,D012713,C79718, 
carcinoma, ,"anastrozole,axitinib,bevacizumab,cabazitaxel,dietilestilbestrol,everolimús,ipilimumab,lidocaïna,nilutamida,olaparib,paclitaxel,regorafenib,sirolimús,tolvaptan,trastuzumab",angioma,fumar, , , , ,"C0007097,C0553707,C1368683",D002277,"C2916,C3709", 
ràbia,"Q56635009,al·lucinació,ampliació,aturada cardiorespiratòria,aturada respiratòria,calfred,cefalàlgia,dolor,fonofòbia,fotofòbia,hiperactivitat,hipersialorrea,insomni,irritabilitat,midriasi,parestèsia,paràlisi,por,vòmit", , , ,virus de la ràbia, ,071,"A82,A82.0,A82.1,A82.9",C0034494,D011818,C28182, 
hemorroide, ,"Euphorbia prostrata,Fenilefrina,Q1240076,benzocaïna,cortisol",Q4770165, , , ,"455,455.8",K64,C0019112,D006484,C26792, 
hipertensió arterial, ,"(RS)-metoprolol,Esmolol,Minoxidil,Q1078392,Q1169561,Q155472,Q2072745,Q221520,Q2291605,Q27106078,Q27281933,Q27292429,Q277785,Q280786,Q28859607,Q3332124,Q3342150,Q3791957,Q39111,Q410074,Q410291,Q413994,Q414873,Q418101,Q418130,Q419824,Q419948,Q419987,Q420360,Q420644,Q420673,Q421156,Q423804,Q424952,Q425293,Q4747074,Q4747075,Q47495698,Q48566655,Q48566657,Q48566693,Q48566694,Q48566696,Q48566700,Q48566705,Q48566757,Q48566771,Q48566808,Q5613542,Q5613557,Q5613599,Q596022,Q6457467,Q6823919,Q6827783,Q7227099,Q7272222,Q729213,Q733186,Q7697766,Q784717,Q929420,Q944244,Q947266,Q958087,acebutolol,aliskirèn,amilorida,amlodipina,atenolol,atenolol/chlorthalidona,benazepril,bendroflumetiazida,benztiazida,bepridil,betaxolol,bisoprolol,bumetanida,candesartan,captopril,carteolol,carvedilol,ciclotiazida,clonidina,clorotiazida,clortalidona,coenzim Q10,dabigatran etexilat,deserpidina,diltiazem,doxazosina,enalapril,espironolactona,furosemida,hidroclorotiazida,lisinopril,metildopa,prazosina,propranolol,ramipril,reserpina,rivaroxaban,àcid etacrínic","hipertensió intracranial,hipertensió pulmonar", , , ,"401-405.99,997.91","I10,I10-I15,I15","C0020538,C0497247",D006973,C3117, 
Q43898, , , , , , , , ,C1535976, , , 
meningitis,"Q28868265,cefalàlgia,febre,fotofòbia,nàusea,vòmit","Flucitosina,amikacina,ceftriaxona,flucloxacil·lina,minociclina,ofloxacina", , ,"Haemophilus influenzae,Streptococcus pneumoniae,listèria monocitògena,neissèria de la meningitis,virus","Cultiu microbiològic,Q2916167,cultiu viral,microscopi òptic,punció lumbar,reacció en cadena de la polimerasa","322,322.9","G03,G03.9",C0025289,D008581,C26828, 
peu diabètic, , , , ,diabetis mellitus, , , ,C0206172,D017719, , 
Q52859, , , , ,neuropatia perifèrica, , , , , , , 
Q53829, , , , ,Q2465347, , , , ,D016606,C3415, 
taquicàrdia ventricular, ,"(RS)-metoprolol,Q48566660,amiodarona", , , , , ,I47.2,C0042514,D017180,C50802, 
fractura, ,"Q411781,denosumab", , ,"fractura per sobrecàrrega,traumatisme físic",radiografia mèdica, , ,C0016658,D050723,C3046, 
picada de serp, , ,Q2454710, ,atac d'animal, , ,T63.0,C0037379,D012909, , 
albinisme, ,trioxisalèn, , , , , , ,"C0001916,C0333913",D000417,C84543, 
berruga, , ,Q97375128, ,virus del papil·loma humà, , , ,C3665596,D014860, , 
hipòxia, , ,hipòxia ambiental, , , , , ,C0700292,D000860,C3890, 
espasticitat, ,"Q2149443,Q418351,Q423538,Q6823309,baclofèn,carisoprodol,ciclobenzaprina,clonidina,clormezanona,dantrolè,diazepam",Q7573993, , , , , ,C0026838,D009128,C79750, 
caspa, , , , , , ,690.18, ,C0423775,D063807,C111657, 
malaltia de Cacchi-Ricci, , , , , , ,753.17,Q61.5,C0022681,D007691,C34751, 
Q119660, , , , , , , , , , , , 
Q121576, , , , , , , , ,"C1275966,C1961121",D054079,C112117, 
coprolàlia, , , , , , , , ,C0233729, , , 
convulsió febril, ,"diazepam,fenitoïna,fenobarbital", , , , ,780.31, ,C0009952,D003294,C116503, 
dislèxia,trastorn de la lectura, , , ,alteració genètica,ressonància magnètica funcional, ,R48.0,C0476254,D004410,C96410, 
gota,"artràlgia,embassament articular,eritema,inflor","Q3790542,Q417296,Q7160794,Q900898,Q963093,al·lopurinol,colquicina,diclofenac,ibuprofèn,indometacina,naproxèn,àcid acetilsalicílic", , , , ,"274,274.0,274.00,274.9","M10,M10.9","C0003868,C0018099",D006073,C34650, 
migranya,"cefalàlgia,eructe,fotofòbia,nàusea,vòmit","Q2014797,Q212171,Q218820,Q219957,Q221174,Q4095199,Q410346,Q421315,almotriptan,amitriptilina,buprenorfina,butorfanol,clonixina,diclofenac,dihidroergotamina,duloxetina,eletriptan,ergotamina,fentanil,gabapentina,ibuprofèn,naproxèn,paracetamol,pregabalina,propranolol,sumatriptan,triptan,venlafaxina", , ,desconegut,"exploració física,neuroimatge","346,346.80,346.9,346.90","G43,G43.9,G43.909","C0042331,C0149931,C0744641",D008881,C89715, 
hemofília, , , , , , , , ,C0684275, ,C3093, 
ancilostomosi,"anèmia hipocròmica,dolor abdominal,fatiga muscular","albendazole,mebendazole", , ,"Ancylostoma duodenale,Necator americanus", , , , ,C538433,C34374, 
diarrea del viatger, , , , , , , , ,C0277528, , , 
Q141440, , , , ,bacteris, , , ,C0006105,D001922, , 
miiodesòpsia, , , , , , , , , , ,C50808, 
Q143607, , , , , , , , ,C0017565,D005884, , 
Q143790, , , , , , , , , ,D055964, , 
odontàlgia, , ,Q8261177,fumar, , , , , ,D014098, , 
Histèria, , ,Histeria, , , , , , ,D007046, , 
cirrosi hepàtica, ,"Q27126952,Q27281933,Q416073,Q419948,Q420056,Q7160789,Ribavirina,Simeprevir,adefovir,boceprevir,bumetanida,daclatasvir,furosemida,ledipasvir/sofosbuvir,sofosbuvir,tolvaptan,àcid etacrínic,àcid obeticòlic", , ,"Q1058608,Q17135346,alcoholisme,hemocromatosi hereditària,hepatitis,hepatitis autoimmunitària","anàlisi de sang,biòpsia hepàtica,ecografia,tomografia computada",571.5,K74.60,"C0023890,C0239946",D008103,C2951, 
tabaquisme, , , , , , , , , ,D014029, , 
síndrome confusional aguda, , , , , ,Q108525684, , , ,D003693,C2981, 
Q163469, , , , , , , , , ,D011027,C99012, 
cefalàlgia de Horton,"agitació psicomotriu,cefalàlgia,congestió nasal,fotofòbia,irritabilitat,llagrimeig,ptosi palpebral,rinorrea,transpiració,ull vermell", , , ,desconegut,"anamnesi,neuroimatge,tècniques de diagnòstic neurològic", , ,C0009088,D003027,C117077, 
queri, , , , , , , ,B35.0,C0276742,C536165, , 
bronquitis, ,"Q2365033,Q27116225,Q3731252,Q423369,Q4673059,Q976559,azitromicina,cefdinir,cefixima,cefpodoxima,diprofil·lina",bronquiolitis, , , ,"466.0,490,491,491.8,491.9","J20,J20.9,J40,J42","C0006277,C0008677,C0149514",D001991,"C26722,C26932,C2911", 
Síndrome de Balint,"Q2046811,Q2074059,Q2076329", , , , , , ,H51.8,C0270706, , , 
síndrome d'Alström,ceguesa, , , , , , , ,C0268425,D056769,C84549, 
Q441094, , , , , , , , , , , , 
Q447828, , , , , , , , ,C0311227, , , 
alveolitis, , , , , , , , , , , , 
síndrome d'Edwards, , ,Q21154047, , , ,758.2,"Q91.0,Q91.1,Q91.2,Q91.3",C0152096,D000073842,"C101362,C36626", 
síndrome de descompressió,"alteració visual,amnèsia,artràlgia,cefalàlgia,confusió mental,convulsió,dispnea,dolor,fatiga muscular,formigueigs,hiperestèsia,labilitat afectiva,mareig,nàusea,parestèsia,paràlisi,pruïja,pèrdua del coneixement,signe de la fòvea,sordesa,trastorn de la continència,vertigen,vòmit", ,embolisme gasós, ,descompressió, , , , ,D003665, , 
Q462833,"Q1895873,Q58184039,al·lucinació,amnèsia,deliri", , , , , , , , , , , 
Q465016, , , , , , , , , , , , 
pàpules perlades, , ,taques de Fordyce, , , , , ,"C0269017,CL474385", , , 
Q471778, , , , , , ,270.0,E72.0,C0268641,D020157, , 
cretinisme, , , , , , , , , , , , 
Q473262, , , , , , , , , , , , 
cromosoma en anell, , , , , , , ,Q93.2, ,D012303,C3360, 
parasitosi intestinal, , , , ,Q58339313, , , , ,D007411, , 
Q476814, , , , , , , , ,"C0032914,C1321782", , , 
cifosi, , , , , , , , ,"C0022821,C1845112",D007738,C34754, 
anasarca, ,"Q1078392,Q1169561,Q2072745,Q221520,Q27281933,Q3791957,Q3837481,Q419948,Q5986553,Q6823919,Q7227099,Q7272222,amilorida,bendroflumetiazida,benztiazida,bumetanida,captopril,ciclotiazida,clorotiazida,clortalidona,danazol,enalapril,espironolactona,furosemida,hidroclorotiazida,prednisolona,àcid etacrínic", , , , , , , , ,C98811, 
Q487231, , , , , , , , , ,D057868, , 
Q493103, , , , , , ,359.29,G71.1,"C0221055,C1868617,C1868619",C538616,C122790, 
Q495068, , , , , , ,344.89, ,C0234544, , , 
Q498826, , , , , , ,271.3,E74.3,C1283620,C538139,C128190, 
Hibernoma, , , , , , , , ,C0205822, ,C3702, 
gigantisme, , ,"Gegantisme del mar profund,Q63441625", , , , ,E22.0,C0017547,D005877, , 
neurastènia, , , , , , , , , ,D009440, , 
artritis psoriàsica, ,"apremilast,auranofina,aurotioglucosa,etanercept", , , , ,696.0,"L40.5,L40.50",C0003872,D015535,C61277, 
tetània,Q1632123,"Gluconat de calci,Q5018826,clorur de calci", , ,hipocalcèmia, , , ,C0039621,D013746,C114789, 
parafàsia, , , , , , , , ,C0234488, , , 
Q517782, , , , , , , , ,C0239161, , , 
hamartoma, , , , , , ,759.6, ,C0018552,D006222, , 
Q541852, , , , , , , ,Q84.1,C0432347,C536939, , 
Q545403, , , , , , , , ,C1859408, , , 
Q550061, , , , , , , , ,C0856169, , , 
mielitis,inflamació, , , , , ,323.9, ,C0026975,D009187,C26832, 
Q557009, , , , , , , , ,C0265228, ,C99008, 
hepatopatia alcohòlica,"icterícia,nàusea", , , ,consum d'alcohol,"Q1359801,hemograma", , , ,D008108, , 
afàcia, , ,afàsia, , , , , , ,D001035, , 
Q567694, , ,anarquia, , , , ,Q55.0, , , , 
anòxia, , , , , , , , , , ,C2876, 
síndrome d'Eisenmenger, , , , , , , ,I27.2,C0013743,D004541,C84390, 
Q574975,"Q1929023,hipermetropia,hipertèrmia,midriasi,oligúria,rubor,taquicàrdia,visió borrosa,xerostomia", , , ,anticolinèrgic, , , , ,D064807, , 
Q580754, , ,"Q61777085,masoquisme", , , , , ,C1404989, , , 
omfalitis del nadó, , , , , , , , , , ,C116008, 
