name,link
Acute monoblastic leukemia,https://en.wikipedia.org/wiki/Acute_monocytic_leukemia
Acute monocytic leukemia,https://en.wikipedia.org/wiki/Acute_monocytic_leukemia
Acute mountain sickness,https://en.wikipedia.org/wiki/Altitude_sickness
Acute myeloblastic leukemia type 1,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloblastic leukemia type 2,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloblastic leukemia type 3,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloblastic leukemia type 5,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloblastic leukemia type 6,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloblastic leukemia type 7,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloblastic leukemia with maturation,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_with_maturation
Acute myeloblastic leukemia without maturation,https://en.wikipedia.org/wiki/Acute_myeloblastic_leukemia_without_maturation
Acute myelocytic leukemia,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myelogenous leukemia,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute myeloid leukemia,https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
"Acute myeloid leukemia, secondary",https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute necrotizing ulcerative gingivitis,https://en.wikipedia.org/wiki/Acute_necrotizing_ulcerative_gingivitis
Acute non lymphoblastic leukemia (generic term),https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Acute pancreatitis,https://en.wikipedia.org/wiki/Acute_pancreatitis
Acute posterior multifocal placoid pigment epitheliopathy,https://en.wikipedia.org/wiki/Acute_posterior_multifocal_placoid_pigment_epitheliopathy
Acute promyelocytic leukemia,https://en.wikipedia.org/wiki/Acute_promyelocytic_leukemia
Acute renal failure,https://en.wikipedia.org/wiki/Acute_kidney_injury
Acute respiratory distress syndrome,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
ADAM complex,https://en.wikipedia.org/wiki/Constriction_ring_syndrome
Adams–Nance syndrome,https://en.wikipedia.org/wiki/Adams%E2%80%93Nance_syndrome
Adenocarcinoma of lung,https://en.wikipedia.org/wiki/Adenocarcinoma_of_the_lung
Adenoid cystic carcinoma,https://en.wikipedia.org/wiki/Adenoid_cystic_carcinoma
Adenoma of the adrenal gland,https://en.wikipedia.org/wiki/Adenoma
Adenomyosis,https://en.wikipedia.org/wiki/Adenomyosis
Adie syndrome,https://en.wikipedia.org/wiki/Adie_syndrome
Adiposis dolorosa,https://en.wikipedia.org/wiki/Adiposis_dolorosa
Adrenal cancer,https://en.wikipedia.org/wiki/Adrenal_cancer
Adrenal cancer,https://en.wikipedia.org/wiki/Adrenal_cancer
Adrenal cancer,https://en.wikipedia.org/wiki/Adrenal_tumor
Adrenal disorder,https://en.wikipedia.org/wiki/Adrenal_gland_disorder
Adrenal gland hyperfunction,https://en.wikipedia.org/wiki/Adrenocortical_hyperfunction
Adrenal hypertension,https://en.wikipedia.org/wiki/Hypertension#Adrenal
Adrenal incidentaloma,https://en.wikipedia.org/wiki/Incidental_imaging_finding
Aerosinusitis,https://en.wikipedia.org/wiki/Aerosinusitis
Afibrinogenemia,https://en.wikipedia.org/wiki/Congenital_afibrinogenemia
Aggressive fibromatosis,https://en.wikipedia.org/wiki/Aggressive_fibromatosis
Aging,https://en.wikipedia.org/wiki/Senescence
Agnathia,https://en.wikipedia.org/wiki/Agnathia
"Agnosia, primary visual",https://en.wikipedia.org/wiki/Visual_agnosia#Types
Agoraphobia,https://en.wikipedia.org/wiki/Agoraphobia
Agraphia,https://en.wikipedia.org/wiki/Agraphia
Ahumada-Del Castillo syndrome,https://en.wikipedia.org/wiki/Hyperprolactinaemia#Historical_names
AIDS dysmorphic syndrome,https://en.wikipedia.org/wiki/AIDS_dysmorphic_syndrome
Ainhum,https://en.wikipedia.org/wiki/Ainhum
Albinism immunodeficiency,https://en.wikipedia.org/wiki/Ch%C3%A9diak%E2%80%93Higashi_syndrome
Alcohol dependence,https://en.wikipedia.org/wiki/Alcohol_dependence
Alcohol fetopathy,https://en.wikipedia.org/wiki/Fetal_alcohol_spectrum_disorder
Alcohol withdrawal syndrome,https://en.wikipedia.org/wiki/Alcohol_withdrawal_syndrome
Alcoholic hepatitis,https://en.wikipedia.org/wiki/Alcoholic_hepatitis
Alopecia areata,https://en.wikipedia.org/wiki/Alopecia_areata
Alopecia totalis,https://en.wikipedia.org/wiki/Alopecia_totalis
"Alport syndrome, dominant type",https://en.wikipedia.org/wiki/Alport_syndrome#Inheritance_patterns
"Alport syndrome, recessive type",https://en.wikipedia.org/wiki/Alport_syndrome#Inheritance_patterns
Alternating hemiplegia,https://en.wikipedia.org/wiki/Alternating_hemiplegia
Aluminium lung,https://en.wikipedia.org/wiki/Pneumoconiosis
"Alveolitis, extrinsic allergic",https://en.wikipedia.org/wiki/Hypersensitivity_pneumonitis
"Alzheimer's disease, early-onset",https://en.wikipedia.org/wiki/Early-onset_Alzheimer%27s_disease
"Alzheimer's disease, familial",https://en.wikipedia.org/wiki/Early-onset_Alzheimer%27s_disease#Familial_Alzheimer.27s_disease
Amaurosis,https://en.wikipedia.org/wiki/Amaurosis
Amelogenesis,https://en.wikipedia.org/wiki/Amelogenesis
Amenorrhea,https://en.wikipedia.org/wiki/Amenorrhea
Amnesia,https://en.wikipedia.org/wiki/Amnesia
"Amnesia, anterograde",https://en.wikipedia.org/wiki/Anterograde_amnesia
"Amnesia, childhood",https://en.wikipedia.org/wiki/Childhood_amnesia
"Amnesia, dissociative",https://en.wikipedia.org/wiki/Psychogenic_amnesia
"Amnesia, drug-induced",https://en.wikipedia.org/wiki/Drug-induced_amnesia
"Amnesia, psychogenic",https://en.wikipedia.org/wiki/Psychogenic_amnesia
"Amnesia, retrograde",https://en.wikipedia.org/wiki/Retrograde_amnesia
"Amnesia, source",https://en.wikipedia.org/wiki/Source_amnesia
"Amnesia, transient global",https://en.wikipedia.org/wiki/Transient_global_amnesia
Anaphylaxis,https://en.wikipedia.org/wiki/Anaphylaxis
Anaplastic thyroid cancer,https://en.wikipedia.org/wiki/Anaplastic_thyroid_cancer
Androgen insensitivity syndrome (AIS),https://en.wikipedia.org/wiki/Androgen_insensitivity_syndrome
"Anemia, hypoplastic, congenital",https://en.wikipedia.org/wiki/Congenital_hypoplastic_anemia
"Anemia, pernicious",https://en.wikipedia.org/wiki/Pernicious_anemia
Anencephaly,https://en.wikipedia.org/wiki/Anencephaly
"Aneurysm, intracranial berry",https://en.wikipedia.org/wiki/Intracranial_aneurysm#Saccular_aneurysms
Angiolipoma,https://en.wikipedia.org/wiki/Angiolipoma
Angiosarcoma,https://en.wikipedia.org/wiki/Angiosarcoma
"Aniridia, sporadic",https://en.wikipedia.org/wiki/Aniridia#Types
Ankylosis,https://en.wikipedia.org/wiki/Ankylosis
Annuloaortic ectasia,https://en.wikipedia.org/wiki/Annuloaortic_ectasia
Anodontia,https://en.wikipedia.org/wiki/Anodontia
Anomic aphasia,https://en.wikipedia.org/wiki/Anomic_aphasia
Anophthalmos,https://en.wikipedia.org/wiki/Anophthalmia
"Anophthalmos, clinical",https://en.wikipedia.org/wiki/Anophthalmia
Anorectal atresia,https://en.wikipedia.org/wiki/Imperforate_anus
Anorexia nervosa,https://en.wikipedia.org/wiki/Anorexia_nervosa
Anorexia nervosa binge-purge type,https://en.wikipedia.org/wiki/Anorexia_nervosa#Psychological
Anorexia nervosa restricting type,https://en.wikipedia.org/wiki/Anorexia_nervosa#Psychological
Anorgasmia,https://en.wikipedia.org/wiki/Anorgasmia
Anterior horn disease,https://en.wikipedia.org/wiki/Anterior_horn_disease
Anterograde amnesia,https://en.wikipedia.org/wiki/Anterograde_amnesia
Antisocial personality disorder,https://en.wikipedia.org/wiki/Antisocial_personality_disorder
Antisynthetase syndrome,https://en.wikipedia.org/wiki/Antisynthetase_syndrome
"Antithrombin deficiency, congenital",https://en.wikipedia.org/wiki/Antithrombin
Aortic dissection,https://en.wikipedia.org/wiki/Aortic_dissection
Aortic window,https://en.wikipedia.org/wiki/Aortopulmonary_space
Aplasia,https://en.wikipedia.org/wiki/Aplasia
Aplastic crisis,https://en.wikipedia.org/wiki/Reticulocytopenia
Apraxia,https://en.wikipedia.org/wiki/Apraxia
Apudoma,https://en.wikipedia.org/wiki/Apudoma
Aqueductal stenosis,https://en.wikipedia.org/wiki/Aqueductal_stenosis
Arsenic poisoning,https://en.wikipedia.org/wiki/Arsenic_poisoning
Arteritis,https://en.wikipedia.org/wiki/Arteritis
Asbestosis,https://en.wikipedia.org/wiki/Asbestosis
Asherman's syndrome,https://en.wikipedia.org/wiki/Asherman%27s_syndrome
Ashman phenomenon,https://en.wikipedia.org/wiki/Ashman_phenomenon
Asperger syndrome,https://en.wikipedia.org/wiki/Asperger_syndrome
Asphyxia neonatorum,https://en.wikipedia.org/wiki/Perinatal_asphyxia
Aspiration pneumonia,https://en.wikipedia.org/wiki/Aspiration_pneumonia
Astasia-abasia,https://en.wikipedia.org/wiki/Astasia-abasia
Astrovirus infection,https://en.wikipedia.org/wiki/Astrovirus#Signs_and_symptoms_in_humans
Athetosis,https://en.wikipedia.org/wiki/Athetosis
Atopic dermatitis,https://en.wikipedia.org/wiki/Atopic_dermatitis
Atresia,https://en.wikipedia.org/wiki/Atresia
Atresia of small intestine,https://en.wikipedia.org/wiki/Intestinal_atresia
Atrial myxoma,https://en.wikipedia.org/wiki/Cardiac_myxoma
Atrioventricular fistula,https://en.wikipedia.org/wiki/Atrioventricular_fistula
Atrophic vaginitis,https://en.wikipedia.org/wiki/Atrophic_vaginitis
Atrophoderma,https://en.wikipedia.org/wiki/Atrophoderma
Auditory processing disorder,https://en.wikipedia.org/wiki/Auditory_processing_disorder
Avoidant personality disorder,https://en.wikipedia.org/wiki/Avoidant_personality_disorder
Axial spondyloarthritis,https://en.wikipedia.org/wiki/Axial_spondyloarthritis
Axial osteomalacia,https://en.wikipedia.org/wiki/Osteomalacia
Bacillus cereus infection,https://en.wikipedia.org/wiki/Bacillus_cereus#Pathogenesis
Bacterial endocarditis,https://en.wikipedia.org/wiki/Infective_endocarditis
Bacterial gastroenteritis,https://en.wikipedia.org/wiki/Gastroenteritis#Classification
Balo disease,https://en.wikipedia.org/wiki/Balo_concentric_sclerosis
Balo's concentric sclerosis,https://en.wikipedia.org/wiki/Balo_concentric_sclerosis
Bangstad syndrome,https://en.wikipedia.org/wiki/Bangstad_syndrome
Bantu siderosis,https://en.wikipedia.org/wiki/African_iron_overload
Barbiturate dependence,https://en.wikipedia.org/wiki/Barbiturate_dependence
Barbiturate overdose,https://en.wikipedia.org/wiki/Barbiturate_overdose
Barrett syndrome,https://en.wikipedia.org/wiki/Barrett%27s_esophagus
Basal ganglia diseases,https://en.wikipedia.org/wiki/Basal_ganglia_disease
Basilar artery migraines,https://en.wikipedia.org/wiki/Migraine#Basilar_type_migraine
Bathophobia,https://en.wikipedia.org/wiki/Bathophobia
B-cell lymphomas,https://en.wikipedia.org/wiki/Lymphoma#REAL.2FWHO_Classification
Bell's palsy,https://en.wikipedia.org/wiki/Bell%27s_palsy
Benign astrocytoma,https://en.wikipedia.org/wiki/Pilocytic_astrocytoma
Benign congenital hypotonia,https://en.wikipedia.org/wiki/Hypotonia
Benign essential blepharospasmass,https://en.wikipedia.org/wiki/Blepharospasm
Benign familial hematuria,https://en.wikipedia.org/wiki/Thin_basement_membrane_disease
Benign fasciculation syndrome,https://en.wikipedia.org/wiki/Benign_fasciculation_syndrome
Benign mucosal pemphigoid,https://en.wikipedia.org/wiki/Mucous_membrane_pemphigoid
Benign paroxysmal positional vertigo,https://en.wikipedia.org/wiki/Benign_paroxysmal_positional_vertigo
Benzodiazepine dependence,https://en.wikipedia.org/wiki/Benzodiazepine_dependence
Benzodiazepine overdose,https://en.wikipedia.org/wiki/Benzodiazepine_overdose
Benzodiazepine withdrawal syndrome,https://en.wikipedia.org/wiki/Benzodiazepine_withdrawal_syndrome
Berylliosis,https://en.wikipedia.org/wiki/Berylliosis
Bhaskar Jagannathan syndrome,https://en.wikipedia.org/wiki/Bhaskar%E2%80%93Jagannathan_syndrome
Bipolar I disorder,https://en.wikipedia.org/wiki/Bipolar_I_disorder
Bipolar II disorder,https://en.wikipedia.org/wiki/Bipolar_II_disorder
Biotin deficiency,https://en.wikipedia.org/wiki/Biotin_deficiency
Biotinidase deficiency,https://en.wikipedia.org/wiki/Biotinidase_deficiency
BK virus nephritis,https://en.wikipedia.org/wiki/BK_virus
Black piedra,https://en.wikipedia.org/wiki/Piedraia_hortae#Pathology
Blepharitis,https://en.wikipedia.org/wiki/Blepharitis
"Blepharophimosis, ptosis, epicanthus inversus",https://en.wikipedia.org/wiki/Blepharophimosis
Blepharospasm,https://en.wikipedia.org/wiki/Blepharospasm
Blood platelet disorders,https://en.wikipedia.org/wiki/Platelet
Blood vessel disorder,https://en.wikipedia.org/wiki/Blood_vessel_disorder
Blue diaper syndrome,https://en.wikipedia.org/wiki/Blue_diaper_syndrome
Body dysmorphic disorder,https://en.wikipedia.org/wiki/Body_dysmorphic_disorder
Bone marrow failure,https://en.wikipedia.org/wiki/Bone_marrow_failure
Borderline personality disorder,https://en.wikipedia.org/wiki/Borderline_personality_disorder
Brachydactyly clinodactyly,https://en.wikipedia.org/wiki/Brachydactyly
Brachydactyly type B,https://en.wikipedia.org/wiki/Brachydactyly
Bradykinesia,https://en.wikipedia.org/wiki/Hypokinesia#Bradykinesia
Brain cavernous angioma,https://en.wikipedia.org/wiki/Cavernous_hemangioma
"Breast cancer, familial",https://en.wikipedia.org/wiki/Hereditary_breast%E2%80%93ovarian_cancer_syndrome
Brief psychotic disorder,https://en.wikipedia.org/wiki/Brief_psychotic_disorder
Bright's disease,https://en.wikipedia.org/wiki/Bright%27s_disease
Bromidrosiphobia,https://en.wikipedia.org/wiki/Olfactory_reference_syndrome
Brown syndrome,https://en.wikipedia.org/wiki/Brown%27s_syndrome
Brown-Séquard syndrome,https://en.wikipedia.org/wiki/Brown-S%C3%A9quard_syndrome
Brucellosis,https://en.wikipedia.org/wiki/Brucellosis
Bubonic plague,https://en.wikipedia.org/wiki/Bubonic_plague
Bullous pemphigoid,https://en.wikipedia.org/wiki/Bullous_pemphigoid
Burning mouth syndrome,https://en.wikipedia.org/wiki/Burning_mouth_syndrome
Buruli ulcer,https://en.wikipedia.org/wiki/Buruli_ulcer
Buschke–Ollendorff syndrome,https://en.wikipedia.org/wiki/Buschke%E2%80%93Ollendorff_syndrome
Byssinosis,https://en.wikipedia.org/wiki/Byssinosis
Café au lait spots syndrome,https://en.wikipedia.org/wiki/Caf%C3%A9_au_lait_spot
Caffeine-induced sleep disorder,https://en.wikipedia.org/wiki/Caffeine-induced_sleep_disorder
Calcinosis cutis,https://en.wikipedia.org/wiki/Calcinosis_cutis
Calciphylaxis,https://en.wikipedia.org/wiki/Calciphylaxis
Coronavirus,https://en.wikipedia.org/wiki/Coronavirus
Canga's bead symptom,https://en.wikipedia.org/wiki/Canga%27s_bead_symptom
Canine distemper,https://en.wikipedia.org/wiki/Canine_distemper
Cannabis withdrawal,https://en.wikipedia.org/wiki/Effects_of_cannabis
Capillary leak syndrome,https://en.wikipedia.org/wiki/Capillary_leak_syndrome
Caplan's syndrome,https://en.wikipedia.org/wiki/Caplan%27s_syndrome
"Carcinoma, squamous cell of head and neck",https://en.wikipedia.org/wiki/Squamous_cell_carcinoma
"Carcinoma, squamous cell",https://en.wikipedia.org/wiki/Squamous_cell_carcinoma
Cardiac amyloidosis,https://en.wikipedia.org/wiki/Cardiac_amyloidosis
Cardiospasm,https://en.wikipedia.org/wiki/Esophageal_achalasia
Caregiver syndrome,https://en.wikipedia.org/wiki/Caregiver_stress
Carotenemia,https://en.wikipedia.org/wiki/Carotenosis
Carotid artery dissection,https://en.wikipedia.org/wiki/Carotid_artery_dissection
Carrington syndrome,https://en.wikipedia.org/wiki/Eosinophilic_pneumonia
Cataract congenital autosomal dominant,https://en.wikipedia.org/wiki/Congenital_cataract
Cataract congenital dominant non nuclear,https://en.wikipedia.org/wiki/Congenital_cataract
Cataract congenital Volkmann type,https://en.wikipedia.org/wiki/Congenital_cataract
Cataract congenital with microphthalmia,https://en.wikipedia.org/wiki/Congenital_cataract
Cavernous hemangioma,https://en.wikipedia.org/wiki/Cavernous_hemangioma
Cavernous lymphangioma,https://en.wikipedia.org/wiki/Lymphangioma
Cavernous sinus thrombosis,https://en.wikipedia.org/wiki/Cavernous_sinus_thrombosis
Celiac disease epilepsy occipital calcifications,https://en.wikipedia.org/wiki/Gluten-sensitive_enteropathy%E2%80%93associated_conditions#Visual_and_auditory_disturbances
Celiac sprue,https://en.wikipedia.org/wiki/Coeliac_disease
Central serous chorioretinopathy,https://en.wikipedia.org/wiki/Central_serous_chorioretinopathy
Cerebellar agenesis,https://en.wikipedia.org/wiki/Cerebellar_agenesis
Cerebellar degeneration,https://en.wikipedia.org/wiki/Cerebellar_degeneration
"Cerebral amyloid angiopathy, familial",https://en.wikipedia.org/wiki/Cerebral_amyloid_angiopathy
Cerebral aneurysm,https://en.wikipedia.org/wiki/Intracranial_aneurysm
Cerebral cavernous malformation,https://en.wikipedia.org/wiki/Cavernous_hemangioma
Cerebral cavernous malformations,https://en.wikipedia.org/wiki/Cavernous_hemangioma
Cerebral thrombosis,https://en.wikipedia.org/wiki/Thrombus
Cerebral ventricle neoplasms,https://en.wikipedia.org/wiki/Ventricular_system
"Ceroid lipofuscinois, neuronal 1, infantile",https://en.wikipedia.org/wiki/Neuronal_ceroid_lipofuscinosis#Types
"Ceroid lipofuscinois, neuronal 2, late infantile",https://en.wikipedia.org/wiki/Neuronal_ceroid_lipofuscinosis#Types
"Ceroid lipofuscinois, neuronal 3, juvenile",https://en.wikipedia.org/wiki/Neuronal_ceroid_lipofuscinosis#Types
"Ceroid lipofuscinois, neuronal 4, adult type",https://en.wikipedia.org/wiki/Neuronal_ceroid_lipofuscinosis#Types
"Ceroid lipofuscinois, neuronal 5, late infantile",https://en.wikipedia.org/wiki/Neuronal_ceroid_lipofuscinosis#Types
"Ceroid lipofuscinois, neuronal 6, late infantile",https://en.wikipedia.org/wiki/Neuronal_ceroid_lipofuscinosis#Types
"Ceroid lipofuscinois, neuronal",https://en.wikipedia.org/wiki/Neuronal_ceroid_lipofuscinosis
"Ceroid lipofuscinosis, neuronal 4",https://en.wikipedia.org/wiki/Neuronal_ceroid_lipofuscinosis#Types
Cervical cancer,https://en.wikipedia.org/wiki/Cervical_cancer
Chalazion,https://en.wikipedia.org/wiki/Chalazion
Chaotic atrial tachycardia,https://en.wikipedia.org/wiki/Tachycardia
Chediak–Higashi syndrome,https://en.wikipedia.org/wiki/Ch%C3%A9diak%E2%80%93Higashi_syndrome
Cheilitis glandularis,https://en.wikipedia.org/wiki/Cheilitis#Cheilitis_glandularis
Chemophobia,https://en.wikipedia.org/wiki/Chemophobia
Chen-Kung Ho–Kaufman–Mcalister syndrome,https://en.wikipedia.org/wiki/Ho%E2%80%93Kaufman%E2%80%93Mcalister_syndrome
Childhood disintegrative disorder,https://en.wikipedia.org/wiki/Childhood_disintegrative_disorder
Chimerism,https://en.wikipedia.org/wiki/Chimera_(genetics)
Chinese restaurant syndrome,https://en.wikipedia.org/wiki/Glutamate_flavoring
Chlamydia trachomatis,https://en.wikipedia.org/wiki/Chlamydia_trachomatis
Chlamydia pneumoniae,https://en.wikipedia.org/wiki/Chlamydia_pneumoniae
Cholangiocarcinoma,https://en.wikipedia.org/wiki/Cholangiocarcinoma
Cholecystitis,https://en.wikipedia.org/wiki/Cholecystitis
"Cholemia, familial",https://en.wikipedia.org/wiki/Cholemia
"Cholestasis, progressive familial intrahepatic 1",https://en.wikipedia.org/wiki/Progressive_familial_intrahepatic_cholestasis#Pathogenesis
"Cholestasis, progressive familial intrahepatic 2",https://en.wikipedia.org/wiki/Progressive_familial_intrahepatic_cholestasis#Pathogenesis
"Cholestasis, progressive familial intrahepatic 3",https://en.wikipedia.org/wiki/Progressive_familial_intrahepatic_cholestasis#Pathogenesis
"Cholestasis, progressive familial intrahepatic",https://en.wikipedia.org/wiki/Progressive_familial_intrahepatic_cholestasis#Pathogenesis
Chondroblastoma,https://en.wikipedia.org/wiki/Chondroblastoma
Chondroma (benign),https://en.wikipedia.org/wiki/Chondroma
Chordoma,https://en.wikipedia.org/wiki/Chordoma
Chorea minor,https://en.wikipedia.org/wiki/Sydenham%27s_chorea
Choreoathetosis familial paroxysmal,https://en.wikipedia.org/wiki/Paroxysmal_nonkinesigenic_dyskinesia
Choriocarcinoma,https://en.wikipedia.org/wiki/Choriocarcinoma
Chorioretinitis,https://en.wikipedia.org/wiki/Chorioretinitis
Choroid plexus cyst,https://en.wikipedia.org/wiki/Choroid_plexus_cyst
Choroid plexus neoplasms,https://en.wikipedia.org/wiki/Choroid_plexus_papilloma
"Choroiditis, serpiginous",https://en.wikipedia.org/wiki/Serpiginous_choroiditis
Choroiditis,https://en.wikipedia.org/wiki/Chorioretinitis
Christmas disease,https://en.wikipedia.org/wiki/Haemophilia_B
Chromophobe renal carcinoma,https://en.wikipedia.org/wiki/Renal_cell_carcinoma
Chromosomal triplication,https://en.wikipedia.org/wiki/Trisomy
Chronic berylliosis,https://en.wikipedia.org/wiki/Berylliosis
Chronic erosive gastritis,https://en.wikipedia.org/wiki/Peptic_ulcer_disease
Chronic fatigue immune dysfunction syndrome,https://en.wikipedia.org/wiki/Chronic_fatigue_syndrome
Chronic fatigue syndrome,https://en.wikipedia.org/wiki/Chronic_fatigue_syndrome
Chronic hiccup,https://en.wikipedia.org/wiki/Hiccup
Chronic lymphocytic leukemia,https://en.wikipedia.org/wiki/Chronic_lymphocytic_leukemia
Chronic mountain sickness,https://en.wikipedia.org/wiki/Chronic_mountain_sickness
Chronic myelogenous leukemia,https://en.wikipedia.org/wiki/Chronic_myelogenous_leukemia
Chronic myelomonocytic leukemia,https://en.wikipedia.org/wiki/Chronic_myelomonocytic_leukemia
Chronic necrotizing vasculitis,https://en.wikipedia.org/wiki/Vasculitis
Chronic neutropenia,https://en.wikipedia.org/wiki/Neutropenia
Chronic spasmodic dysphonia,https://en.wikipedia.org/wiki/Spasmodic_dysphonia
Cicatricial pemphigoid,https://en.wikipedia.org/wiki/Mucous_membrane_pemphigoid
Cinchonism,https://en.wikipedia.org/wiki/Cinchonism
Clarkson disease,https://en.wikipedia.org/wiki/Capillary_leak_syndrome
Clonal hypereosinophilia,https://en.wikipedia.org/wiki/Clonal_hypereosinophilia
Coal workers' pneumoconiosis,https://en.wikipedia.org/wiki/Coalworker%27s_pneumoconiosis
Coats disease,https://en.wikipedia.org/wiki/Coats%27_disease
Cocaine dependence,https://en.wikipedia.org/wiki/Cocaine_dependence
Cocaine intoxication,https://en.wikipedia.org/wiki/Cocaine_intoxication
Coeliac disease,https://en.wikipedia.org/wiki/Coeliac_disease
Cold abscess,https://en.wikipedia.org/wiki/Cold_abscess
Cold agglutination syndrome,https://en.wikipedia.org/wiki/Cold_agglutinin_disease
Cold agglutinin disease,https://en.wikipedia.org/wiki/Cold_agglutinin_disease
Cold antibody hemolytic anemia,https://en.wikipedia.org/wiki/Cold_antibody_hemolytic_anemia_(disambiguation)
Cold contact urticaria,https://en.wikipedia.org/wiki/Hives
Cold urticaria,https://en.wikipedia.org/wiki/Cold_urticaria
Collagen disorder,https://en.wikipedia.org/wiki/Connective_tissue_disease
Collagenous colitis,https://en.wikipedia.org/wiki/Collagenous_colitis
"Colon cancer, familial nonpolyposis",https://en.wikipedia.org/wiki/Hereditary_nonpolyposis_colorectal_cancer
Compartment syndrome,https://en.wikipedia.org/wiki/Compartment_syndrome
Complement component receptor 1,https://en.wikipedia.org/wiki/Complement_receptor_1
Conduct disorder,https://en.wikipedia.org/wiki/Conduct_disorder
Congenital afibrinogenemia,https://en.wikipedia.org/wiki/Congenital_afibrinogenemia
Congenital amputation,https://en.wikipedia.org/wiki/Congenital_amputation
Congenital antithrombin III deficiency,https://en.wikipedia.org/wiki/Antithrombin
Congenital constricting band,https://en.wikipedia.org/wiki/Constriction_ring_syndrome
Congenital deafness,https://en.wikipedia.org/wiki/Hearing_loss
Congenital fiber type disproportion,https://en.wikipedia.org/wiki/Congenital_fiber_type_disproportion
Congenital giant megaureter,https://en.wikipedia.org/wiki/Megaureter
Congenital heart block,https://en.wikipedia.org/wiki/Congenital_heart_block
Congenital hepatic fibrosis,https://en.wikipedia.org/wiki/Congenital_hepatic_fibrosis
Congenital herpes simplex,https://en.wikipedia.org/wiki/Herpes_simplex_virus
Congenital hypothyroidism,https://en.wikipedia.org/wiki/Congenital_hypothyroidism
Congenital ichtyosiform erythroderma,https://en.wikipedia.org/wiki/Congenital_ichthyosiform_erythroderma
Congenital megaloureter,https://en.wikipedia.org/wiki/Megaureter
Congenital mesoblastic nephroma,https://en.wikipedia.org/wiki/Mesoblastic_nephroma
Congenital mumps,https://en.wikipedia.org/wiki/Mumps
Congenital nephrotic syndrome,https://en.wikipedia.org/wiki/Congenital_nephrotic_syndrome
Congenital short bowel,https://en.wikipedia.org/wiki/Short_bowel_syndrome
Congenital spherocytic anemia,https://en.wikipedia.org/wiki/Hereditary_spherocytosis
Congenital spherocytic hemolytic anemia,https://en.wikipedia.org/wiki/Hereditary_spherocytosis
Congestive heart failure,https://en.wikipedia.org/wiki/Heart_failure
Connexin 26 anomaly,https://en.wikipedia.org/wiki/GJB2
Conn's syndrome,https://en.wikipedia.org/wiki/Primary_aldosteronism
