name,link
Hagemoser–Weinstein–Bresnick syndrome,https://en.wikipedia.org/wiki/Hagemoser%E2%80%93Weinstein%E2%80%93Bresnick_syndrome
Hamartoma sebaceus of Jadassohn,https://en.wikipedia.org/wiki/Nevus_sebaceous
Hand–foot–uterus syndrome,https://en.wikipedia.org/wiki/HOXA13
Hepadnovirus D,https://en.wikipedia.org/wiki/Hepadnaviridae
Hereditary fibrinogen Aα-Chain amyloidosis,https://en.wikipedia.org/wiki/Dysfibrinogenemia#Pathophysiology#Hereditary_fibrinogen_Aα-Chain_amyloidosis
Herpes viridae disease,https://en.wikipedia.org/wiki/Herpesviridae
Histadelia,https://en.wikipedia.org/wiki/Orthomolecular_psychiatry#Histadelia
Histapenia,https://en.wikipedia.org/wiki/Orthomolecular_psychiatry#Histapenia
Hydantoin antenatal infection,https://en.wikipedia.org/wiki/Phenytoin
Hyporeninemic hypoaldosteronism,https://en.wikipedia.org/wiki/Hypoaldosteronism
Indomethacin antenatal infection,https://en.wikipedia.org/wiki/Indometacin
Iodine antenatal infection,https://en.wikipedia.org/wiki/Iodine
Isochromosome i (5p),https://en.wikipedia.org/wiki/Small_supernumerary_marker_chromosome#Isochromosome_i_(5p)
Launois–Bensaude adenolipomatosis,https://en.wikipedia.org/wiki/Raoul_Bensaude
Letterer–Siwe disease,https://en.wikipedia.org/wiki/Letterer%E2%80%93Siwe_disease
Lhermitte–Duclos disease,https://en.wikipedia.org/wiki/Lhermitte%E2%80%93Duclos_disease
"Lupus anticoagulant, familial",https://en.wikipedia.org/wiki/Lupus_anticoagulant
Lymphedema hereditary type 2,https://en.wikipedia.org/wiki/Meige_disease
"Lymphoma, small cleaved-cell, follicular",https://en.wikipedia.org/wiki/Small_cleaved_cells
Marchiafava–Bignami disease,https://en.wikipedia.org/wiki/Marchiafava%E2%80%93Bignami_disease
Methimazole antenatal infection,https://en.wikipedia.org/wiki/Thiamazole
Methyl mercury antenatal infection,https://en.wikipedia.org/wiki/Methylmercury
Mirhosseini–Holmes–Walton syndrome,https://en.wikipedia.org/wiki/Mirhosseini%E2%80%93Holmes%E2%80%93Walton_syndrome
Mixed Müllerian tumor,https://en.wikipedia.org/wiki/Mixed_M%C3%BCllerian_tumor
Münchausen syndrome,https://en.wikipedia.org/wiki/Factitious_disorder_imposed_on_self
Non-24-hour sleep–wake disorder,https://en.wikipedia.org/wiki/Non-24-hour_sleep%E2%80%93wake_disorder
Parsonage–Turner syndrome,https://en.wikipedia.org/wiki/Parsonage%E2%80%93Turner_syndrome
Pierre Marie cerebellar ataxia,https://en.wikipedia.org/wiki/Pierre_Marie
"Plague, pharyngeal",https://en.wikipedia.org/wiki/Plague_(disease)#Pharyngeal_plague
"Potter disease, type 3",https://en.wikipedia.org/wiki/Potter_sequence#Types
Pseudomonas oryzihabitans infection,https://en.wikipedia.org/wiki/Pseudomonas_oryzihabitans
Pseudomonas stutzeri infection,https://en.wikipedia.org/wiki/Pseudomonas_stutzeri
Radiation-induced lumbosacral plexopathy,https://en.wikipedia.org/wiki/Radiation-induced_lumbar_plexopathy
Reactive attachment disorder of infancy,https://en.wikipedia.org/wiki/Reactive_attachment_disorder
"Refsum disease, infantile form",https://en.wikipedia.org/wiki/Infantile_Refsum_disease
Romano–Ward syndrome,https://en.wikipedia.org/wiki/Romano%E2%80%93Ward_syndrome
Serious digitalis intoxication,https://en.wikipedia.org/wiki/Digoxin
Shaver's disease,https://en.wikipedia.org/wiki/Bauxite_fibrosis
"Shellfish poisoning, diarrheal",https://en.wikipedia.org/wiki/Diarrhetic_shellfish_poisoning
Stuccokeratosis,https://en.wikipedia.org/wiki/Seborrheic_keratosis#Subtypes
Sudden sniffing death syndrome,https://en.wikipedia.org/wiki/Inhalant
Thyroglossal tract cyst,https://en.wikipedia.org/wiki/Thyroglossal_cyst
Trichofolliculloma,https://en.wikipedia.org/wiki/Trichofolliculoma
Urban–Schosser–Spohn syndrome,https://en.wikipedia.org/wiki/Hereditary_mucoepithelial_dysplasia
Vaccinophobia,https://en.wikipedia.org/wiki/Vaccine_hesitancy
Wernicke–Korsakoff syndrome,https://en.wikipedia.org/wiki/Wernicke%E2%80%93Korsakoff_syndrome
